Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Penghasilan Bunga,Penerimaan (Pembayaran) Pajak - Bersih,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penjualan Aset Tetap,Penurunan (Kenaikan) Aset Lancar Dan Aset Tidak Lancar Lainnya,Penerimaan Dividen,Penurunan (Kenaikan) Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penurunan (Kenaikan) Piutang Pihak Berelasi,Pembayaran Investasi Jangka Pendek,Penurunan Utang Pihak Berelasi,Pembayaran Untuk Investasi Jangka Pendek Dalam Reksadana,Peningkatan Penyertaan Saham Pada Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Pinjaman Bank Jangka Pendek - Bersih,"Pembayaran Pinjaman Bank, Wesel Bayar Dan Obligasi Jangka Panjang",Penerimaan Dari Utang Obligasi,Penerimaan Dari Medium-Term Notes,Pembayaran Liabilitas Sewa Pembiayaan,Kenaikan (Penurunan) Utang Pihak Berelasi,Penurunan (Kenaikan) Piutang Pihak Berelasi,Pembayaran Dividen Kas,Penerimaan Dari Penerbitan Sukuk Mudharabah,Pembayaran Sukuk Mudharabah,Utang Obligasi,Pembayaran Atas Utang Obligasi,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Utang Murabahah Dan Pembiayaan Musyarakah,Pembayaran Utang Murabahah Dan Pembiayaan Musyarakah,Kenaikan (Penurunan) Pinjaman Bank Dan Pembiayaan Musyarakah Jangka Pendek,Pembayaran Atas Medium-Term Notes,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,424595837.000000,2247270727.000000,-1778881842.000000,998269.000000,-25624454.000000,-19166863.000000,424595837.000000,-561223296.000000,56648.000000,4024208.000000,475693.000000,,-565779845.000000,,,,,,-561223296.000000,159918696.000000,77684966.000000,-7976713.000000,,,-293274.000000,11028802.000000,-669593.000000,,,,,,,80144508.000000,,,,,,159918696.000000,23291237.000000,,20746524.000000,44037761.000000
12M 2009,109261596.000000,1732286527.000000,-1628239881.000000,951712.000000,24909160.000000,-20645922.000000,109261596.000000,-134085908.000000,34691.000000,1981181.000000,263019.000000,,-136364799.000000,,,,,,-134085908.000000,36710631.000000,55163957.000000,-8071627.000000,,,-648120.000000,-8323692.000000,8361390.000000,,,,,,,,-9771277.000000,,,,,36710631.000000,11886319.000000,,44037761.000000,55924080.000000
12M 2010,148873000.000000,2446366000.000000,-2268072000.000000,-6441000.000000,969000.000000,-23949000.000000,148873000.000000,-154637000.000000,803000.000000,11135000.000000,,,-166575000.000000,,,,,,-154637000.000000,11455000.000000,13244000.000000,-35871000.000000,,,-1290000.000000,10609000.000000,1231000.000000,,,,,,,23532000.000000,,,,,,11455000.000000,5691000.000000,,55924000.000000,61615000.000000
12M 2011,161794000.000000,2560525000.000000,-2350326000.000000,1918000.000000,-25941000.000000,-24382000.000000,161794000.000000,-476058000.000000,72000.000000,-197652000.000000,,,-278478000.000000,,,,,,-476058000.000000,311855000.000000,156216000.000000,-53354000.000000,,,-643000.000000,,,,,,,,,209636000.000000,,,,,,311855000.000000,-2409000.000000,-308000.000000,61615000.000000,58898000.000000
12M 2012,160138000.000000,2561150000.000000,-2347850000.000000,3548000.000000,-18031000.000000,-38679000.000000,160138000.000000,-345063000.000000,37000.000000,29227000.000000,155000.000000,,-374482000.000000,,,,,,-345063000.000000,266803000.000000,327582000.000000,-87239000.000000,,,-358000.000000,,,,,,,,,26818000.000000,,,,,,266803000.000000,81878000.000000,418000.000000,58898000.000000,141194000.000000
12M 2013,364046000.000000,2879967000.000000,-2141675000.000000,4768000.000000,-35776000.000000,-343238000.000000,364046000.000000,-495397000.000000,78000.000000,-184471000.000000,,,-337557000.000000,27578000.000000,,,-1025000.000000,,-495397000.000000,65140000.000000,228514000.000000,-400482000.000000,,,-303000.000000,,,,,,,,,237411000.000000,,,,,,65140000.000000,-66211000.000000,124000.000000,141194000.000000,75107000.000000
12M 2014,301466000.000000,2578525000.000000,-2180824000.000000,4859000.000000,-1557000.000000,-99537000.000000,301466000.000000,-25351000.000000,29000.000000,119099000.000000,,,-156757000.000000,12278000.000000,,,,,-25351000.000000,-232382000.000000,47659000.000000,-123737000.000000,,,-657000.000000,,,,,,,,-61191000.000000,,-134962000.000000,11071000.000000,-5380000.000000,34815000.000000,,-232382000.000000,43733000.000000,485000.000000,75107000.000000,119325000.000000
12M 2015,161158000.000000,2401876000.000000,-2197384000.000000,5476000.000000,43756000.000000,-92566000.000000,161158000.000000,-230759000.000000,195000000.000000,-20572000.000000,107000.000000,,-405529000.000000,235000.000000,,,,,-230759000.000000,121025000.000000,248780000.000000,-122220000.000000,,,-12316000.000000,,,-9618000.000000,,,,,-54896000.000000,,-152968000.000000,10690000.000000,-7273000.000000,220846000.000000,,121025000.000000,51424000.000000,1221000.000000,119325000.000000,171970000.000000
12M 2016,163996000.000000,2655196000.000000,-2386680000.000000,3617000.000000,-3249000.000000,-104888000.000000,163996000.000000,85097000.000000,8387000.000000,113932000.000000,111000.000000,,-37942000.000000,609000.000000,,,,,85097000.000000,-210361000.000000,189279000.000000,-123937000.000000,,,-41985000.000000,,,-9838000.000000,,,,,-57335000.000000,,-159333000.000000,6015000.000000,-8966000.000000,-4261000.000000,,-210361000.000000,38732000.000000,233000.000000,171970000.000000,210935000.000000
12M 2017,665746000.000000,2939508000.000000,-2187350000.000000,4674000.000000,15449000.000000,-106535000.000000,665746000.000000,-367033000.000000,104661000.000000,-360772000.000000,,,-111079000.000000,157000.000000,,,,,-367033000.000000,110016000.000000,360447000.000000,-127850000.000000,,107027000.000000,-55903000.000000,,,-11627000.000000,,,,,-57629000.000000,,-172731000.000000,26276000.000000,-20242000.000000,62248000.000000,,110016000.000000,408729000.000000,439000.000000,210935000.000000,620103000.000000
