Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Usaha,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Pinjaman Jangka Panjang,Wesel Bayar,Sukuk Mudharabah,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Surat Berharga Jangka Menengah,Wesel Bayar,Pinjaman Jangka Panjang,Sukuk Mudharabah,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,44037761.000000,34859864.000000,9177897.000000,44037761.000000,211869261.000000,142964047.000000,68905214.000000,211869261.000000,6081358.000000,470339554.000000,184995873.000000,917323807.000000,,544475.000000,82493860.000000,185253711.000000,3915707.000000,4358479207.000000,419951269.000000,5050638229.000000,5967962036.000000,,,761320091.000000,103021822.000000,,229267427.000000,108819859.000000,338087286.000000,31480050.000000,,,31480050.000000,190872775.000000,6424754.000000,,546276.000000,,,,,,8387128.000000,82500000.000000,,,,91433404.000000,,761320091.000000,3056072781.000000,11081914.000000,108355063.000000,,1521006.000000,,61539630.000000,,61539630.000000,,1964308689.000000,870314009.000000,,,,2897683334.000000,38952470.000000,3056072781.000000,3817392872.000000,,2189015592.000000,5807836.000000,-44520982.000000,,,-44520982.000000,266718.000000,,2150569164.000000,5967962036.000000,5470982941.000000
12M 2009,,,55924080.000000,40923291.000000,15000789.000000,55924080.000000,261582698.000000,109848722.000000,151733976.000000,261582698.000000,9242701.000000,423338312.000000,134548749.000000,884636540.000000,,538180.000000,73893903.000000,176892321.000000,3768345.000000,4269282879.000000,404487739.000000,4928863367.000000,5813499907.000000,,,1001072383.000000,158185779.000000,,154582753.000000,66660831.000000,221243584.000000,16947494.000000,,,16947494.000000,224666783.000000,12330189.000000,,773022.000000,,,,,,20425532.000000,346500000.000000,,,,367698554.000000,,1001072383.000000,2820436060.000000,2758222.000000,126306459.000000,,1517802.000000,,53191489.000000,,53191489.000000,,1702554957.000000,883010172.000000,,,,2640274420.000000,51096959.000000,2820436060.000000,3821508443.000000,,2189015592.000000,5807836.000000,-202999822.000000,,,-202999822.000000,167858.000000,,1991991464.000000,5813499907.000000,5470982941.000000
12M 2010,,,61615000.000000,44342000.000000,17273000.000000,61615000.000000,330530000.000000,184848000.000000,145682000.000000,330530000.000000,12149000.000000,568668000.000000,118666000.000000,1091628000.000000,,155000.000000,60944000.000000,175661000.000000,3751000.000000,4157964000.000000,435009000.000000,4833484000.000000,5925112000.000000,,,1081897000.000000,171430000.000000,,132990000.000000,43781000.000000,176771000.000000,21392000.000000,,,21392000.000000,193032000.000000,24413000.000000,,592000.000000,,,,,,29140000.000000,465127000.000000,,,,494859000.000000,,1081897000.000000,2836168000.000000,13367000.000000,150766000.000000,,409000.000000,,49831000.000000,,49831000.000000,,1621892000.000000,938822000.000000,,,,2610954000.000000,61081000.000000,2836168000.000000,3918065000.000000,,2189016000.000000,5808000.000000,-187914000.000000,,,-187914000.000000,137000.000000,,2007047000.000000,5925112000.000000,5470982941.000000
12M 2011,,,58898000.000000,53007000.000000,5891000.000000,58898000.000000,343437000.000000,166795000.000000,176642000.000000,343437000.000000,7224000.000000,687023000.000000,371185000.000000,1467767000.000000,,236000.000000,50341000.000000,174537000.000000,3836000.000000,4208002000.000000,414116000.000000,4851068000.000000,6318835000.000000,,,1388056000.000000,327646000.000000,,108915000.000000,44634000.000000,153549000.000000,11344000.000000,,,11344000.000000,228586000.000000,9962000.000000,,358000.000000,,,,,,62142000.000000,594469000.000000,,,,656969000.000000,,1388056000.000000,2907676000.000000,23535000.000000,157731000.000000,,,,217659000.000000,,217659000.000000,,1487906000.000000,950916000.000000,,,,2656481000.000000,69929000.000000,2907676000.000000,4295732000.000000,,2189016000.000000,5808000.000000,-171868000.000000,,,-171868000.000000,147000.000000,,2023103000.000000,6318835000.000000,5470982941.000000
12M 2012,,,141194000.000000,136336000.000000,4858000.000000,141194000.000000,310043000.000000,190617000.000000,119426000.000000,310043000.000000,8489000.000000,885118000.000000,332134000.000000,1676978000.000000,,255000.000000,42225000.000000,173299000.000000,3757000.000000,4285392000.000000,465594000.000000,4970522000.000000,6647500000.000000,,,999308000.000000,354464000.000000,,133495000.000000,50100000.000000,183595000.000000,,8793000.000000,,8793000.000000,260116000.000000,5886000.000000,,,,,,,,108263000.000000,78191000.000000,,,,186454000.000000,,999308000.000000,3575396000.000000,21384000.000000,140186000.000000,,,,451356000.000000,,451356000.000000,,1968647000.000000,918906000.000000,,,,3338909000.000000,74917000.000000,3575396000.000000,4574704000.000000,,2189016000.000000,5808000.000000,-122260000.000000,,,-122260000.000000,232000.000000,,2072796000.000000,6647500000.000000,5470982941.000000
12M 2013,,,75107000.000000,67058000.000000,8049000.000000,75107000.000000,198193000.000000,124920000.000000,73273000.000000,198193000.000000,6275000.000000,906512000.000000,588325000.000000,1774412000.000000,,,11860000.000000,145721000.000000,3852000.000000,4477322000.000000,364027000.000000,5002782000.000000,6777194000.000000,,,1211787000.000000,591875000.000000,,179314000.000000,60003000.000000,239317000.000000,,10384000.000000,81629000.000000,92013000.000000,40492000.000000,3713000.000000,,465000.000000,,160284000.000000,9000.000000,160293000.000000,,,83619000.000000,,,,244377000.000000,,1211787000.000000,3271409000.000000,46011000.000000,125635000.000000,,1342000.000000,,443650000.000000,9000.000000,443659000.000000,,1850189000.000000,738108000.000000,,,,3033298000.000000,66465000.000000,3271409000.000000,4483196000.000000,,2189016000.000000,5808000.000000,98807000.000000,,,98807000.000000,367000.000000,,2293998000.000000,6777194000.000000,5470982941.000000
12M 2014,,,119325000.000000,113974000.000000,5351000.000000,119325000.000000,203867000.000000,143448000.000000,60419000.000000,203867000.000000,4561000.000000,870958000.000000,458795000.000000,1657506000.000000,,,,133443000.000000,4128000.000000,4394593000.000000,329603000.000000,4861767000.000000,6519273000.000000,,,1200115000.000000,626690000.000000,,163758000.000000,47984000.000000,211742000.000000,,7958000.000000,22537000.000000,30495000.000000,32340000.000000,4474000.000000,,786000.000000,,132494000.000000,9000.000000,132503000.000000,,,119762000.000000,,,41323000.000000,294374000.000000,,1200115000.000000,2910786000.000000,17400000.000000,125789000.000000,,1462000.000000,,330182000.000000,,330182000.000000,,1705924000.000000,643633000.000000,,,13087000.000000,2694288000.000000,73309000.000000,2910786000.000000,4110901000.000000,,2189016000.000000,5808000.000000,213170000.000000,1000000.000000,212170000.000000,213170000.000000,378000.000000,,2408372000.000000,6519273000.000000,5470982941.000000
12M 2015,,,171970000.000000,167050000.000000,4920000.000000,171970000.000000,614691000.000000,158844000.000000,455847000.000000,614691000.000000,3743000.000000,865608000.000000,418148000.000000,2074160000.000000,,95000.000000,,133208000.000000,4274000.000000,4287657000.000000,539018000.000000,4964252000.000000,7038412000.000000,,,1479726000.000000,838115000.000000,,185811000.000000,33276000.000000,219087000.000000,,15308000.000000,,15308000.000000,37550000.000000,2515000.000000,,41959000.000000,,151324000.000000,,151324000.000000,,,155399000.000000,,,9048000.000000,357730000.000000,9421000.000000,1479726000.000000,2935591000.000000,11177000.000000,134879000.000000,,143320000.000000,,396284000.000000,,396284000.000000,,1562756000.000000,573970000.000000,,,44435000.000000,2720765000.000000,68770000.000000,2935591000.000000,4415317000.000000,,2189016000.000000,5808000.000000,421095000.000000,2000000.000000,419095000.000000,421095000.000000,345000.000000,6831000.000000,2623095000.000000,7038412000.000000,5470982941.000000
12M 2016,,,210935000.000000,183862000.000000,27073000.000000,210935000.000000,680466000.000000,155464000.000000,525002000.000000,680466000.000000,2036000.000000,977762000.000000,315780000.000000,2186979000.000000,,,,132599000.000000,4623000.000000,4043525000.000000,511074000.000000,4691821000.000000,6878800000.000000,,,1368294000.000000,833600000.000000,,96747000.000000,14732000.000000,111479000.000000,,13194000.000000,,13194000.000000,26133000.000000,2973000.000000,,40042000.000000,,164973000.000000,,164973000.000000,,,160539000.000000,,,5686000.000000,371240000.000000,9675000.000000,1368294000.000000,2691120000.000000,11281000.000000,78191000.000000,,109056000.000000,,405019000.000000,,405019000.000000,,1445972000.000000,527969000.000000,,,46143000.000000,2534159000.000000,67489000.000000,2691120000.000000,4059414000.000000,,2189016000.000000,5883000.000000,613754000.000000,3000000.000000,610754000.000000,613754000.000000,395000.000000,10338000.000000,2819386000.000000,6878800000.000000,5470982941.000000
12M 2017,,,620103000.000000,617670000.000000,2433000.000000,620103000.000000,869169000.000000,265879000.000000,603290000.000000,869169000.000000,2855000.000000,949560000.000000,703662000.000000,3145349000.000000,,,,132442000.000000,5062000.000000,3835657000.000000,515726000.000000,4488887000.000000,7634236000.000000,,,1502930000.000000,888546000.000000,,112675000.000000,24806000.000000,137481000.000000,,15720000.000000,,15720000.000000,31829000.000000,9367000.000000,,60511000.000000,,190684000.000000,,190684000.000000,,,147720000.000000,,,4095000.000000,403010000.000000,16977000.000000,1502930000.000000,2913659000.000000,15065000.000000,118321000.000000,,136969000.000000,,572927000.000000,,572927000.000000,107027000.000000,1344283000.000000,491496000.000000,,,53344000.000000,2706046000.000000,74227000.000000,2913659000.000000,4416589000.000000,,2189016000.000000,5883000.000000,1014642000.000000,4000000.000000,1010642000.000000,1014642000.000000,462000.000000,7644000.000000,3217647000.000000,7634236000.000000,5470982941.000000
