Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Kontraktor,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan (Pembayaran) Kas Untuk Beban Operasi Lain,Pembayaran Pajak Final,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Tanah,Penerimaan Dari Pengembalian Uang Muka Tanah,Penerimaan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Properti Investasi,Peningkatan Aset Tidak Lancar Lain-Lain,Penerimaan Dari Pelepasan Entitas Anak,Pembayaran Uang Muka Investasi,Akuisisi Entitas Anak Baru,Setoran Modal Entitas Anak Oleh Nonpengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Dan Modal Disetor,Penambahan Modal Melalui Penawaran Umum,Pembayaran Biaya Emisi Saham,Penambahan Modal Melalui Waran,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Ketiga,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Pembiayaan Konsumen,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Beraguna,Pembayaran Pinjaman Beraguna,Penerimaan Dari Pinjaman Lembaga Keuangan Lainnya,Pembayaran Pinjaman Lembaga Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kenaikan Neto Kas Dan Bank Sehubungan Dengan Akuisisi,Kas Dan Setara Kas Akhir Periode
12M 2018,-4422910601.000000,9711624613.000000,,-5277844451.000000,-4360906051.000000,-1896456547.000000,-11535207049.000000,-2599328165.000000,,,-4422910601.000000,-9807631985.000000,,,,-9478915106.000000,-328716879.000000,,,,,,,,-9807631985.000000,15040051462.000000,,,,,,-2143861538.000000,,17200000000.000000,,-16087000.000000,,,,,,,15040051462.000000,809508876.000000,3923067322.000000,,4732576198.000000
12M 2019,-9365116861.000000,16552651964.000000,,-7032147926.000000,-7746727993.000000,-6300369462.000000,-21079245381.000000,-2352625140.000000,-156774879.000000,-2329123425.000000,-9365116861.000000,-14275230207.000000,,,,-7760261039.000000,-247318325.000000,,-6356650843.000000,,,,,89000000.000000,-14275230207.000000,20742215486.000000,,,,,2943792365.000000,,,19150000000.000000,-8780000000.000000,-257847879.000000,8850000000.000000,-1163729000.000000,,,,,20742215486.000000,-2898131582.000000,4732576199.000000,,1834444617.000000
12M 2020,-381266609.000000,29832868610.000000,,-6840859818.000000,-12329566271.000000,-2347775797.000000,-21518201886.000000,-3349374894.000000,214343216.000000,-5560901655.000000,-381266609.000000,-2795217623.000000,-341800333.000000,,,-1749602290.000000,-41815000.000000,,,,127000000.000000,,-789000000.000000,,-2795217623.000000,1885068997.000000,,,,,,-1576371049.000000,,9686100000.000000,-5084400000.000000,-321466367.000000,,-2179169000.000000,,,1443471680.000000,-83096267.000000,1885068997.000000,-1291415235.000000,1834444616.000000,1235863572.000000,1778892953.000000
12M 2021,-77911268224.000000,19108274896.000000,,-51811231626.000000,-19417106077.000000,-2535053417.000000,-73763391120.000000,-21641949799.000000,-1152466800.000000,-461735401.000000,-77911268224.000000,-9741412031.000000,-13000000.000000,3370000000.000000,2520570813.000000,,-15351965261.000000,,-749017583.000000,,,,-68000000.000000,550000000.000000,-9741412031.000000,91943942106.000000,74604000000.000000,,,,,-5872907122.000000,,24697750000.000000,-7772350000.000000,-273954900.000000,8300000000.000000,-1354658994.000000,,,,-383936878.000000,91943942106.000000,4291261851.000000,1778892952.000000,,6070154803.000000
12M 2022,-42326153112.000000,29958212532.000000,,-58022347985.000000,-8168471000.000000,-3062681671.000000,-69253500656.000000,-1784095753.000000,-808483256.000000,-438285979.000000,-42326153112.000000,-105217224759.000000,,,96178090.000000,,-563035156.000000,,-4750367693.000000,-100000000000.000000,,,,,-105217224759.000000,144948560345.000000,,150000000000.000000,-3514306467.000000,7400500.000000,3566600000.000000,,3448257858.000000,,-5558000000.000000,-225648000.000000,,-2293921866.000000,,,,-481821680.000000,144948560345.000000,-2594817526.000000,6070154803.000000,,3475337277.000000
12M 2023,8716857784.000000,26070229217.000000,,-10002465815.000000,-1650621426.000000,-3040834805.000000,-14693922046.000000,-1449070766.000000,-846790002.000000,-363588619.000000,8716857784.000000,-11999257200.000000,,,-473746751.000000,,-3511423189.000000,,-8014087260.000000,,,,,,-11999257200.000000,982668976.000000,,,,8378500.000000,286175978.000000,-5845641913.000000,,16000000000.000000,-7344642500.000000,-227630014.000000,2300000000.000000,-3699354221.000000,,,,-494616854.000000,982668976.000000,-2299730440.000000,3475337277.000000,,1175606837.000000
12M 2024,8580598859.000000,25808284932.000000,,-8297612510.000000,-982926563.000000,-2833218955.000000,-12113758028.000000,-3371259311.000000,-787502921.000000,-955165813.000000,8580598859.000000,-20156897458.000000,,,34060997.000000,,-3538347761.000000,920000000.000000,-17572610694.000000,,,,,,-20156897458.000000,11866977418.000000,,,,9877750.000000,,,681333303.000000,,-11480987120.000000,-73233986.000000,26480000000.000000,-3750012529.000000,,,,,11866977418.000000,290678819.000000,1175606837.000000,,1466285656.000000
