Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,5136442374.000000,-2227311430.000000,2909130944.000000,-5390570919.000000,-700023527.000000,-4690547392.000000,-5390570919.000000,-2481439975.000000,17141863.000000,,17141863.000000,17141863.000000,-2464298112.000000,233408908.000000,,233408908.000000,,233408908.000000,-2230889204.000000,,-2230889204.000000,,,,-2230889204.000000,-2230889204.000000,-2036578110.000000,-194311094.000000,-2230889204.000000,-2230889204.000000,-2036578110.000000,-194311094.000000,-2230889204.000000
12M 2019,11458656983.000000,-4983119104.000000,6475537879.000000,-5448020264.000000,-488469475.000000,-4959550789.000000,-5448020264.000000,1027517615.000000,249803138.000000,-85628121.000000,335431259.000000,249803138.000000,1277320753.000000,-360516443.000000,,-269953455.000000,-90562988.000000,-360516443.000000,916804310.000000,,916804310.000000,-3318668.000000,-3318668.000000,-3318668.000000,913485642.000000,916804309.000000,932707234.000000,-15902925.000000,916804309.000000,913485641.000000,929388566.000000,-15902925.000000,913485641.000000
12M 2020,26784674177.000000,-13428673264.000000,13356000913.000000,-6592230762.000000,-1220840010.000000,-5371390752.000000,-6592230762.000000,6763770151.000000,107514737.000000,-123833364.000000,231348101.000000,107514737.000000,6871284888.000000,-1373554473.000000,,-971507520.000000,-402046953.000000,-1373554473.000000,5497730415.000000,,5497730415.000000,-3726638.000000,-3726638.000000,-3726638.000000,5494003777.000000,5497730415.000000,4539116991.000000,958613424.000000,5497730415.000000,5494003777.000000,4535390353.000000,958613424.000000,5494003777.000000
12M 2021,37274617311.000000,-21271778426.000000,16002838885.000000,-8919871217.000000,-1342952943.000000,-7576918274.000000,-8919871217.000000,7082967668.000000,102788355185.000000,-461735401.000000,103250090586.000000,102788355185.000000,109871322853.000000,-1257260732.000000,-154836356.000000,-350866147.000000,-751558229.000000,-1257260732.000000,108614062121.000000,,108614062121.000000,-3929119.000000,-3929119.000000,-3929119.000000,108610133002.000000,108614062121.000000,96563849528.000000,12050212593.000000,108614062121.000000,108610133002.000000,96559920409.000000,12050212593.000000,108610133002.000000
12M 2022,35250188377.000000,-20476648525.000000,14773539852.000000,-9224552619.000000,-1233847358.000000,-7990705261.000000,-9224552619.000000,5548987233.000000,223257682.000000,-438285979.000000,661543661.000000,223257682.000000,5772244915.000000,-1060210142.000000,-255253000.000000,3526114.000000,-808483256.000000,-1060210142.000000,4712034773.000000,,4712034773.000000,67664421.000000,67664421.000000,67664421.000000,4779699194.000000,4712034773.000000,4587702617.000000,124332156.000000,4712034773.000000,4779699194.000000,4655367038.000000,124332156.000000,4779699194.000000
12M 2023,35649396624.000000,-20399087840.000000,15250308784.000000,-7205520158.000000,-456050459.000000,-6749469699.000000,-7205520158.000000,8044788626.000000,23757046545.000000,-363588619.000000,24120635164.000000,23757046545.000000,31801835171.000000,-999961840.000000,-168280239.000000,15108401.000000,-846790002.000000,-999961840.000000,30801873331.000000,,30801873331.000000,-14855346.000000,,-14855346.000000,30787017985.000000,30801873330.000000,24743971712.000000,6057901618.000000,30801873330.000000,30787017984.000000,24729116366.000000,6057901618.000000,30787017984.000000
12M 2024,31500116825.000000,-16242985098.000000,15257131727.000000,-6948604616.000000,-782470322.000000,-6166134294.000000,-6948604616.000000,8308527111.000000,141615591.000000,-955165813.000000,1096781404.000000,141615591.000000,8450142702.000000,-767987327.000000,,19515594.000000,-787502921.000000,-767987327.000000,7682155375.000000,,7682155375.000000,120356618.000000,,120356618.000000,7802511993.000000,7682155375.000000,7908736723.000000,-226581348.000000,7682155375.000000,7802511993.000000,8014559181.000000,-212047188.000000,7802511993.000000
