Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,4732576199.000000,,,,,735574713.000000,500000.000000,735074713.000000,735574713.000000,21527177662.000000,135417193.000000,27130745767.000000,,,,,,14756234975.000000,,14756234975.000000,14756234975.000000,,2066434792.000000,,1685217997.000000,18507887764.000000,45638633531.000000,,,50976474304.000000,21700000000.000000,7647371212.000000,,,7647371212.000000,,135417193.000000,,,158954184.000000,,158954184.000000,21334731715.000000,50976474304.000000,7611200171.000000,6839202815.000000,,,342173837.000000,,342173837.000000,429823519.000000,7611200171.000000,58587674475.000000,,100000000.000000,,-12886553159.000000,,,-12886553159.000000,-162487786.000000,,-12949040945.000000,45638633530.000000,100.000000
12M 2019,,,1834444616.000000,802357300.000000,,,802357300.000000,2885514335.000000,1299645055.000000,1585869280.000000,2885514335.000000,32913965186.000000,275910537.000000,38712191974.000000,,,,,,20366556393.000000,,20366556393.000000,20366556393.000000,6356650843.000000,2624675773.000000,,1416370765.000000,30764253774.000000,69476445748.000000,,,64836389638.000000,32070000000.000000,6984039058.000000,,,6984039058.000000,,220566205.000000,,2212500000.000000,321466368.000000,,2533966368.000000,23027818007.000000,64836389638.000000,16586611413.000000,9782995180.000000,,5473771000.000000,800466899.000000,,6274237899.000000,529378334.000000,16586611413.000000,81423001051.000000,,100000000.000000,,-11953845925.000000,,,-11953845925.000000,-89390711.000000,-3318668.000000,-11946555304.000000,69476445747.000000,100.000000
12M 2020,,,1778892952.000000,1423590130.000000,,,1423590130.000000,1521411471.000000,,1521411471.000000,1521411471.000000,63407162599.000000,2868244877.000000,70999302029.000000,,,,,,1506158682.000000,,1506158682.000000,1506158682.000000,7708718490.000000,2141755178.000000,1149981100.000000,445744160.000000,12952357610.000000,83951659639.000000,,,76456218933.000000,36671700000.000000,4849612377.000000,,,4849612377.000000,,1097429380.000000,,2212500000.000000,336340237.000000,373609083.000000,2922449320.000000,30915027856.000000,76456218933.000000,14100309360.000000,8707907122.000000,,3294602000.000000,464126663.000000,986766329.000000,4745494992.000000,646907246.000000,14100309360.000000,90556528293.000000,,100000000.000000,,-7414728934.000000,,,-7414728934.000000,716905586.000000,-7045306.000000,-6604868654.000000,83951659639.000000,100.000000
12M 2021,,,6070154803.000000,6411529319.000000,,,6411529319.000000,48007750.000000,,48007750.000000,48007750.000000,102022423226.000000,4917585713.000000,119469700811.000000,,7751264409.000000,,,7751264409.000000,658991590.000000,,658991590.000000,658991590.000000,118059000000.000000,16536823607.000000,1149981100.000000,95986226.000000,144252046932.000000,263721747743.000000,,,74360915306.000000,53597100000.000000,1461967693.000000,,,1461967693.000000,146459472.000000,772935207.000000,,4412211879.000000,239323636.000000,443835697.000000,5095371212.000000,13287081722.000000,74360915306.000000,12617177868.000000,2835000000.000000,,8040231127.000000,287188364.000000,532602837.000000,8860022328.000000,922155540.000000,12617177868.000000,86978093174.000000,,74704000000.000000,,89149120594.000000,,,89149120594.000000,12901508402.000000,-10974425.000000,176743654571.000000,263721747745.000000,3735200000.000000
12M 2022,,,3475337278.000000,7819644810.000000,,,7819644810.000000,329312420.000000,,329312420.000000,329312420.000000,141949704066.000000,110659596864.000000,264233595438.000000,,14786229700.000000,,,14786229700.000000,281508830.000000,,281508830.000000,281508830.000000,122809367693.000000,15919131503.000000,1149981100.000000,100777387.000000,155046996213.000000,419280591651.000000,,,76877622380.000000,48039100000.000000,2080424794.000000,,,2080424794.000000,134769030.000000,2830658212.000000,,3544643618.000000,136756364.000000,224825843.000000,3906225825.000000,19886444519.000000,76877622380.000000,14386521473.000000,6401600000.000000,,6613877521.000000,164107636.000000,269791011.000000,7047776168.000000,937145305.000000,14386521473.000000,91264143853.000000,,104704592040.000000,116492501993.000000,93736823211.000000,,,93736823211.000000,13025840558.000000,56689996.000000,328016447798.000000,419280591651.000000,5235229602.000000
12M 2023,,,1175606837.000000,3453714046.000000,,,3453714046.000000,851726932.000000,,851726932.000000,851726932.000000,133634053128.000000,108464719157.000000,247579820100.000000,,33096536250.000000,,,33096536250.000000,232841069.000000,,232841069.000000,232841069.000000,154335300000.000000,18303400311.000000,1149981100.000000,117354269.000000,207235412999.000000,454815233099.000000,,,82487946509.000000,56694457500.000000,387422242.000000,,,387422242.000000,581825747.000000,3288633348.000000,,3056362702.000000,73233986.000000,,3129596688.000000,18406010984.000000,82487946509.000000,13515442308.000000,6687775978.000000,,5702804216.000000,,,5702804216.000000,1124862114.000000,13515442308.000000,96003388817.000000,,104705262320.000000,116500210213.000000,118480794923.000000,20000000.000000,118460794923.000000,118480794923.000000,19083742176.000000,41834650.000000,358811844282.000000,454815233099.000000,5235244347.000000
12M 2024,,,1466285656.000000,5689981806.000000,,,5689981806.000000,592843845.000000,,592843845.000000,592843845.000000,125733720451.000000,109063804671.000000,242546636429.000000,,33966163218.000000,,,33966163218.000000,457663159.000000,,457663159.000000,457663159.000000,171907910694.000000,20377931066.000000,1149981100.000000,130710954.000000,227990360191.000000,470536996620.000000,,,72858581954.000000,50775500000.000000,223590520.000000,,,223590520.000000,214563192.000000,2420680310.000000,,2722840810.000000,,,2722840810.000000,16501407122.000000,72858581954.000000,31054180641.000000,6687775978.000000,,23204283959.000000,,,23204283959.000000,1162120704.000000,31054180641.000000,103912762595.000000,,104706052540.000000,116509297743.000000,126389531646.000000,30000000.000000,126359531646.000000,126389531646.000000,18871694988.000000,147657108.000000,366624234025.000000,470536996620.000000,5235292216.000000
