Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pengguna Online Marketplace Perusahaan Yang Belum Diserahkan Kepada Merchant,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Dari Pendapatan Keuangan,Penerimaan Dari/(Pembayaran Untuk) Aktivitas Lainnya,Pembayaran Beban Keuangan,Pembayaran Pajak,Penerimaan Dari Tagihan Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan (Penambahan) Investasi Jangka Pendek - Neto,Penambahan Aset Keuangan Lancar Lainnya,Penerimaan Kas Dan Setara Kas Dari Bisnis Kombinasi,Penerimaan Dari Pelepasan Aset Tetap,Penambahan Investasi,Penambahan Investasi Pada Entitas Asosiasi,Penambahan Investasi Jangka Panjang,Penerimaan Dari Pelepasan Investasi Jangka Panjang,Penerimaan Dari Investasi,Akuisisi Entitas Anak,Akuisisi Entitas Anak Dari Kepentingan Non-Pengendali,Dividen Kas Yang Diterima,Penambahan Aset Tidak Berwujud,Penerimaan Dari Pelepasan Entitas Anak,Pelepasan Kas Bersih Dari Entitas Yang Tidak Dikonsolidasi,"Akuisisi Entitas Anak, Neto Dengan Penerimaan Kas",Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Dari Penambahan Setoran Modal,Penerimaan Dari Uang Muka Penyertaan Modal,Penambahan Setoran Modal Dari Entitas Non-Pengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Dari Entitas Yang Tidak Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-1811004031000.000000,230508438000.000000,586412709000.000000,-2731765969000.000000,46539007000.000000,57601735000.000000,-299951000.000000,,,,-1811004031000.000000,-546497189000.000000,-534750323000.000000,,,,,-8640027000.000000,,,,,,,,-3106839000.000000,,,,,-546497189000.000000,4163762608000.000000,,,,,4163758606000.000000,4002000.000000,,4163762608000.000000,1806261388000.000000,1003908000.000000,,242034397000.000000,2049299693000.000000
12M 2019,-3061605293000.000000,935801246000.000000,261196767000.000000,-4351078875000.000000,46128598000.000000,46717713000.000000,-370742000.000000,,,,-3061605293000.000000,-83302800000.000000,-83605468000.000000,,,,302668000.000000,,,,,,,,,,,,,,-83302800000.000000,2004562815000.000000,,,,,2004562815000.000000,,,2004562815000.000000,-1140345278000.000000,-24967443000.000000,,2049299693000.000000,883986972000.000000
12M 2020,-1154372038000.000000,1649651636000.000000,295079034000.000000,-3239896424000.000000,17697002000.000000,13250098000.000000,-8547176000.000000,,118393792000.000000,,-1154372038000.000000,-1437080000.000000,-14787051000.000000,,,,13349971000.000000,,,,,,,,,,,,,,-1437080000.000000,1747478139000.000000,-12250216000.000000,,,,1709718355000.000000,,50010000000.000000,1747478139000.000000,591669021000.000000,8781943000.000000,,883986972000.000000,1484437936000.000000
12M 2021,-1409310196000.000000,2067219284000.000000,274471906000.000000,-3855962704000.000000,226611979000.000000,-103345235000.000000,-18305426000.000000,,,,-1409310196000.000000,-659000686000.000000,-2050757000.000000,,-575000000000.000000,21357106000.000000,9504742000.000000,-39863877000.000000,,,,,-72947900000.000000,,,,,,,,-659000686000.000000,25270995926000.000000,-13395358000.000000,,,2000000000000.000000,23284391284000.000000,,,25270995926000.000000,23202685044000.000000,13263768000.000000,,1484437936000.000000,24700386748000.000000
12M 2022,-631686387000.000000,4039046228000.000000,168252998000.000000,-5346471102000.000000,483056812000.000000,31506730000.000000,-7078053000.000000,,,,-631686387000.000000,-6008341514000.000000,-12457593000.000000,,,4845488000.000000,1739085000.000000,-1312455243000.000000,-802647780000.000000,-3706603152000.000000,,,-181509351000.000000,,3303481000.000000,-2556449000.000000,,,,,-6008341514000.000000,-2010156667000.000000,-13324287000.000000,,,-2000000000000.000000,,,3167620000.000000,-2010156667000.000000,-8650184568000.000000,205865119000.000000,,24700386748000.000000,16256067299000.000000
12M 2023,40679393000.000000,4881063085000.000000,167557684000.000000,-5826194918000.000000,796077512000.000000,47187633000.000000,-2322714000.000000,-19514905000.000000,,-3173984000.000000,40679393000.000000,-1037715508000.000000,-8639530000.000000,,,,1206065000.000000,-4580043145000.000000,-4000000000.000000,,3744636396000.000000,,-284890832000.000000,-78775500000.000000,2738212000.000000,-52698118000.000000,,,-62139888000.000000,284890832000.000000,-1037715508000.000000,-32971706000.000000,-33124756000.000000,,,,,,153050000.000000,-32971706000.000000,-1030007821000.000000,-45794779000.000000,,16256067299000.000000,15180264699000.000000
12M 2024,331205914000.000000,5037754921000.000000,164544691000.000000,-5660834144000.000000,961177497000.000000,-200693475000.000000,-3865241000.000000,-31505232000.000000,64626897000.000000,,331205914000.000000,-4411763591000.000000,-62466561000.000000,,,,1240028000.000000,-6558209915000.000000,-117921313000.000000,,2403536729000.000000,,,,5084147000.000000,-49334454000.000000,1510000000.000000,-35202252000.000000,,,-4411763591000.000000,-30079943000.000000,-28814812000.000000,-1265131000.000000,,,,,,-30079943000.000000,-4110637620000.000000,157932929000.000000,,15180264699000.000000,11227560008000.000000
