Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,890501730.000000,411189193.000000,663992225.000000,663992225.000000,,663992225.000000,1444875070.000000,247323476.000000,3657881694.000000,,1814916836.000000,2465216839.000000,2465216839.000000,2465216839.000000,174808564.000000,,530000000.000000,4984942239.000000,8642823933.000000,,,4408146973.000000,,2028864258.000000,2028864258.000000,,,492782064.000000,1679074629.000000,,,,,207426022.000000,4408146973.000000,,,,,,,,,4408146973.000000,,4500000000.000000,1050500000.000000,-1315823040.000000,,-1315823040.000000,,4234676960.000000,8642823933.000000,697500000.000000
12M 2020,,,2381006110.000000,64066385.000000,616011330.000000,616011330.000000,,616011330.000000,1107112919.000000,2667854421.000000,6836051165.000000,,6921852100.000000,1670362142.000000,1670362142.000000,1670362142.000000,,,530000000.000000,9122214242.000000,15958265407.000000,,,4784143894.000000,,1229527646.000000,1229527646.000000,,,767642866.000000,1128826352.000000,,,1591923444.000000,1591923444.000000,66223586.000000,4784143894.000000,4195300457.000000,,,4105030991.000000,4105030991.000000,90269466.000000,,4195300457.000000,8979444351.000000,,6975000000.000000,1050500000.000000,-1046678944.000000,,-1046678944.000000,,6978821056.000000,15958265407.000000,697500000.000000
12M 2021,,,22282650407.000000,216136172.000000,758604797.000000,634813831.000000,123790966.000000,758604797.000000,3940226144.000000,7763610138.000000,34961227658.000000,,8469765288.000000,,,,98662749.000000,,10044917079.000000,18613345116.000000,53574572774.000000,,,7857474107.000000,,2043678686.000000,2043678686.000000,,,1217120024.000000,1048341397.000000,,,3372834000.000000,3372834000.000000,175500000.000000,7857474107.000000,7058909505.000000,,,6259851116.000000,6259851116.000000,350591347.000000,448467042.000000,7058909505.000000,14916383612.000000,,10350000000.000000,1050500000.000000,-788560838.000000,,-788560838.000000,28046250000.000000,38658189162.000000,53574572774.000000,1035000000.000000
12M 2022,,,16074976032.000000,1748704362.000000,1826747286.000000,1816300000.000000,10447286.000000,1826747286.000000,14347125832.000000,17005274885.000000,51002828397.000000,,19797557418.000000,,,,363848788.000000,,14588728347.000000,34750134553.000000,85752962950.000000,,,21233913902.000000,,7365573002.000000,7365573002.000000,,,3471786285.000000,3567351985.000000,,1882460004.000000,4338913255.000000,6221373259.000000,607829371.000000,21233913902.000000,17152876086.000000,,7454839996.000000,7485329114.000000,14940169110.000000,558848851.000000,1653858125.000000,17152876086.000000,38386789988.000000,,10615521210.000000,1050500000.000000,4916752348.000000,,4916752348.000000,30783399403.000000,47366172961.000000,85752962949.000000,1061552121.000000
12M 2023,,,6104826185.000000,1864041241.000000,3628328436.000000,3622467836.000000,5860600.000000,3628328436.000000,15080843073.000000,10713243793.000000,37391282728.000000,,47283203347.000000,,,,259009628.000000,,21036903665.000000,68579116640.000000,105970399368.000000,,,24927634097.000000,,3133137196.000000,3133137196.000000,,3459596320.000000,5205367747.000000,3968143850.000000,,6544181580.000000,1718726480.000000,8262908060.000000,898480924.000000,24927634097.000000,35942368317.000000,,20732715306.000000,13286055914.000000,34018771220.000000,746280605.000000,1177316492.000000,35942368317.000000,60870002414.000000,,10746895970.000000,1050500000.000000,489581518.000000,489581518.000000,489581518.000000,32813419467.000000,45100396955.000000,105970399369.000000,1074689597.000000
12M 2024,,,18939096593.000000,2004763146.000000,3596950290.000000,3596950290.000000,,3596950290.000000,19790088670.000000,7872587414.000000,52203486113.000000,,56923398404.000000,,,,2187801950.000000,,24407775063.000000,83518975417.000000,135722461530.000000,,,35934681543.000000,,6646498936.000000,6646498936.000000,8801843994.000000,,4269728383.000000,3419327508.000000,,7002798435.000000,4586359733.000000,11589158168.000000,1208124554.000000,35934681543.000000,29997106306.000000,,18289819533.000000,9931965429.000000,28221784962.000000,808724700.000000,966596644.000000,29997106306.000000,65931787849.000000,,15147738930.000000,-27312500000.000000,-11465321010.000000,-11465321010.000000,-11465321010.000000,93420755760.000000,69790673680.000000,135722461529.000000,1514773893.000000
