Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional,Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Penghasilan Bunga,Penerimaan Penghasilan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Penerimaan Tambahan Modal Disetor,Tambahan Modal Disetor,Agio Waran,Agio Saham,Pembayaran Deviden,Pembayaran Dividen Interim,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Piutang Lain-Lain,Piutang Lain-Lain,Penerimaan,Pembayaran,Total Piutang Lain-Lain,Penerimaan Utang Bank,Pembayaran Utang Bank,Utang Sewa,Piutang Berelasi,Penerimaan,Pembayaran,Total Piutang Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,260550247.000000,21126410658.000000,-6599377098.000000,-14261571953.000000,,-11965057.000000,7053697.000000,,260550247.000000,-1613457073.000000,-1613457073.000000,,,-1613457073.000000,15044849.000000,,,,,,,,,,,,,,,,,,,,4251853307.000000,-4236808458.000000,15044849.000000,15044849.000000,-1337861977.000000,2228363707.000000,890501730.000000
12M 2020,368571444.000000,11880123630.000000,-4181875661.000000,-7326829094.000000,,-6924857.000000,4077426.000000,,368571444.000000,-184421761.000000,-184421761.000000,,,-184421761.000000,1306354697.000000,,,2475000000.000000,,,,,,,,,,,,,,,-1963500000.000000,,794854697.000000,,794854697.000000,1306354697.000000,-984495620.000000,890501730.000000,-93993890.000000
12M 2021,-3593549784.000000,14398207336.000000,-11789957120.000000,-3765965628.000000,-3167613575.000000,-465520681.000000,47299884.000000,1150000000.000000,-3593549784.000000,-8077395275.000000,-7293219274.000000,,-784176001.000000,-8077395275.000000,31572589356.000000,-1376429319.000000,,3375000000.000000,,28046250000.000000,,,1527768675.000000,,,1527768675.000000,,,,,,,,,,,,31572589356.000000,19901644297.000000,2381006110.000000,22282650407.000000
12M 2022,381431285.000000,65039832828.000000,-39410153408.000000,-15875990482.000000,-12161874829.000000,-883969479.000000,59845635.000000,3613741020.000000,381431285.000000,-13657660252.000000,-13068732988.000000,-408927264.000000,-180000000.000000,-13657660252.000000,7068554592.000000,-4519618044.000000,,265521210.000000,3053493915.000000,,,,-1068142489.000000,,,-1068142489.000000,,,,,9337300000.000000,,,,,,,7068554592.000000,-6207674375.000000,22282650407.000000,16074976032.000000
12M 2023,15058603149.000000,101065767149.000000,-39355983267.000000,-14456158016.000000,-29456361781.000000,-2737851897.000000,84221276.000000,-85030315.000000,15058603149.000000,-36928667621.000000,-32349822350.000000,-4158845271.000000,-420000000.000000,-36928667621.000000,11899914626.000000,-4338913255.000000,,131374760.000000,1510809740.000000,,-4528752349.000000,-472216327.000000,,14222773096.000000,-16024354245.000000,-1801581149.000000,,,,,27939222536.000000,-6540029330.000000,,,,,,11899914626.000000,-9970149846.000000,16074976032.000000,6104826186.000000
12M 2024,5299841033.000000,102115904747.000000,-32800807255.000000,-29797291191.000000,-31758441218.000000,-2494391605.000000,34867555.000000,,5299841033.000000,-15538968915.000000,-15538968915.000000,,,-15538968915.000000,12797454681.000000,-632692657.000000,4400842960.000000,-34000000000.000000,13624549140.000000,41443716400.000000,,,,,-6649985103.000000,-6649985103.000000,,54899179.000000,,54899179.000000,15288840068.000000,-20732715306.000000,,,,,,12797454681.000000,2558326799.000000,16380769799.000000,18939096598.000000
