Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.70 B,-1.01,-0.00,0.00,,-8.17%,-16.67%,-85.00%,-150.41
12M 2020,0.70 B,0.39,0.00,0.00,,1.69%,3.86%,-3.30%,-36.70
12M 2021,1.03 B,0.25,224.00,4.01,,0.48%,0.67%,-1.24%,-0.74
12M 2022,1.06 B,5.37,36.69,3.16,,6.65%,12.05%,9.51%,5.72
12M 2023,1.07 B,0.53,271.70,1.53,,0.54%,1.27%,-9.35%,-2.42
12M 2024,1.51 B,-8.33,-15.85,1.99,,-9.30%,-18.08%,-22.42%,-6.47
