Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,0 B,(2 B),(1 B),-1.94
12M 2020,0 B,(0 B),0 B,0.26
12M 2021,(4 B),(7 B),(11 B),-10.52
12M 2022,0 B,(13 B),(13 B),-11.95
12M 2023,15 B,(32 B),(17 B),-16.09
12M 2024,5 B,(16 B),(10 B),-6.76
