Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pihak Berelasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,171184665874.000000,,8308244308.000000,189133845190.000000,33623161722.000000,15321197164.000000,417571114258.000000,,,,1320223019.000000,855312661196.000000,80252735282.000000,936885619497.000000,1354456733755.000000,,,306740240597.000000,5519181980.000000,38837787925.000000,7421001971.000000,1959603277.000000,27000000000.000000,,,226002665444.000000,226002665444.000000,306740240597.000000,423521770577.000000,286013469443.000000,,,137357801674.000000,137357801674.000000,150499460.000000,423521770577.000000,730262011174.000000,,655000000000.000000,,-30804666692.000000,-610727.000000,624194722581.000000,1354456733755.000000,455000.000000
12M 2017,,,141430466678.000000,,9865982137.000000,183016932518.000000,16466848972.000000,86816862620.000000,437597092925.000000,,,500637248.000000,1665173278.000000,832101606920.000000,353003931116.000000,1187271348562.000000,1624868441487.000000,,,416524374452.000000,11541248443.000000,38959741421.000000,662275411.000000,9109834657.000000,27000000000.000000,,105201615676.000000,224049658844.000000,329251274520.000000,416524374452.000000,71456116284.000000,10815066757.000000,,,60133289443.000000,60133289443.000000,507760084.000000,71456116284.000000,487980490736.000000,,818750000000.000000,319391149619.000000,-1248033287.000000,-5165581.000000,1136887950751.000000,1624868441487.000000,8187500000.000000
12M 2018,,,106164618448.000000,83369980.000000,7331961210.000000,295032685758.000000,5743607562.000000,68051992087.000000,482408235045.000000,,26135779903.000000,768259459.000000,2332120288.000000,924653071537.000000,77372200000.000000,1031261431187.000000,1513669666232.000000,,,162388688404.000000,18323783521.000000,14253273834.000000,1915610466.000000,763053143.000000,26000000000.000000,,20272474224.000000,80860493216.000000,101132967440.000000,162388688404.000000,158334330164.000000,80879003703.000000,,,76054430027.000000,76054430027.000000,1400896434.000000,158334330164.000000,320723018568.000000,,818750000000.000000,319391149619.000000,55362149766.000000,-556651721.000000,1192946647664.000000,1513669666232.000000,8187500000.000000
12M 2019,,,56332267544.000000,29592772307.000000,24070816964.000000,259288615087.000000,21768460844.000000,64435030354.000000,455487963100.000000,,,810803792.000000,5159617044.000000,985070689259.000000,406078191404.000000,1397119301499.000000,1852607264599.000000,,,148967753253.000000,15338889299.000000,32741818424.000000,5445608392.000000,413406436.000000,73600000000.000000,,,21428030702.000000,21428030702.000000,148967753253.000000,252410692771.000000,57544868959.000000,,,94112097081.000000,94112097081.000000,100753726731.000000,252410692771.000000,401378446024.000000,,900625000000.000000,477409899619.000000,73331181145.000000,-137262190.000000,1451228818574.000000,1852607264598.000000,9006250000.000000
12M 2020,,,12693243276.000000,,48301190148.000000,233160503531.000000,30600615014.000000,28666468882.000000,353422020851.000000,,,4682116415.000000,5210350051.000000,985070689259.000000,395090351583.000000,1390053507308.000000,1743475528159.000000,,,105943173892.000000,2213287587.000000,11880725165.000000,1558860080.000000,,68862270358.000000,,,21428030702.000000,21428030702.000000,105943173892.000000,164676750072.000000,26164536433.000000,,,37729912077.000000,37729912077.000000,100782301562.000000,164676750072.000000,270619923964.000000,,900625000000.000000,477409899619.000000,94950571767.000000,-129867192.000000,1472855604194.000000,1743475528158.000000,9006250000.000000
