Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Pelanggan,"Kontraktor, Pemasok Dan Karyawan",Beban Operasi,Pendapatan Keuangan Lainnya,Bunga,Pendapatan Operasi Lainnya,Pajak,Total Penerimaan Kas Dari:,Pembayaran Kas Untuk:,"Kontraktor, Pemasok Dan Karyawan",Pembayaran Operasi Lainnya,Beban Operasi,Bunga,Pajak,Total Pembayaran Kas Untuk:,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Pembelian Tanah,Penambahan Tanah Untuk Pengembangan,Penambahan Kas Yang Dibatasi Penggunaannya,Pengurangan Persediaan,Biaya Yang Ditangguhkan,Penjualan Tanah,Kenaikan Piutang Pihak Berelasi,Penambahan Properti Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Dari Ipo Saham,Pembayaran Biaya Penerbitan Saham,Pembayaran Ke Pihak Berelasi,Kenaikan Uang Muka Pelanggan,Penurunan Utang Pajak,Pembayaran Beban Akrual,Penerimaan Dari Pihak Berelasi,Penambahan Utang Bank Jangka Pendek,Penurunan Utang Pihak Ketiga,Penerimaan Dari Penerbitan Saham,Pembayaran Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,,165316385573.000000,154521242320.000000,,,,8210189979.000000,2584953274.000000,,165316385573.000000,-90208924303.000000,-79898097274.000000,,-1878353916.000000,-8432473113.000000,,-90208924303.000000,-153644822767.000000,-153070480019.000000,,,,,,,,-574342748.000000,-153644822767.000000,147932368083.000000,,,,,,,153514561305.000000,,,,-5582193222.000000,147932368083.000000,69395006586.000000,101789659288.000000,,171184665874.000000
12M 2017,,109308015885.000000,99727198622.000000,,,,9580817263.000000,,,109308015885.000000,-150590263507.000000,-121276609770.000000,,-23493150793.000000,-4521092344.000000,-1299410600.000000,-150590263507.000000,-324070164181.000000,-342060303904.000000,23211054276.000000,-4551019957.000000,,,,,-37328483.000000,-632566113.000000,-324070164181.000000,335598212607.000000,491250000000.000000,-2811313133.000000,-152840474260.000000,,,,,,,,,335598212607.000000,-29754199196.000000,171184665874.000000,,141430466678.000000
12M 2018,,74143591276.000000,66400651421.000000,,,,7742939855.000000,,,74143591276.000000,-283085928467.000000,-274894774715.000000,,,-4469839030.000000,-3721314722.000000,-283085928467.000000,189541693467.000000,275631731116.000000,-92551464617.000000,23110993989.000000,,,,-15412538494.000000,-343879572.000000,-893148955.000000,189541693467.000000,-15865204506.000000,,,-14865204506.000000,,,,,,,,-1000000000.000000,-15865204506.000000,-35265848230.000000,141430466678.000000,,106164618448.000000
12M 2019,,105000274838.000000,101776391255.000000,,,,3223883583.000000,,,105000274838.000000,-5312294520.000000,3822313889.000000,,,-4384078675.000000,-4750529734.000000,-5312294520.000000,-153513722254.000000,-116160945115.000000,-60417617722.000000,-200898231.000000,,,,26135779903.000000,-42544333.000000,-2827496756.000000,-153513722254.000000,3993391032.000000,,,-43606608968.000000,,,,,,,,47600000000.000000,3993391032.000000,-49832350904.000000,106164618446.000000,,56332267542.000000
12M 2020,,26663911819.000000,23367500145.000000,,807305712.000000,,2459185057.000000,,29920905.000000,26663911819.000000,-7114215696.000000,-153233495.000000,,-1870763393.000000,-5090218808.000000,,-7114215696.000000,-70439044561.000000,-31387839821.000000,,-28420419392.000000,-26128111555.000000,20400000000.000000,,-8832154170.000000,3871312623.000000,58167754.000000,-70439044561.000000,7250324171.000000,,,-1787560219.000000,,,4300154748.000000,,,,,4737729642.000000,7250324171.000000,-43639024267.000000,56332267544.000000,,12693243277.000000
