Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Final,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,,,,-14114141386.000000,-5527465139.000000,-11171630120.000000,2584953873.000000,-14114141386.000000,-14114141386.000000,54999323.000000,10609341293.000000,,-8432473712.000000,-2121868258.000000,54999323.000000,-14059142063.000000,,-14059142063.000000,-8487939.000000,-14067630002.000000,-14059142063.000000,-14059142063.000000,,-14059142063.000000,-14067630002.000000,-14067630002.000000,,-14067630002.000000
12M 2017,178904717453.000000,-133239895994.000000,45664821459.000000,-16695295037.000000,-4411569650.000000,-13555118688.000000,1271393301.000000,-16695295037.000000,28969526422.000000,5059724919.000000,11976021579.000000,,-4521092344.000000,-2395204316.000000,5059724919.000000,34029251341.000000,-4472617936.000000,29556633405.000000,-4554854.000000,29552078551.000000,29556633405.000000,29556633405.000000,,29556633405.000000,29552078551.000000,29552078551.000000,,29552078551.000000
12M 2018,191218025517.000000,-122277217466.000000,68940808051.000000,-10823275185.000000,-1670810447.000000,-13375585361.000000,4223120623.000000,-10823275185.000000,58117532866.000000,3273100825.000000,9678674819.000000,,-4469839030.000000,-1935734964.000000,3273100825.000000,61390633691.000000,-4780450638.000000,56610183053.000000,-551486140.000000,56058696913.000000,56610183053.000000,56610183053.000000,,56610183053.000000,56058696913.000000,56058696913.000000,,56058696913.000000
12M 2019,89441634262.000000,-57672539201.000000,31769095061.000000,-13819360019.000000,-2008434722.000000,-11543315015.000000,-267610282.000000,-13819360019.000000,17949735042.000000,49217243.000000,4433295918.000000,,-4384078675.000000,,49217243.000000,17998952285.000000,-29920905.000000,17969031380.000000,419389531.000000,18388420911.000000,17969031380.000000,17969031380.000000,,17969031380.000000,18388420911.000000,18388420911.000000,,18388420911.000000
12M 2020,66074134117.000000,-34408417073.000000,31665717044.000000,-11966307057.000000,-1367477626.000000,-10250092136.000000,-348737295.000000,-11966307057.000000,19699409987.000000,1919980635.000000,1974110861.000000,,-54130226.000000,,1919980635.000000,21619390622.000000,,21619390622.000000,7394998.000000,21626785620.000000,21619390622.000000,21619390622.000000,,21619390622.000000,21626785620.000000,21626785620.000000,,21626785620.000000
