Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,23524513606.000000,83123041529.000000,,83123041529.000000,83123041529.000000,10672834124.000000,3742237555.000000,6930596569.000000,10672834124.000000,6529479108.000000,,2263383360.000000,126113251727.000000,,9368405920.000000,3134323953.000000,4847852935.000000,17350582808.000000,143463834535.000000,,,99176251451.000000,6000000000.000000,,760641596.000000,27277801630.000000,28038443226.000000,,3878256350.000000,3878256350.000000,1771483197.000000,46210809667.000000,,,,,,13277259011.000000,99176251451.000000,10750957245.000000,,,,,10750957245.000000,10750957245.000000,109927208696.000000,,12200000000.000000,,19607021574.000000,,,19607021574.000000,,1729604265.000000,33536625839.000000,143463834535.000000,12200.000000
12M 2022,,,81542958883.000000,118572083774.000000,1379013969.000000,117193069805.000000,118572083774.000000,2057289610.000000,1448460688.000000,608828922.000000,2057289610.000000,5229791823.000000,,4701938866.000000,212104062956.000000,,41905579993.000000,2536250743.000000,1657714561.000000,46099545297.000000,258203608253.000000,,,148915165352.000000,,,,68329985733.000000,68329985733.000000,,3863345156.000000,3863345156.000000,1721377622.000000,62290825091.000000,,,3270278943.000000,,3270278943.000000,9439352807.000000,148915165352.000000,12637405441.000000,,4426831196.000000,,4426831196.000000,8210574245.000000,12637405441.000000,161552570793.000000,,52200000000.000000,,10126709089.000000,,,10126709089.000000,,34324328371.000000,96651037460.000000,258203608253.000000,2610000000.000000
12M 2023,,,72547578014.000000,135067770168.000000,2524415889.000000,132543354279.000000,135067770168.000000,587199774.000000,,587199774.000000,587199774.000000,4051150644.000000,,8138522574.000000,220392221174.000000,,40530249449.000000,3004191248.000000,51730677328.000000,95265118025.000000,315657339199.000000,,,138028150791.000000,7510650654.000000,,687973504.000000,40124908722.000000,40812882226.000000,,1692567129.000000,1692567129.000000,2127630384.000000,73624872452.000000,,,10870195139.000000,,10870195139.000000,1389352807.000000,138028150791.000000,16587577499.000000,,6828298254.000000,,6828298254.000000,9759279245.000000,16587577499.000000,154615728290.000000,,65250186000.000000,,12807983470.000000,,,12807983470.000000,,34148750371.000000,112206919841.000000,266822648131.000000,3262509300.000000
12M 2024,,,27272887784.000000,158071035830.000000,179468673.000000,157891567157.000000,158071035830.000000,287568314.000000,,287568314.000000,287568314.000000,1508479985.000000,,21214693942.000000,208354665855.000000,,41917361698.000000,3117372391.000000,62374631178.000000,107409365267.000000,315764031122.000000,,,136952524599.000000,12744505819.000000,,518109739.000000,108974765518.000000,109492875257.000000,,2208506379.000000,2208506379.000000,3134977979.000000,298018461.000000,,,6833417110.000000,894209711.000000,7727626821.000000,1346013883.000000,136952524599.000000,9494392404.000000,,,325167159.000000,325167159.000000,9169225245.000000,9494392404.000000,146446917003.000000,,65250402120.000000,,17080711370.000000,,,17080711370.000000,,38148824181.000000,120479937671.000000,266926854674.000000,3262520106.000000
