Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,507347976514.000000,-420409811266.000000,86938165248.000000,-54736641255.000000,-54055057441.000000,-681583814.000000,-54736641255.000000,32201523993.000000,-133121588.000000,641344584.000000,-774466172.000000,,-133121588.000000,32068402405.000000,-7514861791.000000,,,-7514861791.000000,24553540614.000000,24553540614.000000,32594724106.000000,32594724106.000000,32594724106.000000,57148264720.000000,24553540614.000000,24553540614.000000,,24553540614.000000,57148264720.000000,57148264720.000000,,57148264720.000000
12M 2023,468953507777.000000,-406384845121.000000,62568662656.000000,-58421700217.000000,-57740116403.000000,-681583814.000000,-58421700217.000000,4146962439.000000,-452019996.000000,1128772537.000000,-1580792533.000000,,-452019996.000000,3694942443.000000,-1013668062.000000,,,-1013668062.000000,2681274381.000000,2681274381.000000,-175578000.000000,-175578000.000000,-175578000.000000,2505696381.000000,2681274381.000000,2681274381.000000,,2681274381.000000,2505696381.000000,2505696381.000000,,2505696381.000000
12M 2024,534453966633.000000,-465872610216.000000,68581356417.000000,-60742887108.000000,-58110987494.000000,-2631899614.000000,-60742887108.000000,7838469309.000000,-723379360.000000,631578944.000000,-1354958304.000000,,-723379360.000000,7115089949.000000,-2037043898.000000,,,-2037043898.000000,5078046051.000000,5078046051.000000,4000073810.000000,4000073810.000000,4000073810.000000,9078119861.000000,5078046051.000000,5078046051.000000,,5078046051.000000,9078119861.000000,9078119861.000000,,9078119861.000000
