Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2022,2.61 B,9.41,0.00,0.00,34.67 B,9.51%,25.40%,41.94%,41.58
12M 2023,3.26 B,0.82,60.98,0.35,7.00 B,0.85%,1.66%,2.89%,2.62
12M 2024,3.26 B,1.56,32.05,0.31,12.01 B,1.61%,3.00%,4.40%,5.79
