Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Penerimaan Dari Taksiran Tagihan Pajak Penghasilan,Pembayaran Untuk Biaya Keuangan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Pajak Penghasilan,Pembayaran Untuk Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Hasil Penjualan Aset Tetap,Penurunan (Kenaikan) Dana Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Saham Perdana,Penerimaan Pihak Berelasi,Pembayaran Pihak Berelasi,Tambahan Modal Disetor,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Hasil Pelaksanaan Waran,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Penurunan Neto Pinjaman Cerukan Bank,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2022,50023182273.000000,468315699306.000000,641344584.000000,2070011473.000000,-774466172.000000,-368026559396.000000,-38242307659.000000,-7305902962.000000,-6654636901.000000,50023182273.000000,-3701847135.000000,-3874836158.000000,-322506472.000000,495495495.000000,,-3701847135.000000,11697110139.000000,,,,10000000000.000000,10000000000.000000,-8302889861.000000,,,11697110139.000000,58018445277.000000,,23524513606.000000,81542958883.000000
12M 2023,-30862925558.000000,460507821378.000000,1128772537.000000,,-1580792533.000000,-444057354804.000000,-43760605113.000000,-8087293223.000000,4986526200.000000,-30862925558.000000,-45864469066.000000,-1641443273.000000,-44664467234.000000,441441441.000000,,-45864469066.000000,75242664409.000000,65250000000.000000,,,,37403612453.000000,-27413087044.000000,2139000.000000,,75242664409.000000,-1484730215.000000,-7510650654.000000,81542958883.000000,72547578014.000000
12M 2024,-33589616268.000000,511438146975.000000,631578944.000000,,-1354958304.000000,-466462134651.000000,-41093724881.000000,-9793138573.000000,-26955385778.000000,-33589616268.000000,-5251236193.000000,-2667236193.000000,-2584000000.000000,,,-5251236193.000000,-11667692934.000000,,,,,,-10865076283.000000,2701500.000000,-805318151.000000,-11667692934.000000,-50508545395.000000,5233855165.000000,72547578014.000000,27272887784.000000
