Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,7 B,(197 B),(190 B),-21.77
12M 2009,54 B,(4 B),50 B,5.75
12M 2010,127 B,(622 B),(496 B),-56.65
12M 2011,203 B,(555 B),(351 B),-36.09
12M 2012,176 B,(516 B),(340 B),-34.98
12M 2013,193 B,(215 B),(23 B),-2.31
12M 2014,204 B,(347 B),(143 B),-14.71
12M 2015,85 B,(17 B),67 B,6.92
12M 2016,143 B,(61 B),82 B,8.38
12M 2017,4 B,(40 B),(36 B),-0.72
12M 2018,672 B,,672 B,13.54
