Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pembelian Aset Tetap,Utang Pajak,Beban Akrual,Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Utang Transaksi Syariah,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Surat Berharga Jangka Menengah,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Utang Obligasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Utang Transaksi Syariah,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,33369815737.000000,439735038610.000000,85560130281.000000,85488330036.000000,71800245.000000,85560130281.000000,554062371.000000,554062371.000000,,554062371.000000,,9961478312.000000,569180525311.000000,,42340618560.000000,,1006763688.000000,7712328537.000000,749952281784.000000,,,,,7337987856.000000,808349980425.000000,1377530505736.000000,,,160210526312.000000,,20688247118.000000,,20688247118.000000,6254968.000000,,,7996362540.000000,941456632.000000,,,109124117817.000000,,16223489856.000000,,5230597381.000000,130578205054.000000,,160210526312.000000,208053342587.000000,527175378.000000,,,,,,,,,,184643790270.000000,15491132669.000000,,,786655270.000000,200921578209.000000,6604589000.000000,208053342587.000000,368263868899.000000,,873180000000.000000,,58970317805.000000,,58970317805.000000,58970317805.000000,-5981944981.000000,83098264013.000000,1009266636837.000000,1377530505736.000000,8731800000.000000
12M 2009,,,80511861266.000000,432160277690.000000,45605621697.000000,45605621697.000000,,45605621697.000000,30361770735.000000,30361770735.000000,,30361770735.000000,,79795974120.000000,668435505508.000000,,1880000000.000000,,,12415810565.000000,920217963440.000000,,,,,11935264880.000000,946449038885.000000,1614884544393.000000,,,123575298002.000000,,28024347083.000000,,28024347083.000000,15746217.000000,,,2866975836.000000,3795299559.000000,,,70000849190.000000,,18872080117.000000,,,88872929307.000000,,123575298002.000000,321266137832.000000,272981500.000000,,,,,,3812027302.000000,,,,238525000000.000000,69364334030.000000,,,,307889334030.000000,9291795000.000000,321266137832.000000,444841435834.000000,,873509787500.000000,,141453934499.000000,,141453934499.000000,141453934499.000000,71865696922.000000,83213689638.000000,1170043108559.000000,1614884544393.000000,8735097875.000000
12M 2010,,,426120033002.000000,3731967107.000000,87213010188.000000,87213010188.000000,,87213010188.000000,24691357887.000000,24691357887.000000,,24691357887.000000,,78653839628.000000,620410207812.000000,,1513041444.000000,,3000659500.000000,16231987150.000000,1491657833172.000000,,,,,51723927875.000000,1564127449141.000000,2184537656953.000000,,,197476366252.000000,,70231806529.000000,,70231806529.000000,14783319.000000,,,2857843953.000000,4888634533.000000,,,102497400000.000000,,16985897918.000000,,,119483297918.000000,,197476366252.000000,709342196727.000000,1525573043.000000,,,,,,,,,,642051964077.000000,52695753687.000000,,,,694747717764.000000,13068905920.000000,709342196727.000000,906818562979.000000,,874904375000.000000,83701795263.000000,207426368524.000000,,207426368524.000000,207426368524.000000,111686555187.000000,,1277719093974.000000,2184537656953.000000,8749043750.000000
12M 2011,,,64164069574.000000,1803635265.000000,110053228680.000000,110053228680.000000,,110053228680.000000,62154550902.000000,62154550902.000000,,62154550902.000000,,317059445675.000000,555234930096.000000,,,,2950088250.000000,15631806961.000000,1136024308462.000000,,,,,885598711481.000000,2040204915154.000000,2595439845250.000000,,,314894794731.000000,,70941104313.000000,2977980000.000000,73919084313.000000,3611263901.000000,,,3912982182.000000,3941834126.000000,,,210532393492.000000,,17081004386.000000,,,227613397878.000000,1896232331.000000,314894794731.000000,764582283130.000000,,,,,,,,,,,717104349077.000000,35677581053.000000,,,,752781930130.000000,11800353000.000000,764582283130.000000,1079477077861.000000,,973164174600.000000,118092725123.000000,286890051208.000000,21184960316.000000,265705090892.000000,286890051208.000000,138000765168.000000,-184948710.000000,1515962767389.000000,2595439845250.000000,9731641746.000000
12M 2012,,,12888374.000000,,8794671.000000,8794671.000000,,8794671.000000,2124352.000000,2124352.000000,,2124352.000000,,44785724.000000,68593121.000000,,,,196444.000000,2051434.000000,188458546.000000,90656.000000,,,,76401267.000000,267198347.000000,335791468.000000,,,181361253.000000,,9667662.000000,621155.000000,10288817.000000,,20236099.000000,9497778.000000,617135.000000,1527913.000000,9027309.000000,,85659514.000000,,41549921.000000,393409.000000,71829.000000,127674673.000000,2491529.000000,181361253.000000,19325688.000000,,,,,,,,,,,9869320.000000,6314000.000000,,2356591.000000,,18539911.000000,785777.000000,19325688.000000,200686941.000000,,105147893.000000,12961557.000000,-146327.000000,,-146327.000000,-146327.000000,17141405.000000,,135104528.000000,335791469.000000,9731641746.000000
12M 2013,,,16203978.000000,,7474840.000000,7474840.000000,,7474840.000000,4369819.000000,4369819.000000,,4369819.000000,,39321995.000000,67370632.000000,,,,62854.000000,2988076.000000,172418992.000000,,,,,76406422.000000,251876344.000000,319246976.000000,,,149656458.000000,,10216834.000000,16408.000000,10233242.000000,,8493828.000000,270736.000000,732596.000000,4374888.000000,4106584.000000,,71157050.000000,622414.000000,38782312.000000,517280.000000,20126.000000,111099182.000000,10345402.000000,149656458.000000,30623228.000000,,,,,,,,,,,23173935.000000,4245423.000000,1082558.000000,1839311.000000,,30341227.000000,282001.000000,30623228.000000,180279686.000000,,105147893.000000,12961557.000000,1483909.000000,2476325.000000,-992416.000000,1483909.000000,19373931.000000,,138967290.000000,319246976.000000,9731641746.000000
12M 2014,,,7874985.000000,,8249068.000000,8249068.000000,,8249068.000000,5917474.000000,5917474.000000,,5917474.000000,,41836630.000000,63878157.000000,,,,53671.000000,3322140.000000,165184009.000000,,,,,53173409.000000,221733229.000000,285611386.000000,,,118639025.000000,,13314292.000000,4337.000000,13318629.000000,,32359152.000000,265274.000000,814899.000000,3849783.000000,3820417.000000,,45238281.000000,722003.000000,12776428.000000,571446.000000,5182.000000,59313340.000000,4897531.000000,118639025.000000,61845047.000000,,,,,,,,,,,14026425.000000,45854544.000000,1267866.000000,338712.000000,12647.000000,61500194.000000,344853.000000,61845047.000000,180484072.000000,,105147893.000000,12961557.000000,-32783300.000000,2476325.000000,-35259625.000000,-32783300.000000,19801164.000000,,105127314.000000,285611386.000000,9731641746.000000
12M 2015,,,13113262.000000,,5480990.000000,5480990.000000,,5480990.000000,2623046.000000,2623046.000000,,2623046.000000,,11101504.000000,32318802.000000,,,,71983.000000,4237584.000000,116099692.000000,,,,,52713641.000000,173122900.000000,205441702.000000,,,138744431.000000,,7387029.000000,3911.000000,7390940.000000,,29393952.000000,239217.000000,1293111.000000,5461245.000000,11269237.000000,,58592444.000000,84091.000000,19598157.000000,631283.000000,7562.000000,78913537.000000,4783192.000000,138744431.000000,37802922.000000,,,,,,,,,,,,36294611.000000,636584.000000,555354.000000,8892.000000,37495441.000000,307481.000000,37802922.000000,176547353.000000,,105147893.000000,12961557.000000,-101870739.000000,2476325.000000,-104347064.000000,-101870739.000000,12655638.000000,,28894349.000000,205441702.000000,9731641746.000000
12M 2016,,,8546862.000000,,5553975.000000,5553975.000000,,5553975.000000,2947066.000000,2947066.000000,,2947066.000000,,9763461.000000,26811364.000000,,,,7661.000000,4877154.000000,96037069.000000,,,,,34047017.000000,134968901.000000,161780265.000000,,,124045715.000000,,5825535.000000,502379.000000,6327914.000000,,30073283.000000,,1479412.000000,9111065.000000,10630507.000000,,42578350.000000,305091.000000,18066191.000000,832973.000000,7765.000000,61790370.000000,4633164.000000,124045715.000000,28619577.000000,,,,,,,,,,,,28354420.000000,,265157.000000,,28619577.000000,,28619577.000000,152665292.000000,,105147893.000000,12991311.000000,-118629803.000000,2476325.000000,-121106128.000000,-118629803.000000,9605572.000000,,9114973.000000,161780265.000000,9731641746.000000
12M 2017,,,256316965.000000,1497727.000000,21106040.000000,21106040.000000,,21106040.000000,6431119.000000,3519400.000000,2911719.000000,6431119.000000,4876650.000000,12273881.000000,302502382.000000,,,12090419.000000,620460.000000,5563246.000000,223867990.000000,,211858223.000000,29637786.000000,41585632.000000,7936613.000000,533160369.000000,835662751.000000,,,128505169.000000,,22112394.000000,3983.000000,22116377.000000,4296069.000000,27732057.000000,,311530.000000,2946238.000000,8370254.000000,,8913873.000000,1044668.000000,48437695.000000,,23461.000000,58419697.000000,4312947.000000,128505169.000000,314577103.000000,,,,,,29487610.000000,8914536.000000,52037.000000,,,247200878.000000,19916725.000000,1218848.000000,,28956.000000,268365407.000000,7757513.000000,314577103.000000,443082272.000000,,399279048.000000,76987121.000000,-121218333.000000,2476325.000000,-123694658.000000,-121218333.000000,37802494.000000,-269851.000000,392580479.000000,835662751.000000,49631372904.000000
