Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,317111756560.000000,220251080684.000000,96860675876.000000,-30389774193.000000,-30389774193.000000,,,-30389774193.000000,66470901683.000000,-24886091067.000000,,2116264082.000000,-21642739395.000000,,-22239147697.000000,2009764149.000000,,14869767794.000000,-24886091067.000000,41584810616.000000,-6583881005.000000,35000929611.000000,8700971299.000000,43701900910.000000,,,43701900910.000000,35000929611.000000,8700971299.000000,43701900910.000000,,,,
12M 2009,334273003722.000000,189293345846.000000,144979657876.000000,-37105403141.000000,-37105403141.000000,,,-37105403141.000000,107874254735.000000,26822024185.000000,2619722022.000000,1416631545.000000,14502142020.000000,,-23994609434.000000,4703482028.000000,,27574656004.000000,26822024185.000000,134696278920.000000,-12460555323.000000,122235723597.000000,-22288501903.000000,99947221694.000000,,,99947221694.000000,122235723597.000000,-22288501903.000000,99947221694.000000,,,,
12M 2010,405931452735.000000,199965580886.000000,205965871849.000000,-46345515758.000000,-46345515758.000000,,,-46345515758.000000,159620356091.000000,-16504950311.000000,169000000.000000,9831568390.000000,-3699213653.000000,,-24596608104.000000,3816176585.000000,,-2025873529.000000,-16504950311.000000,143115405780.000000,-440816254.000000,142674589526.000000,-36749787944.000000,105924801582.000000,,,105924801582.000000,142674589526.000000,-36749787944.000000,105924801582.000000,,,,
12M 2011,554225397500.000000,302459476927.000000,251765920573.000000,-57494428599.000000,-57494428599.000000,,,-57494428599.000000,194271491974.000000,-40432276617.000000,17889606560.000000,1981313116.000000,-11247104389.000000,,-52191795554.000000,3281939811.000000,,-146236161.000000,-40432276617.000000,153839215357.000000,-8938164793.000000,144901050564.000000,,144901050564.000000,-184948710.000000,144716101854.000000,144901050564.000000,118767335397.000000,26133715167.000000,144901050564.000000,144716101854.000000,118582386687.000000,26133715167.000000,144716101854.000000
12M 2012,54413413.000000,-43356784.000000,11056629.000000,-31790017.000000,-8775005.000000,,-23015012.000000,-31790017.000000,-20733388.000000,-8835511.000000,,41730.000000,,,-9282632.000000,405391.000000,,,-8835511.000000,-29568899.000000,-1115336.000000,-30684235.000000,,-30684235.000000,,-30684235.000000,-30684235.000000,-32075527.000000,1391292.000000,-30684235.000000,-30684235.000000,-32075527.000000,1391292.000000,-30684235.000000
12M 2013,63130898.000000,-47974596.000000,15156302.000000,143870.000000,-3709220.000000,,3853090.000000,143870.000000,15300172.000000,-10224917.000000,,212844.000000,,,-11374403.000000,936642.000000,,,-10224917.000000,5075255.000000,-1212493.000000,3862762.000000,,3862762.000000,,3862762.000000,3862762.000000,1630236.000000,2232526.000000,3862762.000000,3862762.000000,1630236.000000,2232526.000000,3862762.000000
12M 2014,59995861.000000,-49796198.000000,10199663.000000,-31086375.000000,-7562514.000000,,-23523861.000000,-31086375.000000,-20886712.000000,-11916656.000000,,9378.000000,,,-12260098.000000,334064.000000,,,-11916656.000000,-32803368.000000,-1036608.000000,-33839976.000000,,-33839976.000000,,-33839976.000000,-33839976.000000,-34267209.000000,427233.000000,-33839976.000000,-33839976.000000,-34267209.000000,427233.000000,-33839976.000000
12M 2015,33748452.000000,-31554926.000000,2193526.000000,-69984231.000000,-6628108.000000,,-63356123.000000,-69984231.000000,-67790705.000000,-8028152.000000,,7848.000000,,,-8951440.000000,915440.000000,,,-8028152.000000,-75818857.000000,-536163.000000,-76355020.000000,,-76355020.000000,7045.000000,-76347975.000000,-76355020.000000,-69209487.000000,-7145533.000000,-76355020.000000,-76347975.000000,-69202443.000000,-7145532.000000,-76347975.000000
12M 2016,26915643.000000,-21496085.000000,5419558.000000,-13596175.000000,-2006381.000000,,-11589794.000000,-13596175.000000,-8176617.000000,-11077912.000000,,62314.000000,-949932.000000,,-10829870.000000,639576.000000,,,-11077912.000000,-19254529.000000,-554603.000000,-19809132.000000,,-19809132.000000,,-19809132.000000,-19809132.000000,-16759065.000000,-3050067.000000,-19809132.000000,-19809132.000000,-16759065.000000,-3050067.000000,-19809132.000000
12M 2017,38654735.000000,-32264302.000000,6390433.000000,2908799.000000,-4261742.000000,,7170541.000000,2908799.000000,9299232.000000,-10521471.000000,-8153765.000000,209563.000000,2591502.000000,709715.000000,-6289510.000000,686091.000000,-275067.000000,,-10521471.000000,-1222239.000000,2042364.000000,820125.000000,,294480.000000,58929.000000,353409.000000,294480.000000,-2477429.000000,2771909.000000,294480.000000,353409.000000,-2418500.000000,2771909.000000,353409.000000
12M 2018,3482706786000.000000,-2906742330000.000000,575964456000.000000,-138176886000.000000,-225013100000.000000,-2636843000.000000,89473057000.000000,-138176886000.000000,437787570000.000000,-143262685000.000000,-5755265000.000000,2890056000.000000,-32681170000.000000,,-205986969000.000000,13557970000.000000,-3502878000.000000,88215571000.000000,-143262685000.000000,294524885000.000000,-66264687000.000000,228260198000.000000,,228260198000.000000,26745113000.000000,255005311000.000000,228260198000.000000,295482945000.000000,-67222747000.000000,228260198000.000000,255005311000.000000,322228058000.000000,-67222747000.000000,255005311000.000000
