Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Tunai Dari Pelanggan,Pembayaran Tunai Kepada:,Pemasok,Karyawan Dan Buruh,Total Pembayaran Tunai Kepada:,Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Entitas Anak,Pembayaran Pajak Lain-Lain,Pengembalian Pajak Penghasilan Badan,Pengembalian Pajak Lain-Lain,Pendapatan Bunga,Penerimaan Dari Pajak Lain-Lain,Pembayaran Beban Bunga,Aset Pajak Tangguhan,Penerimaan Dari Restitusi Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Akuisisi Entitas Sepengendali,Perolehan Aset Keuangan Tersedia Untuk Dijual,Uang Muka Perolehan Aset Tidak Lancar,Perolehan Aset Tetap,Penerimaan Penjualan Asosiasi,Pendapatan Bunga,Penambahan Aset Tidak Berwujud,Investasi Jangka Pendek,Pencairan Investasi Keuangan,Pembayaran Bunga Yang Dikapitalisasi Ke Aset Tetap,Penambahan Hutan Tanaman Industri Dalam Pengembangan,Penambahan Investasi Pada Perusahaan Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Pelepasan Investasi Saham,Hasil Pelepasan Entitas Anak,Penerimaan Penghasilan Bunga,Kas Diperoleh Dari Kombinasi Bisnis,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Neto Dari Penawaran Umum Terbatas Ii,Penerimaan Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Dividen,Pembayaran Pinjaman Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan Pinjaman Bank,Pembayaran Pokok Pinjaman,Pembayaran Sewa Guna Usaha,Pembayaran Dividen Tunai,Pembayaran Bunga,Biaya Penawaran Umum Terbatas Ii,Penerimaan Dari Penerbitan Saham Baru,Anjak Piutang Pembayaran,Tambahan Modal Disetor,Pembayaran Utang Sewa Pembiayaan,Penerimaan Anjak Piutang,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Pengaruh Perubahan Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,126280000000.000000,1288910000000.000000,,-1031868000000.000000,-70031000000.000000,-1101899000000.000000,752000000.000000,-18191000000.000000,,,,,,,-43292000000.000000,,,,126280000000.000000,-388260000000.000000,,,,,-148090000000.000000,,,,,,,,,-240170000000.000000,,,,,,-388260000000.000000,323670000000.000000,,391915000000.000000,287940000000.000000,-188109000000.000000,,-161957000000.000000,,,,,-6119000000.000000,,,,,,,,,323670000000.000000,61690000000.000000,,,17053000000.000000,78743000000.000000
12M 2009,180729000000.000000,1669466000000.000000,,-1322350000000.000000,-72741000000.000000,-1395091000000.000000,754000000.000000,-33748000000.000000,,,,,,,-60652000000.000000,,,,180729000000.000000,-185670000000.000000,1785000000.000000,,,,-87796000000.000000,,,,,,-7137000000.000000,,,-99659000000.000000,,,,,7137000000.000000,-185670000000.000000,-64125000000.000000,,385607000000.000000,46630000000.000000,-385951000000.000000,,-110411000000.000000,,,,,,,,,,,,,,-64125000000.000000,-69066000000.000000,,,78743000000.000000,9677000000.000000
12M 2010,504280000000.000000,2019790000000.000000,,-1320476000000.000000,-103646000000.000000,-1424122000000.000000,408000000.000000,-59567000000.000000,,,,,,,-32229000000.000000,,,,504280000000.000000,-742677000000.000000,482000000.000000,,,,-573003000000.000000,,,,,,,,,-170156000000.000000,,,,,,-742677000000.000000,260056000000.000000,,908653000000.000000,299807000000.000000,-765928000000.000000,,-177127000000.000000,,,,,-6122000000.000000,,,773000000.000000,,,,,,260056000000.000000,21659000000.000000,,,9677000000.000000,31336000000.000000
12M 2011,98790000000.000000,2709887000000.000000,,-2376299000000.000000,-118368000000.000000,-2494667000000.000000,2630000000.000000,-75953000000.000000,,,,,,,-43107000000.000000,,,,98790000000.000000,-1235805000000.000000,534000000.000000,,,,-451782000000.000000,,,,,,,,,-784557000000.000000,,,,,,-1235805000000.000000,1150197000000.000000,,675649000000.000000,904342000000.000000,-336720000000.000000,,-86952000000.000000,,,,,-6122000000.000000,,,,,,,,,1150197000000.000000,13182000000.000000,,280000000.000000,31336000000.000000,44798000000.000000
12M 2012,51555758.000000,326666600.000000,,-252539761.000000,-14761434.000000,-267301195.000000,3463424.000000,-4626279.000000,,,,,,,-6646792.000000,,,,51555758.000000,-85129440.000000,32508.000000,,,,-48724079.000000,,,,,,,,,-36437869.000000,,,,,,-85129440.000000,77514089.000000,162484657.000000,66227183.000000,19281883.000000,-152304667.000000,,-16234156.000000,,,,,-1940811.000000,,,,,,,,,77514089.000000,43940407.000000,,-2444534.000000,4940227.000000,46436100.000000
12M 2013,9669238.000000,313137736.000000,,-265761038.000000,-25412105.000000,-291173143.000000,2234820.000000,-6630710.000000,,,,,,,-7899465.000000,,,,9669238.000000,-34484787.000000,23486.000000,,,,-18072739.000000,,,,,,,,,-16435534.000000,,,,,,-34484787.000000,19730541.000000,,26381821.000000,108910023.000000,-13881821.000000,,-101679482.000000,,,,,,,,,,,,,,19730541.000000,-5085008.000000,,-6620291.000000,46436100.000000,34730801.000000
12M 2014,24912270.000000,288845673.000000,,-241835016.000000,-15877895.000000,-257712911.000000,2804891.000000,-585520.000000,,,,,,,-8439863.000000,,,,24912270.000000,-27225029.000000,10457.000000,,-500000.000000,,-11402171.000000,,,-607988.000000,,,,-1425009.000000,,-13300318.000000,,,,,,-27225029.000000,11358651.000000,,26012188.000000,29999995.000000,-29512188.000000,,-14374116.000000,,,,,-767228.000000,,,,,,,,,11358651.000000,9045892.000000,,-700906.000000,34730801.000000,43075787.000000
12M 2015,49205064.000000,235642192.000000,,-164432171.000000,-17488803.000000,-181920974.000000,3414723.000000,-547070.000000,,,,,,,-8161241.000000,,777434.000000,,49205064.000000,-29474059.000000,2214.000000,,-10724900.000000,,-7662524.000000,,,-189399.000000,,,,-544464.000000,,-10354986.000000,,,,,,-29474059.000000,-21271749.000000,,38981094.000000,4687841.000000,-36305236.000000,,-27261528.000000,,,,,-1373920.000000,,,,,,,,,-21271749.000000,-1540744.000000,,-3180137.000000,43075787.000000,38354906.000000
12M 2016,27751187.000000,220693100.000000,,-165748397.000000,-20674808.000000,-186423205.000000,2373733.000000,-461893.000000,,,,,,,-8956559.000000,,526011.000000,,27751187.000000,-46117902.000000,166459.000000,,-15238789.000000,,-15730863.000000,,,,,,,-302511.000000,,-15012198.000000,,,,,,-46117902.000000,-6085957.000000,,54824224.000000,10312158.000000,-41500082.000000,,-29722257.000000,,,,,,,,,,,,,,-6085957.000000,-24452672.000000,,108916.000000,38354906.000000,14011150.000000
12M 2017,27436450.000000,262235430.000000,,-200888262.000000,-24947575.000000,-225835837.000000,1546446.000000,-772918.000000,,,,,,,-10283741.000000,,547070.000000,,27436450.000000,-24452755.000000,10393.000000,,16630497.000000,,-39198034.000000,,,,,,,-253835.000000,,-8939975.000000,,,,7298199.000000,,-24452755.000000,-4868327.000000,,52069494.000000,28204028.000000,-52792432.000000,,-32349417.000000,,,,,,,,,,,,,,-4868327.000000,-1884632.000000,,-15749.000000,14011150.000000,12110769.000000
