Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Pihak Berelasi,Total Utang Lain Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,6145766626.000000,,132212240404.000000,56852777063.000000,75359463341.000000,132212240404.000000,845013964.000000,845013964.000000,,845013964.000000,,115623609551.000000,152138704871.000000,406965335416.000000,,,5091517498.000000,185987603192.000000,7500766562.000000,198579887252.000000,605545222668.000000,,,55393207491.000000,,14912687177.000000,27632777403.000000,42545464580.000000,,244466000.000000,,244466000.000000,6485539095.000000,4526963135.000000,,,1590774681.000000,55393207491.000000,315127276165.000000,,,16119165904.000000,16119165904.000000,294438615261.000000,,4569495000.000000,315127276165.000000,370520483656.000000,,148750000000.000000,104847825314.000000,-6692878807.000000,,,-6692878807.000000,-11880207495.000000,235024739012.000000,605545222668.000000,297500000.000000
12M 2009,,,5776091850.000000,,66303093766.000000,59592646130.000000,6710447636.000000,66303093766.000000,145551152.000000,145551152.000000,,145551152.000000,,114748838674.000000,187394426659.000000,374368002101.000000,,,,187966818157.000000,6028119596.000000,193994937753.000000,568362939854.000000,,,76488029634.000000,,13298390593.000000,53904750598.000000,67203141191.000000,,231614500.000000,,231614500.000000,4061818915.000000,3761628618.000000,,,1229826410.000000,76488029634.000000,190371665644.000000,,,2286664269.000000,2286664269.000000,180376054240.000000,2447410135.000000,5261537000.000000,190371665644.000000,266859695278.000000,,148750000000.000000,104847825314.000000,42800250667.000000,,,42800250667.000000,5105168595.000000,301503244576.000000,568362939854.000000,297500000.000000
12M 2010,,,7828871343.000000,,109606169847.000000,101790949890.000000,7815219957.000000,109606169847.000000,2643837001.000000,146104882.000000,2497732119.000000,2643837001.000000,,454029258210.000000,69878291715.000000,643986428116.000000,,,,197189517114.000000,9293968914.000000,206483486028.000000,850469914144.000000,,,385079341463.000000,,21979979551.000000,55313672995.000000,77293652546.000000,,280772501.000000,3003686048.000000,3284458549.000000,731296272.000000,3797731438.000000,296703000000.000000,,3269202658.000000,385079341463.000000,156637767615.000000,,,,,144384000000.000000,3809255615.000000,8444512000.000000,156637767615.000000,541717109078.000000,,148750000000.000000,104847825314.000000,50049811157.000000,4280025067.000000,45769786090.000000,50049811157.000000,5105168595.000000,308752805066.000000,850469914144.000000,297500000.000000
12M 2011,,,11919883240.000000,,153391388291.000000,119086601969.000000,34304786322.000000,153391388291.000000,4816579255.000000,274864697.000000,4541714558.000000,4816579255.000000,,390950112458.000000,58113122143.000000,619191085387.000000,,,,202893708301.000000,1276124680.000000,204169832981.000000,823360918368.000000,,,367059939107.000000,,26990920342.000000,10789007077.000000,37779927419.000000,,599312587.000000,3778537616.000000,4377850203.000000,20349564385.000000,4369487686.000000,299244000000.000000,,939109414.000000,367059939107.000000,51242230429.000000,,,,,36272000000.000000,5208951429.000000,9761279000.000000,51242230429.000000,418302169536.000000,,148750000000.000000,104847825314.000000,146355754923.000000,4280025067.000000,142075729856.000000,146355754923.000000,5105168595.000000,405058748832.000000,823360918368.000000,297500000.000000
12M 2012,,,15549345856.000000,,158554496664.000000,92390548975.000000,66163947689.000000,158554496664.000000,9031379708.000000,125554795.000000,8905824913.000000,9031379708.000000,,311261459337.000000,65862929859.000000,560259611424.000000,,261585000000.000000,,202837121980.000000,3010985100.000000,467433107080.000000,1027692718504.000000,,,545466774883.000000,,31294688424.000000,19163835760.000000,50458524184.000000,,307987501.000000,2060378028.000000,2368365529.000000,2405952346.000000,2265829041.000000,483500000000.000000,,4468103783.000000,545466774883.000000,18822957313.000000,,,,,,5382128313.000000,13440829000.000000,18822957313.000000,564289732196.000000,,148750000000.000000,109952993909.000000,204699992399.000000,5280025067.000000,199419967332.000000,204699992399.000000,,463402986308.000000,1027692718504.000000,297500000.000000
12M 2013,,,29612543285.000000,,283864064723.000000,109668450132.000000,174195614591.000000,283864064723.000000,267872668.000000,197673994.000000,70198674.000000,267872668.000000,,365614090062.000000,167687203878.000000,847045774616.000000,,,,1522378126.000000,221059147005.000000,222581525131.000000,1069627299747.000000,,,518961631842.000000,,47257019053.000000,139814355844.000000,187071374897.000000,,449892501.000000,3933980617.000000,4383873118.000000,2770641311.000000,2441638915.000000,249874500000.000000,60596900000.000000,11822703601.000000,518961631842.000000,22390733987.000000,,,,,,6923103373.000000,15467630614.000000,22390733987.000000,541352365829.000000,,148750000000.000000,109952993909.000000,269571940009.000000,5780025067.000000,263791914942.000000,269571940009.000000,,528274933918.000000,1069627299747.000000,297500000.000000
12M 2014,,,27712622461.000000,,315050325217.000000,116929790792.000000,198120534425.000000,315050325217.000000,187816167.000000,174162534.000000,13653633.000000,187816167.000000,,475991159222.000000,234379448131.000000,1053321371198.000000,,,,1348799657.000000,229479866486.000000,230828666143.000000,1284150037341.000000,,,718681070349.000000,,28595858613.000000,72629469662.000000,101225328275.000000,,23010340812.000000,6567951498.000000,29578292310.000000,690493733.000000,17376222294.000000,,552342853960.000000,17467879777.000000,718681070349.000000,27917794870.000000,,,,,,7372291256.000000,20545503614.000000,27917794870.000000,746598865219.000000,,148750000000.000000,109952993909.000000,281020365911.000000,6280025067.000000,274740340844.000000,281020365911.000000,-2172187698.000000,537551172122.000000,1284150037341.000000,297500000.000000
12M 2015,,,10820166513.000000,,260193339065.000000,89004428852.000000,171188910213.000000,260193339065.000000,976623487.000000,15642366.000000,960981121.000000,976623487.000000,237095000000.000000,424593167957.000000,319340777323.000000,1253019074345.000000,,,,2299806486.000000,230507329184.000000,232807135670.000000,1485826210015.000000,,,816471301252.000000,,26442405284.000000,59482001635.000000,85924406919.000000,,17989684467.000000,3061803462.000000,21051487929.000000,11571233229.000000,18569340199.000000,639068781247.000000,15388267872.000000,24897783857.000000,816471301252.000000,29461394411.000000,,,,,,5244789797.000000,24216604614.000000,29461394411.000000,845932695663.000000,,148750000000.000000,109952993909.000000,387569812891.000000,6780025067.000000,380789787824.000000,387569812891.000000,-6379292448.000000,639893514352.000000,1485826210015.000000,595000000.000000
12M 2016,,,20679220743.000000,,282360634308.000000,151368707677.000000,130991926631.000000,282360634308.000000,37015497.000000,94521.000000,36920976.000000,37015497.000000,,556574980730.000000,244213400792.000000,1103865252070.000000,,,33941269534.000000,1991584599.000000,286166046215.000000,322098900348.000000,1425964152418.000000,,,504208767076.000000,,69908371802.000000,37835858847.000000,107744230649.000000,,17402137798.000000,1371091594.000000,18773229392.000000,30884338994.000000,16542057582.000000,309700000000.000000,,20564910459.000000,504208767076.000000,33835271614.000000,,,,,,,33835271614.000000,33835271614.000000,538044038690.000000,,148750000000.000000,109952993909.000000,637266826517.000000,7280025067.000000,629986801450.000000,637266826517.000000,-8049706698.000000,887920113728.000000,1425964152418.000000,595000000.000000
12M 2017,,,12814873232.000000,,289906617201.000000,224844132712.000000,65062484489.000000,289906617201.000000,28281251.000000,28281251.000000,,28281251.000000,,415268436704.000000,270461749161.000000,988479957549.000000,,,32931393532.000000,38723384363.000000,332501709057.000000,404156486952.000000,1392636444501.000000,,,444383077820.000000,,50541533995.000000,79394188852.000000,129935722847.000000,,19573601555.000000,1804728990.000000,21378330545.000000,1949987618.000000,12204771091.000000,256958573608.000000,,21955692111.000000,444383077820.000000,45209179614.000000,,,,,,,45209179614.000000,45209179614.000000,489592257434.000000,,148750000000.000000,109952993909.000000,655437713356.000000,7530025067.000000,647907688289.000000,655437713356.000000,-11096520198.000000,903044187067.000000,1392636444501.000000,595000000.000000
