Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Penerimaan Jasa Maklon,Penerimaan (Pembayaran) Dari Pajak Penghasilan Dan Pajak Lainnya,Pembayaran Untuk Beban Usaha,Penalti Pajak,Pembayaran Dari Pajak Penghasilan,Pendapatan Bunga Yang Diterima,Pembayaran Beban Keuangan,Pembayaran Pajak Dan Penerimaan Tunai Dari Pengembalian Pajak Lainnya - Neto,Penerimaan Dari Pengembalian Pajak Badan,Penerimaan (Pembayaran) Kas Lain-Lain - Neto,Pembayaran Pajak Final Atas Revaluasi Aset,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Hasil Penjualan Anak Perusahaan,Deposito Berjangka,Pembayaran Uang Muka,Penerimaan Tunai Dari Pinjaman Bank,Pinjaman Kepada Pihak Relasi,Penerimaan Pengembalian Atas Pinjaman Kepada Pihak Relasi,Pemberian Pinjaman Kepada Pihak Relasi,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hutang Pemegang Saham,Penerimaan/(Pembayaran) Pinjaman Dari/Ke Pihak Relasi,Penerimaan Pinjaman Dari Pihak Relasi,Pembayaran Pinjaman Ke Pihak Relasi,Total Penerimaan/(Pembayaran) Pinjaman Dari/Ke Pihak Relasi,Pembayaran Dividen,Penerimaan (Pembayaran) Dari Pinjaman Bank,Pembayaran Beban Bunga,Penerimaan Atas Pinjaman Bank Jangka Pendek,Pembayaran Atas Pinjaman Bank Jangka Pendek,Penerimaan Uang Jaminan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-41024283850.000000,1861974421726.000000,-1807364568335.000000,,,-1807364568335.000000,,,-81490826337.000000,,,,120344789.000000,-14263655693.000000,,,,,-41024283850.000000,-48938385698.000000,-49054239239.000000,,,,,,,,,115853541.000000,-48938385698.000000,83250343178.000000,,277281743178.000000,,,277281743178.000000,,-194031400000.000000,,,,,83250343178.000000,-6712326370.000000,12858092996.000000,6145766626.000000
12M 2009,104682614940.000000,1262755930261.000000,-1061399200055.000000,,,-1061399200055.000000,,,-73221998920.000000,,,,77706765.000000,-23529823111.000000,,,,,104682614940.000000,9010271305.000000,-14594371361.000000,,22560000000.000000,,,,,,,1044642666.000000,9010271305.000000,-114062561021.000000,,-114062561021.000000,,,-114062561021.000000,,,,,,,-114062561021.000000,-369674776.000000,6145766626.000000,5776091850.000000
12M 2010,-206699334647.000000,740209309427.000000,-1046844751157.000000,,,-1046844751157.000000,,,114807881725.000000,,,,195073999.000000,-15066848641.000000,,,,,-206699334647.000000,-23701895832.000000,-24897572260.000000,,,,,,,,,1195676428.000000,-23701895832.000000,232454009972.000000,,-41936490028.000000,,,-41936490028.000000,-22312500000.000000,296703000000.000000,,,,,232454009972.000000,2052779493.000000,5776091850.000000,7828871343.000000
12M 2011,126233750999.000000,1298942753209.000000,-1180685995849.000000,,,-1180685995849.000000,277913792.000000,,42218763199.000000,,,-13157929477.000000,,-21361753875.000000,,,,,126233750999.000000,-14030739102.000000,-14077614102.000000,,,,,,,,,46875000.000000,-14030739102.000000,-108112000000.000000,,-108112000000.000000,,,-108112000000.000000,,,,,,,-108112000000.000000,4091011897.000000,7828871343.000000,11919883240.000000
12M 2012,165931107445.000000,1167015221677.000000,,-917320764256.000000,-17572069525.000000,-934892833781.000000,,54886968516.000000,,-74175885160.000000,,-46069177879.000000,5089241574.000000,-12522243345.000000,6599815843.000000,,,,165931107445.000000,-280032644829.000000,-18541326647.000000,,93681818.000000,,,,-261585000000.000000,,,,-280032644829.000000,117731000000.000000,,-36272000000.000000,,,-36272000000.000000,,154003000000.000000,,,,,117731000000.000000,3629462616.000000,11919883240.000000,15549345856.000000
12M 2013,19608725490.000000,2583422002737.000000,,-2481159320772.000000,-14049778047.000000,-2495209098819.000000,,13456712610.000000,,-77916345752.000000,,-23523643885.000000,7336413579.000000,,,,12042685020.000000,,19608725490.000000,230778336225.000000,-2062106072.000000,-28875719738.000000,,,,,261585000000.000000,,,131162035.000000,230778336225.000000,-236323864286.000000,,60596900000.000000,,,60596900000.000000,,-285265000000.000000,-11655764286.000000,,,,-236323864286.000000,14063197429.000000,15549345856.000000,29612543285.000000
12M 2014,-147806952847.000000,3674459795899.000000,,-3648316025405.000000,-8735878901.000000,-3657051904306.000000,,,,-147759155672.000000,,-19720921926.000000,559712895.000000,,397230635.000000,,1308289628.000000,,-147806952847.000000,-25275259978.000000,-13839041928.000000,-11444002805.000000,,,,,,,,7784755.000000,-25275259978.000000,171182292001.000000,,,520445353960.000000,-28699400000.000000,491745953960.000000,-29659570000.000000,-249874500000.000000,-41029591959.000000,,,,171182292001.000000,-1899920824.000000,29612543285.000000,27712622461.000000
12M 2015,168614370234.000000,3551875976392.000000,,-3204892008987.000000,-61008629809.000000,-3265900638796.000000,,,,-103281736154.000000,,-27930037701.000000,9685475673.000000,,3908397252.000000,,256933568.000000,,168614370234.000000,-256810968630.000000,-4503370510.000000,-15360238774.000000,,,,,-237095000000.000000,,,147640654.000000,-256810968630.000000,71304142448.000000,,,,-536954586088.000000,-536954586088.000000,,639068781247.000000,-30810052711.000000,,,,71304142448.000000,-16892455948.000000,27712622461.000000,10820166513.000000
12M 2016,176087317362.000000,4077726723346.000000,,-3673393918753.000000,-50647258371.000000,-3724041177124.000000,,,,-118911033546.000000,,-71741157316.000000,6818547298.000000,,4614531409.000000,,1620883295.000000,,176087317362.000000,220649549513.000000,-963918878.000000,-16274831609.000000,,,,,,237095000000.000000,,793300000.000000,220649549513.000000,-386877812645.000000,,,,-15388267872.000000,-15388267872.000000,,-329368781247.000000,-42120763526.000000,,,,-386877812645.000000,9859054230.000000,10820166513.000000,20679220743.000000
12M 2017,208851008007.000000,4251665624602.000000,,-3836376520963.000000,-47203694458.000000,-3883580215421.000000,,,,-111570235262.000000,,-48635458386.000000,188753559.000000,,,,782538915.000000,,208851008007.000000,-56631729257.000000,-8193586831.000000,-14454406528.000000,,,-36849732155.000000,,,,,2865996257.000000,-56631729257.000000,-160083626261.000000,,,,,,-89103945000.000000,-52741426392.000000,-18238254869.000000,,,,-160083626261.000000,-7864347511.000000,20679220743.000000,12814873232.000000
