Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.89,790.00,0.89,790.00,,311 B,311 B,304 B,352 B
12M 2009,1.47,1013.46,1.47,1013.46,,183 B,183 B,177 B,298 B
12M 2010,1.06,1037.82,1.06,1037.82,297 B,144 B,441 B,433 B,259 B
12M 2011,0.70,1361.54,0.70,1361.54,299 B,36 B,336 B,324 B,252 B
12M 2012,0.83,1557.66,0.83,1557.66,484 B,,484 B,468 B,15 B
12M 2013,0.65,1775.71,0.65,1775.71,250 B,,250 B,220 B,328 B
12M 2014,0.83,1806.89,0.83,1806.89,,,,(28 B),335 B
12M 2015,0.63,1075.45,0.63,1075.45,639 B,,639 B,628 B,437 B
12M 2016,0.90,1492.30,0.90,1492.30,310 B,,310 B,289 B,600 B
12M 2017,0.85,1517.72,0.85,1517.72,257 B,,257 B,244 B,544 B
12M 2018,0.84,1641.42,0.84,1641.42,10 B,,10 B,9 B,651 B
12M 2019,0.88,1901.34,0.88,1901.34,,,,(366 B),845 B
12M 2020,0.84,2118.85,0.84,2118.85,,,,(442 B),995 B
12M 2021,0.80,2331.71,0.80,2331.71,,,,(235 B),"1,075 B"
12M 2022,0.76,2605.11,0.76,2605.11,,,,(118 B),"1,245 B"
12M 2023,0.67,2760.14,0.67,2760.14,,,,(591 B),"1,365 B"
12M 2024,0.65,3208.05,0.65,3208.05,,,,(436 B),"1,639 B"
