Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Others,Total Pajak Kini,Pajak Tangguhan,Others,Total Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1963637631257.000000,-1728731350247.000000,234906281010.000000,-130377815636.000000,-126294543445.000000,-8975793049.000000,4892520858.000000,-130377815636.000000,104528465374.000000,-62082248611.000000,120344789.000000,-14263655693.000000,-47334446099.000000,80828124.000000,-685319732.000000,,,-62082248611.000000,42446216763.000000,-12979581947.000000,-15446158917.000000,,-15446158917.000000,2466576970.000000,,2466576970.000000,-12979581947.000000,29466634816.000000,-1599079373.000000,27867555443.000000,,,,27867555443.000000,27867555443.000000,27867555443.000000,,27867555443.000000,27867555443.000000,27867555443.000000,,27867555443.000000
12M 2009,1194543761621.000000,-1055969282527.000000,138574479094.000000,-44548153464.000000,-36817070378.000000,-8297173590.000000,566090504.000000,-44548153464.000000,94026325630.000000,-23937455068.000000,77706765.000000,-23943639828.000000,-2701640010.000000,953635503.000000,-511446896.000000,,2187929398.000000,-23937455068.000000,70088870562.000000,-19402364998.000000,-15135531687.000000,,-15135531687.000000,-4266833311.000000,,-4266833311.000000,-19402364998.000000,50686505564.000000,-1193376090.000000,49493129474.000000,,,,49493129474.000000,49493129474.000000,49493129474.000000,,49493129474.000000,49493129474.000000,49493129474.000000,,49493129474.000000
12M 2010,718204875108.000000,-634746201685.000000,83458673423.000000,-32728819372.000000,-22698369011.000000,-14329115259.000000,4298664898.000000,-32728819372.000000,50729854051.000000,-10378533825.000000,195073999.000000,-16744588589.000000,5993480747.000000,177500018.000000,,,,-10378533825.000000,40351320226.000000,-10789259736.000000,-9427414256.000000,,-9427414256.000000,-1361845480.000000,,-1361845480.000000,-10789259736.000000,29562060490.000000,,29562060490.000000,,,,29562060490.000000,29562060490.000000,29562060490.000000,,29562060490.000000,29562060490.000000,29562060490.000000,,29562060490.000000
12M 2011,1238169022036.000000,-1040848239096.000000,197320782940.000000,-50734365809.000000,-38161588073.000000,-13632731013.000000,1059953277.000000,-50734365809.000000,146586417131.000000,-16332224603.000000,277913792.000000,-19391959708.000000,2734946313.000000,46875000.000000,,,,-16332224603.000000,130254192528.000000,-33948248762.000000,-32548552947.000000,,-32548552947.000000,-1399695815.000000,,-1399695815.000000,-33948248762.000000,96305943766.000000,,96305943766.000000,,,,96305943766.000000,96305943766.000000,96305943766.000000,,96305943766.000000,96305943766.000000,96305943766.000000,,96305943766.000000
12M 2012,1123519657631.000000,-955696220119.000000,167823437512.000000,-62272216728.000000,-49610413252.000000,-19494853261.000000,6833049785.000000,-62272216728.000000,105551220784.000000,-21836894980.000000,5089241574.000000,-12664036128.000000,-14323032244.000000,60931818.000000,,,,-21836894980.000000,83714325804.000000,-25370088328.000000,-25196911444.000000,,-25196911444.000000,-173176884.000000,,-173176884.000000,-25370088328.000000,58344237476.000000,,58344237476.000000,,,,58344237476.000000,58344237476.000000,58344237476.000000,,58344237476.000000,58344237476.000000,58344237476.000000,,58344237476.000000
12M 2013,2531881182546.000000,-2306891044163.000000,224990138383.000000,-78033777192.000000,-56413415060.000000,-23443945791.000000,1823583659.000000,-78033777192.000000,146956361191.000000,-60403219262.000000,7336413579.000000,-11693768315.000000,-56170376561.000000,124512035.000000,,,,-60403219262.000000,86553141929.000000,-21484183371.000000,-19877537995.000000,,-19877537995.000000,-1606645376.000000,,-1606645376.000000,-21484183371.000000,65068958558.000000,,65068958558.000000,-197010948.000000,-197010948.000000,-197010948.000000,64871947610.000000,64871947610.000000,64871947610.000000,,64871947610.000000,65068958558.000000,65068958558.000000,,65068958558.000000
12M 2014,3701868790192.000000,-3478089661187.000000,223779129005.000000,-108722051350.000000,-79419182455.000000,-27208872444.000000,-2093996451.000000,-108722051350.000000,115057077655.000000,-57984533429.000000,559712895.000000,-40843574289.000000,-17703192197.000000,2520162.000000,,,,-57984533429.000000,57072544226.000000,-16071129272.000000,-14963549139.000000,,-14963549139.000000,-1107580133.000000,,-1107580133.000000,-16071129272.000000,41001414954.000000,,41001414954.000000,-1975176750.000000,-1975176750.000000,-1975176750.000000,39026238204.000000,39026238204.000000,39026238204.000000,,39026238204.000000,41001414954.000000,41001414954.000000,,41001414954.000000
12M 2015,3485733830354.000000,-3186844410552.000000,298889419802.000000,-102935488684.000000,-61191765268.000000,-41743723416.000000,,-102935488684.000000,195953931118.000000,-53682577228.000000,9711242205.000000,-34959573378.000000,-28941733819.000000,98006279.000000,,,409481485.000000,-53682577228.000000,142271353890.000000,-35721906910.000000,-36447040119.000000,,-36447040119.000000,725133209.000000,,725133209.000000,-35721906910.000000,106549446980.000000,,106549446980.000000,-4207104750.000000,-4207104750.000000,-4207104750.000000,102342342230.000000,102342342230.000000,102342342230.000000,,102342342230.000000,106549446980.000000,106549446980.000000,,106549446980.000000
12M 2016,4115541761173.000000,-3680603252346.000000,434938508827.000000,-115105996296.000000,-72368779720.000000,-42737216576.000000,,-115105996296.000000,319832512531.000000,-34004675076.000000,5943400249.000000,-38637097859.000000,-1035822973.000000,70156251.000000,,,-345310744.000000,-34004675076.000000,285827837455.000000,-36130823829.000000,-74760078410.000000,,-74760078410.000000,38629254581.000000,,38629254581.000000,-36130823829.000000,249697013626.000000,,249697013626.000000,-1670414250.000000,-1670414250.000000,-1670414250.000000,248026599376.000000,248026599376.000000,248026599376.000000,,248026599376.000000,249697013626.000000,249697013626.000000,,249697013626.000000
12M 2017,4257738486908.000000,-3973458868193.000000,284279618715.000000,-124172146680.000000,-72724361949.000000,-51447784731.000000,,-124172146680.000000,160107472035.000000,-16911532669.000000,235965923.000000,-17972677646.000000,-508123495.000000,293261113.000000,,,1040041436.000000,-16911532669.000000,143195939366.000000,-35775052527.000000,-33749572025.000000,,-33749572025.000000,-2025480502.000000,,-2025480502.000000,-35775052527.000000,107420886839.000000,,107420886839.000000,-3046813500.000000,-3046813500.000000,-3046813500.000000,104374073339.000000,104374073339.000000,104374073339.000000,,104374073339.000000,107420886839.000000,107420886839.000000,,107420886839.000000
