Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,10 B,(6 B),4 B,2374192.62
12M 2018,16 B,(18 B),(2 B),-1332479.44
12M 2019,(15 B),(48 B),(63 B),-24.33
12M 2020,(5 B),(6 B),(11 B),-4.36
12M 2021,23 B,(69 B),(46 B),-14.32
12M 2022,7 B,(32 B),(25 B),-7.62
12M 2023,(87 B),(31 B),(118 B),-36.51
12M 2024,(26 B),(13 B),(39 B),-12.13
