Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,204277780048.000000,-144697926951.000000,59579853097.000000,-38503140429.000000,-29025289211.000000,-9477851218.000000,-38503140429.000000,21076712668.000000,-15632258700.000000,,-15632258700.000000,-15632258700.000000,5444453968.000000,-363606434.000000,5080847534.000000,-2637303.000000,5078210231.000000,5080847534.000000,5080847534.000000,,5080847534.000000,5078210231.000000,5078210231.000000,,5078210231.000000
12M 2018,226400332608.000000,-166425797593.000000,59974535015.000000,-35732690341.000000,-27341809724.000000,-8390880617.000000,-35732690341.000000,24241844674.000000,-16307382187.000000,,-16307382187.000000,-16307382187.000000,7934462487.000000,-1978025609.000000,5956436878.000000,-3114973.000000,5953321905.000000,5956436878.000000,5956436878.000000,,5956436878.000000,5953321905.000000,5953321905.000000,,5953321905.000000
12M 2019,241398614410.000000,-179620073430.000000,61778540980.000000,-38509577305.000000,-25309706091.000000,-13199871214.000000,-38509577305.000000,23268963675.000000,-16698273620.000000,,-16698273620.000000,-16698273620.000000,6570690055.000000,-1631825322.000000,4938864733.000000,-4067759.000000,4934796974.000000,4938864733.000000,4938864733.000000,,4938864733.000000,4934796974.000000,4934796974.000000,,4934796974.000000
12M 2020,335061177935.000000,-251432121461.000000,83629056474.000000,-57130350927.000000,-37734728924.000000,-19395622003.000000,-57130350927.000000,26498705547.000000,-19648387266.000000,,-19648387266.000000,-19648387266.000000,6850318281.000000,-1496437779.000000,5353880502.000000,-5128239.000000,5348752263.000000,5353880502.000000,5353880502.000000,,5353880502.000000,5348752263.000000,5348752263.000000,,5348752263.000000
12M 2021,352351492551.000000,-294384492194.000000,57967000357.000000,-36583529306.000000,-22353329894.000000,-14230199412.000000,-36583529306.000000,21383471051.000000,-15850215014.000000,-15269619255.000000,-580595759.000000,-15850215014.000000,5533256037.000000,-1243806339.000000,4289449698.000000,-5060317.000000,4284389381.000000,4289449698.000000,4289449698.000000,,4289449698.000000,4284389381.000000,4284389381.000000,,4284389381.000000
12M 2022,154393059177.000000,-155279309889.000000,-886250712.000000,-30595016630.000000,-14216373632.000000,-16378642998.000000,-30595016630.000000,-31481267342.000000,-15884128268.000000,-12385200733.000000,-3498927535.000000,-15884128268.000000,-47365395610.000000,9114023056.000000,-38251372554.000000,-6836645.000000,-38258209199.000000,-38251372554.000000,-38251372554.000000,,-38251372554.000000,-38258209198.000000,-38258209198.000000,,-38258209198.000000
12M 2023,52286426282.000000,-50293288807.000000,1993137475.000000,-32327584922.000000,-9965479322.000000,-22362105600.000000,-32327584922.000000,-30334447447.000000,96878506932.000000,-10285161748.000000,107163668680.000000,96878506932.000000,66544059485.000000,-6409361365.000000,60134698120.000000,-8246782.000000,60126451338.000000,60134698120.000000,60134698120.000000,,60134698120.000000,60126451338.000000,60126451338.000000,,60126451338.000000
12M 2024,168007044537.000000,-126321418635.000000,41685625902.000000,-30627112453.000000,-15126021088.000000,-15501091365.000000,-30627112453.000000,11058513449.000000,-6036270397.000000,-3601744893.000000,-2434525504.000000,-6036270397.000000,5022243052.000000,-2036952583.000000,2985290469.000000,177690707.000000,177690707.000000,2985290469.000000,2985290469.000000,,2985290469.000000,3162981176.000000,3162981176.000000,,3162981176.000000
