Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Akseptasi,Pihak Ketiga,Total Liabilitas Akseptasi,Utang Pajak,Surat Berharga Yang Diterbitkan,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,199311000000.000000,854850000000.000000,,,276037000000.000000,-2760000000.000000,273277000000.000000,,741894000000.000000,4671970000000.000000,-90889000000.000000,5322975000000.000000,,217524000000.000000,217524000000.000000,1168078000000.000000,8036015000000.000000,,,65362000000.000000,6832422000000.000000,2984945000000.000000,3847477000000.000000,6832422000000.000000,238626000000.000000,14891000000.000000,223735000000.000000,238626000000.000000,,,,19227000000.000000,2626000000.000000,9866000000.000000,,296457000000.000000,7464586000000.000000,,525000000000.000000,,88501000000.000000,2500000000.000000,86001000000.000000,88501000000.000000,,-42072000000.000000,571429000000.000000,8036015000000.000000,1050000.000000
12M 2010,,269274000000.000000,1067918000000.000000,,,706189000000.000000,,706189000000.000000,,794940000000.000000,6216856000000.000000,-77638000000.000000,6934158000000.000000,,227977000000.000000,227977000000.000000,2026663000000.000000,11232179000000.000000,,,46739000000.000000,9819214000000.000000,4443285000000.000000,5375929000000.000000,9819214000000.000000,366853000000.000000,14250000000.000000,352603000000.000000,366853000000.000000,,,,25208000000.000000,1616000000.000000,14016000000.000000,,47039000000.000000,10320685000000.000000,,728050000000.000000,75322000000.000000,147694000000.000000,3000000000.000000,144694000000.000000,147694000000.000000,,-39572000000.000000,911494000000.000000,11232179000000.000000,7280500000.000000
12M 2011,,467063000000.000000,1344573000000.000000,,,561608000000.000000,,561608000000.000000,,1760159000000.000000,8480015000000.000000,-104732000000.000000,10135442000000.000000,,354350000000.000000,354350000000.000000,3795620000000.000000,16658656000000.000000,,,73086000000.000000,14853064000000.000000,6005651000000.000000,8847413000000.000000,14853064000000.000000,323675000000.000000,172027000000.000000,151648000000.000000,323675000000.000000,,,,22587000000.000000,881000000.000000,21744000000.000000,,68651000000.000000,15363688000000.000000,,907887000000.000000,165240000000.000000,260344000000.000000,3500000000.000000,256844000000.000000,260344000000.000000,,-38503000000.000000,1294968000000.000000,16658656000000.000000,9078869400.000000
12M 2012,,283214000000.000000,1441593000000.000000,,553334000000.000000,,,553334000000.000000,,1427069000000.000000,8959015000000.000000,-92248000000.000000,10293836000000.000000,,494110000000.000000,494110000000.000000,2085805000000.000000,15151892000000.000000,,,204852000000.000000,12860714000000.000000,3717006000000.000000,9143708000000.000000,12860714000000.000000,152335000000.000000,,152335000000.000000,152335000000.000000,,,,18844000000.000000,431000000.000000,39563000000.000000,,49545000000.000000,13326284000000.000000,,1028384000000.000000,342032000000.000000,488250000000.000000,4000000000.000000,484250000000.000000,488250000000.000000,,-33058000000.000000,1825608000000.000000,15151892000000.000000,10283836238.000000
12M 2013,,375908000000.000000,1461477000000.000000,,1510764000000.000000,,,1510764000000.000000,,944678000000.000000,10021393000000.000000,-56333000000.000000,10909738000000.000000,,544440000000.000000,544440000000.000000,2645128000000.000000,17447455000000.000000,,,236072000000.000000,13819061000000.000000,3299063000000.000000,10519998000000.000000,13819061000000.000000,256681000000.000000,36199000000.000000,220482000000.000000,256681000000.000000,238324000000.000000,,238324000000.000000,31878000000.000000,355000000.000000,62341000000.000000,,48483000000.000000,14693195000000.000000,,1311688000000.000000,766224000000.000000,709350000000.000000,4500000000.000000,704850000000.000000,709350000000.000000,,-33002000000.000000,2754260000000.000000,17447455000000.000000,13116881498.000000
12M 2014,,370991000000.000000,1534185000000.000000,,1693348000000.000000,,,1693348000000.000000,,818780000000.000000,13479655000000.000000,-75078000000.000000,14223357000000.000000,,584058000000.000000,584058000000.000000,2853610000000.000000,21259549000000.000000,,,137857000000.000000,16946231000000.000000,3063863000000.000000,13882368000000.000000,16946231000000.000000,766197000000.000000,17336000000.000000,748861000000.000000,766197000000.000000,67836000000.000000,,67836000000.000000,28224000000.000000,355000000.000000,84048000000.000000,,68319000000.000000,18099067000000.000000,,1404016000000.000000,920494000000.000000,864282000000.000000,5000000000.000000,859282000000.000000,864282000000.000000,,-28310000000.000000,3160482000000.000000,21259549000000.000000,14040168349.000000
12M 2015,,487483000000.000000,1867617000000.000000,,2272655000000.000000,,,2272655000000.000000,,241933000000.000000,17264637000000.000000,-178808000000.000000,17327762000000.000000,1035570000000.000000,,1035570000000.000000,4877601000000.000000,27886113000000.000000,,,181367000000.000000,22357131000000.000000,3918249000000.000000,18438882000000.000000,22357131000000.000000,1114480000000.000000,104475000000.000000,1010005000000.000000,1114480000000.000000,139840000000.000000,,139840000000.000000,42601000000.000000,,105334000000.000000,,258324000000.000000,24199077000000.000000,,1415199000000.000000,928204000000.000000,1045250000000.000000,5500000000.000000,1039750000000.000000,1045250000000.000000,,280958000000.000000,3669611000000.000000,27868688000000.000000,14151999729.000000
12M 2016,,474452000000.000000,2038678000000.000000,,3079112000000.000000,,,3079112000000.000000,,12590000000.000000,19345664000000.000000,-247123000000.000000,19111131000000.000000,1041763000000.000000,,1041763000000.000000,5447490000000.000000,31192626000000.000000,,,155217000000.000000,25077741000000.000000,4569314000000.000000,20508427000000.000000,25077741000000.000000,915484000000.000000,113671000000.000000,801813000000.000000,915484000000.000000,176810000000.000000,,176810000000.000000,121530000000.000000,,109918000000.000000,,160604000000.000000,26717304000000.000000,,1525170000000.000000,1256511000000.000000,1411627000000.000000,6000000000.000000,1405627000000.000000,1411627000000.000000,,282014000000.000000,4475322000000.000000,31192626000000.000000,15251704336.000000
12M 2017,,585646000000.000000,1880885000000.000000,,2638778000000.000000,,,2638778000000.000000,,11556000000.000000,18748397000000.000000,-395391000000.000000,18364562000000.000000,1138582000000.000000,,1138582000000.000000,5795625000000.000000,30404078000000.000000,,,213163000000.000000,23606522000000.000000,2720397000000.000000,20886125000000.000000,23606522000000.000000,1098658000000.000000,118482000000.000000,980176000000.000000,1098658000000.000000,172460000000.000000,,172460000000.000000,68886000000.000000,,104148000000.000000,,296057000000.000000,25559894000000.000000,,1538180000000.000000,1276655000000.000000,1722163000000.000000,6500000000.000000,1715663000000.000000,1722163000000.000000,,307186000000.000000,4844184000000.000000,30404078000000.000000,15381803066.000000
12M 2018,,553688000000.000000,2022611000000.000000,,1829730000000.000000,,,1829730000000.000000,,25729000000.000000,19818913000000.000000,-630586000000.000000,19214056000000.000000,1211744000000.000000,,1211744000000.000000,5916913000000.000000,30748742000000.000000,,,192041000000.000000,21989429000000.000000,3236653000000.000000,18752776000000.000000,21989429000000.000000,821498000000.000000,123047000000.000000,698451000000.000000,821498000000.000000,232457000000.000000,,232457000000.000000,34422000000.000000,,78233000000.000000,2359476000000.000000,184766000000.000000,25892322000000.000000,,1538180000000.000000,1276655000000.000000,1773340000000.000000,7000000000.000000,1766340000000.000000,1773340000000.000000,,268245000000.000000,4856420000000.000000,30748742000000.000000,15381803206.000000
12M 2019,,615219000000.000000,2060593000000.000000,,1039622000000.000000,,,1039622000000.000000,,10676000000.000000,22486576000000.000000,-1182755000000.000000,21314497000000.000000,1399242000000.000000,,1399242000000.000000,10130383000000.000000,36559556000000.000000,,,131750000000.000000,24652197000000.000000,3692251000000.000000,20959946000000.000000,24652197000000.000000,800259000000.000000,26433000000.000000,773826000000.000000,800259000000.000000,265212000000.000000,,265212000000.000000,38428000000.000000,,123277000000.000000,4099174000000.000000,374796000000.000000,30485093000000.000000,,1698180000000.000000,2116655000000.000000,1776202000000.000000,7500000000.000000,1768702000000.000000,1776202000000.000000,,483426000000.000000,6074463000000.000000,36559556000000.000000,16981803206.000000
12M 2020,,629712000000.000000,1623067000000.000000,,1905318000000.000000,,,1905318000000.000000,,71120000000.000000,20406172000000.000000,-1598919000000.000000,18878373000000.000000,1584298000000.000000,,1584298000000.000000,19991277000000.000000,44612045000000.000000,,,193249000000.000000,30763916000000.000000,5200137000000.000000,25563779000000.000000,30763916000000.000000,61198000000.000000,,61198000000.000000,61198000000.000000,153617000000.000000,,153617000000.000000,71082000000.000000,,,5997280000000.000000,1314859000000.000000,38555201000000.000000,,1746180000000.000000,2368655000000.000000,1304055000000.000000,8000000000.000000,1296055000000.000000,1304055000000.000000,,637954000000.000000,6056844000000.000000,44612045000000.000000,17461803306.000000
12M 2021,,571425000000.000000,2137244000000.000000,,9592917000000.000000,,,9592917000000.000000,,401988000000.000000,17529788000000.000000,-1617907000000.000000,16313869000000.000000,1540865000000.000000,,1540865000000.000000,22515661000000.000000,52671981000000.000000,,,116189000000.000000,37961555000000.000000,7972890000000.000000,29988665000000.000000,37961555000000.000000,79243000000.000000,,79243000000.000000,79243000000.000000,250424000000.000000,,250424000000.000000,29745000000.000000,,,6512896000000.000000,362513000000.000000,45312565000000.000000,,1746180000000.000000,3777630000000.000000,1428282000000.000000,8500000000.000000,1419782000000.000000,1428282000000.000000,,407324000000.000000,7359416000000.000000,52671981000000.000000,17461803306.000000
12M 2022,,386167000000.000000,4132468000000.000000,,4802974000000.000000,,-113000000.000000,4802861000000.000000,,776034000000.000000,14724930000000.000000,-2121125000000.000000,13379839000000.000000,1508203000000.000000,,1508203000000.000000,23141063000000.000000,47350601000000.000000,,,129064000000.000000,32397026000000.000000,3882425000000.000000,28514601000000.000000,32397026000000.000000,14149000000.000000,,14149000000.000000,14149000000.000000,78065000000.000000,,78065000000.000000,158846000000.000000,,,6518412000000.000000,770031000000.000000,40065593000000.000000,,1971616000000.000000,3552194000000.000000,1642570000000.000000,9000000000.000000,1633570000000.000000,1642570000000.000000,,118628000000.000000,7285008000000.000000,47350601000000.000000,19716162403.000000
12M 2023,,388102000000.000000,6022812000000.000000,,6263389000000.000000,,-12000000.000000,6263377000000.000000,,211039000000.000000,16660407000000.000000,-1686246000000.000000,15185200000000.000000,1606075000000.000000,,1606075000000.000000,23169430000000.000000,52634996000000.000000,,,165101000000.000000,35142585000000.000000,5918217000000.000000,29224368000000.000000,35142585000000.000000,327445000000.000000,,327445000000.000000,327445000000.000000,79880000000.000000,,79880000000.000000,52572000000.000000,,,7019320000000.000000,2021325000000.000000,44808228000000.000000,,1971616000000.000000,3552194000000.000000,1714716000000.000000,9500000000.000000,1705216000000.000000,1714716000000.000000,,588242000000.000000,7826768000000.000000,52634996000000.000000,19716162403.000000
