Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Bunga Dan Bagi Hasil Serta Provisi Dan Komisi Kredit,Pendapatan Bunga Dan Bagi Hasil Serta Provisi Dan Komisi Selain Kredit,Pendapatan Bunga,Pendapatan Bagi Hasil,Total Pendapatan Bunga Dan Bagi Hasil Serta Provisi Dan Komisi Selain Kredit,Pendapatan Operasional Lainnya,Beban Bunga Dan Bagi Hasil,Beban Bunga,Beban Bagi Hasil,Total Beban Bunga Dan Bagi Hasil,Keuntungan Selisih Kurs Mata Uang Asing - Bersih,Pembayaran Pajak Penghasilan Badan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Pembayaran Pajak Atas Revaluasi Aset Tetap,Beban Operasional Lainnya,Penurunan (Kenaikan) Aset Operasi:,Penempatan Pada Bank Lain Dan Bank Indonesia,Efek-Efek,Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Diberikan,Pembiayaan Syariah,Tagihan Akseptasi,Penyertaan Modal Sementara,Biaya Dibayar Dimuka,Obyek Ijarah,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan,Simpanan Dari Bank Lain,Utang Pajak,Surat Berharga Yang Diterbitkan,Efek Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan Tagihan Akseptasi,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Kenaikan (Penurunan) Dana Syirkah Temporer Operasi:,Simpanan,Simpanan Dari Bank Lain,Total Kenaikan (Penurunan) Dana Syirkah Temporer Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Modal Sementara,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tetap Yang Tidak Digunakan,Penghapusan Aset Tetap,Penggantian Asuransi Atas Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Konversi Waran,Hasil Konversi Waran Seri I,Hasil Konversi Waran Seri Ii,Hasil Konversi Waran Seri Iii,Hasil Penawaran Umum Terbatas I,Hasil Penambahan Modal Penawaran Umum Terbatas Ii,Penerimaan Obligasi Subordinasi,Penerimaan Dari Penyertaan Non-Pengendali,Biaya Emisi Saham,Perolehan Dari Eksekusi Waran,Pembayaran Liabilitas Sewa,Penambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2009,667051000000.000000,,832834000000.000000,,,832834000000.000000,491000000.000000,-473633000000.000000,,,-473633000000.000000,9988000000.000000,,-146422000000.000000,-72756000000.000000,,-757000000.000000,,194000000.000000,-175509000000.000000,-10017000000.000000,-1148363000000.000000,,,,-8829000000.000000,,73707000000.000000,-1268817000000.000000,,6149000000.000000,1557221000000.000000,158581000000.000000,-19840000000.000000,-2805000000.000000,88669000000.000000,,-1852000000.000000,1786123000000.000000,,,,,,667051000000.000000,-74123000000.000000,,197000000.000000,,,,-74320000000.000000,-74123000000.000000,100000000000.000000,,,,,,,,,,,,100000000000.000000,100000000000.000000,692928000000.000000,727981000000.000000,-225000000.000000,1420684000000.000000
12M 2010,698515000000.000000,,912763000000.000000,,,912763000000.000000,62071000000.000000,-488745000000.000000,,,-488745000000.000000,23206000000.000000,,-177697000000.000000,-103905000000.000000,,-3177000000.000000,,97000000.000000,-346635000000.000000,-64920000000.000000,-1663590000000.000000,,,,-8070000000.000000,-219158000000.000000,-31414000000.000000,-2333690000000.000000,,-18623000000.000000,2986792000000.000000,128227000000.000000,-29009000000.000000,-1010000000.000000,-258428000000.000000,,-260000000.000000,2807689000000.000000,,,,,,698515000000.000000,-32426000000.000000,,190000000.000000,,,,-32616000000.000000,-32426000000.000000,235322000000.000000,,,,,240000000000.000000,,,,-4678000000.000000,,,,235322000000.000000,901411000000.000000,1420684000000.000000,-20869000000.000000,2301226000000.000000
12M 2011,1246603000000.000000,,1532532000000.000000,,,1532532000000.000000,843000000.000000,-781739000000.000000,,,-781739000000.000000,9806000000.000000,-41777000000.000000,-244930000000.000000,-146338000000.000000,,-609000000.000000,,,-798411000000.000000,75221000000.000000,-3228378000000.000000,,,,-25004000000.000000,-22384000000.000000,-107772000000.000000,-4106728000000.000000,,26047000000.000000,5033850000000.000000,-43178000000.000000,4457000000.000000,-735000000.000000,,,5102000000.000000,5025543000000.000000,,,,,,1246603000000.000000,-155409000000.000000,,10000000.000000,,,,-155419000000.000000,-155409000000.000000,269755000000.000000,,269755000000.000000,,,,,,,,,,,269755000000.000000,1360949000000.000000,2301226000000.000000,2293000000.000000,3664468000000.000000
12M 2012,-1112467000000.000000,,1630883000000.000000,,,1630883000000.000000,3357000000.000000,-691166000000.000000,,,-691166000000.000000,-44196000000.000000,-44264000000.000000,-390482000000.000000,-221217000000.000000,,-2307000000.000000,,196768000000.000000,703385000000.000000,,-145910000000.000000,,,,-59457000000.000000,-36091000000.000000,25013000000.000000,683708000000.000000,,135289000000.000000,-1992350000000.000000,-171340000000.000000,766000000.000000,-450000000.000000,,,-8698000000.000000,-2036783000000.000000,,,,,,-1112467000000.000000,-184826000000.000000,,2032000000.000000,,,,-186858000000.000000,-184826000000.000000,297289000000.000000,,268000000.000000,,,300797000000.000000,,,,-3776000000.000000,,,,297289000000.000000,-1000004000000.000000,3664468000000.000000,61911000000.000000,2726375000000.000000
12M 2013,-35610000000.000000,,1624847000000.000000,,,1624847000000.000000,1718000000.000000,-568448000000.000000,,,-568448000000.000000,-408895000000.000000,-26807000000.000000,-469224000000.000000,-279842000000.000000,,-3300000000.000000,,135000000.000000,-29375000000.000000,-139212000000.000000,-579987000000.000000,,,,-134661000000.000000,-58043000000.000000,-57461000000.000000,-998604000000.000000,,31222000000.000000,958347000000.000000,104346000000.000000,-2381000000.000000,-76000000.000000,,,1487000000.000000,1092945000000.000000,,,,,,-35610000000.000000,-104846000000.000000,,1965000000.000000,196000000.000000,,,-107007000000.000000,-104846000000.000000,707496000000.000000,,707496000000.000000,,,,,,,,,,,707496000000.000000,567040000000.000000,2726375000000.000000,401577000000.000000,3694992000000.000000
12M 2014,324116000000.000000,,2150472000000.000000,,,2150472000000.000000,14109000000.000000,-791876000000.000000,,,-791876000000.000000,-14036000000.000000,-33754000000.000000,-588858000000.000000,-336239000000.000000,,-1697000000.000000,,436000000.000000,-6029000000.000000,139212000000.000000,-3332364000000.000000,,-173800000000.000000,,-89917000000.000000,-130044000000.000000,-30065000000.000000,-3622571000000.000000,,-98215000000.000000,3127170000000.000000,509516000000.000000,5844000000.000000,,,,4251000000.000000,3548566000000.000000,,,,,,324116000000.000000,-104951000000.000000,,4000000.000000,,,113000000.000000,-105068000000.000000,-104951000000.000000,246598000000.000000,,4760000000.000000,,,,,,,,,,241838000000.000000,246598000000.000000,465763000000.000000,3694992000000.000000,9499000000.000000,4170254000000.000000
12M 2015,2014021000000.000000,,2329245000000.000000,,,2329245000000.000000,439934000000.000000,-1041028000000.000000,,,-1041028000000.000000,227955000000.000000,-20566000000.000000,-996533000000.000000,-424708000000.000000,-9508000000.000000,,,-131169000000.000000,-1118001000000.000000,,-3231584000000.000000,,-72004000000.000000,,-27805000000.000000,-7790000000.000000,46988000000.000000,-4541365000000.000000,,43155000000.000000,5410900000000.000000,348283000000.000000,3574000000.000000,,145009000000.000000,72004000000.000000,27670000000.000000,6050595000000.000000,,,,,,2014021000000.000000,-215585000000.000000,,1145000000.000000,,,,-216730000000.000000,-215585000000.000000,18893000000.000000,,18893000000.000000,,,,,,,,,,,18893000000.000000,1817329000000.000000,4170254000000.000000,-221980000000.000000,5765603000000.000000
12M 2016,751080000000.000000,,,2558043000000.000000,334445000000.000000,2892488000000.000000,748707000000.000000,,-982826000000.000000,-156299000000.000000,-1139125000000.000000,45615000000.000000,-41891000000.000000,-1027393000000.000000,-512257000000.000000,,-30202000000.000000,,87932000000.000000,-245169000000.000000,,-2074962000000.000000,78716000000.000000,17030000000.000000,,60549000000.000000,-207428000000.000000,-332566000000.000000,-2615898000000.000000,,-26150000000.000000,2720610000000.000000,-198996000000.000000,3465000000.000000,,-145009000000.000000,36970000000.000000,40146000000.000000,2431036000000.000000,,,,,,751080000000.000000,-96172000000.000000,,2281000000.000000,,,,-98453000000.000000,-96172000000.000000,433044000000.000000,,2619000000.000000,,,,430425000000.000000,,,,,,,433044000000.000000,1087952000000.000000,5765603000000.000000,-75167000000.000000,6778388000000.000000
12M 2017,-807980000000.000000,,,2790701000000.000000,382296000000.000000,3172997000000.000000,536476000000.000000,,-1036850000000.000000,-146795000000.000000,-1183645000000.000000,-10328000000.000000,-134601000000.000000,-843172000000.000000,-575894000000.000000,,-82138000000.000000,,-153381000000.000000,-435151000000.000000,-120764000000.000000,1523940000000.000000,-1222023000000.000000,4350000000.000000,,40916000000.000000,-109077000000.000000,-94379000000.000000,-565569000000.000000,,57946000000.000000,-1471219000000.000000,183174000000.000000,-9202000000.000000,,,-4351000000.000000,121546000000.000000,-1122106000000.000000,,,,,,-807980000000.000000,-210980000000.000000,,948000000.000000,,,,-211928000000.000000,-210980000000.000000,33154000000.000000,,33154000000.000000,,,,,,,,,,,33154000000.000000,-985806000000.000000,6778388000000.000000,27677000000.000000,5820259000000.000000
12M 2018,-950257000000.000000,,,2510098000000.000000,582616000000.000000,3092714000000.000000,632834000000.000000,,-767603000000.000000,-154831000000.000000,-922434000000.000000,-20482000000.000000,-98868000000.000000,-866327000000.000000,-633054000000.000000,,-117386000000.000000,,297827000000.000000,-27621000000.000000,-369048000000.000000,-1795241000000.000000,-362000000.000000,-59997000000.000000,,21919000000.000000,-443715000000.000000,-47943000000.000000,-2424181000000.000000,,-21122000000.000000,691905000000.000000,-226682000000.000000,14576000000.000000,,,59997000000.000000,-111747000000.000000,406927000000.000000,,,,,,-950257000000.000000,-187899000000.000000,,743000000.000000,,,,-188642000000.000000,-187899000000.000000,,,,,,,,,,,,,,,-1138156000000.000000,5820259000000.000000,37746000000.000000,4719849000000.000000
