Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,524168376959.000000,-249395449459.000000,274772927500.000000,-169729621439.000000,-122730888662.000000,-46998732777.000000,-169729621439.000000,105043306061.000000,-16541647207.000000,171292944.000000,-21038170806.000000,4325230655.000000,-16541647207.000000,88501658854.000000,-21368522989.000000,,,,-21368522989.000000,67133135865.000000,,67133135865.000000,-1915752360.000000,-1915752360.000000,-1915752360.000000,65217383505.000000,67133135865.000000,67133135865.000000,,67133135865.000000,65217383505.000000,65217383505.000000,,65217383505.000000
12M 2018,594728187831.000000,-287161395553.000000,307566792278.000000,-206090309118.000000,-148501537023.000000,-57588772095.000000,-206090309118.000000,101476483160.000000,-12866856804.000000,162060786.000000,-15997014215.000000,2968096625.000000,-12866856804.000000,88609626356.000000,-23294749435.000000,,,,-23294749435.000000,65314876921.000000,,65314876921.000000,704922545.000000,704922545.000000,704922545.000000,66019799466.000000,65314876921.000000,65314876921.000000,,65314876921.000000,66019799466.000000,66019799466.000000,,66019799466.000000
12M 2019,797791022080.000000,-368295871126.000000,429495150954.000000,-259051817097.000000,-190177338534.000000,-68874478563.000000,-259051817097.000000,170443333857.000000,-19665289370.000000,14418318.000000,-18232594888.000000,-1447112800.000000,-19665289370.000000,150778044487.000000,-39015413947.000000,,,,-39015413947.000000,111762630540.000000,,111762630540.000000,-375846595.000000,-375846595.000000,-375846595.000000,111386783945.000000,111762630540.000000,111762630540.000000,,111762630540.000000,111386783945.000000,111386783945.000000,,111386783945.000000
12M 2020,1046188914330.000000,-526766578468.000000,519422335862.000000,-304570887775.000000,-202786970806.000000,-101783916969.000000,-304570887775.000000,214851448087.000000,-21236290325.000000,16326756.000000,-20545408900.000000,-707208181.000000,-21236290325.000000,193615157762.000000,-45249242177.000000,,,,-45249242177.000000,148365915585.000000,,148365915585.000000,-2774679942.000000,-2774679942.000000,-2774679942.000000,145591235643.000000,148365915585.000000,148365915585.000000,,148365915585.000000,145591235643.000000,145591235643.000000,,145591235643.000000
12M 2021,1153102243817.000000,-579320091222.000000,573782152595.000000,-340366870102.000000,-222881450634.000000,-117485419468.000000,-340366870102.000000,233415282493.000000,-8688215416.000000,363164053.000000,-15674073365.000000,6622693896.000000,-8688215416.000000,224727067077.000000,-47451188688.000000,,,,-47451188688.000000,177275878389.000000,,177275878389.000000,-331696670.000000,-331696670.000000,-331696670.000000,176944181719.000000,177275878389.000000,177275878389.000000,,177275878389.000000,176944181719.000000,176944181719.000000,,176944181719.000000
12M 2022,1045720530167.000000,-496245283593.000000,549475246574.000000,-402061227391.000000,-271638006454.000000,-130423220937.000000,-402061227391.000000,147414019183.000000,-15017550654.000000,5834900.000000,-15799587052.000000,776201498.000000,-15017550654.000000,132396468529.000000,-34757414841.000000,,,,-34757414841.000000,97639053688.000000,,97639053688.000000,173562968.000000,173562968.000000,173562968.000000,97812616656.000000,97639053688.000000,97639053688.000000,,97639053688.000000,97812616656.000000,97812616656.000000,,97812616656.000000
12M 2023,1362119699094.000000,-602916305366.000000,759203393728.000000,-512356459741.000000,-359427701755.000000,-152928757986.000000,-512356459741.000000,246846933987.000000,-11090161594.000000,6073919.000000,-13994606062.000000,2898370549.000000,-11090161594.000000,235756772393.000000,-57301606431.000000,,,,-57301606431.000000,178455165962.000000,,178455165962.000000,-359353730.000000,-359353730.000000,-359353730.000000,178095812232.000000,178455165962.000000,178455165962.000000,,178455165962.000000,178095812232.000000,178095812232.000000,,178095812232.000000
12M 2024,1404132465162.000000,-616504877271.000000,787627587891.000000,-554228714119.000000,-393633424195.000000,-160595289924.000000,-554228714119.000000,233398873772.000000,-6405926592.000000,402339889.000000,-8291467541.000000,1483201060.000000,-6405926592.000000,226992947180.000000,-51047316672.000000,,,,-51047316672.000000,175945630508.000000,,175945630508.000000,-356429196.000000,-356429196.000000,-356429196.000000,175589201312.000000,175945630508.000000,175945630508.000000,,175945630508.000000,175589201312.000000,175589201312.000000,,175589201312.000000
