Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Pemasok,Karyawan,Beban Operasi Lain,"Total Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Adjustment,Penerimaan Dari:,Penghasilan Bunga,Penghasilan Lainnya,Restitusi Pajak Penghasilan,Total Penerimaan Dari:,Pembayaran Atas:,Beban Bunga,Pajak Penghasilan,Total Pembayaran Atas:,Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap Dan Uang Muka Pembelian Aset Tetap,Pembelian Perangkat Lunak,Perolehan Aset Hak Guna,Penerimaan Dari Penjualan Aset Tetap,Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Merek Dagang,Penerimaan (Pembayaran) Piutang Kepada Pihak Berelasi,Penambaan Properti Investasi,Penambahan Uang Muka Merek Dagang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Biaya Transaksi Atas Utang Bank,Pembayaran Provisi Utang Bank,Pembayaran Utang Pihak Berelasi,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Biaya Penerbitan Saham Baru,Pembayaran Beban Bunga,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,104912392933.000000,509367531579.000000,,-237591100602.000000,-72370825982.000000,-77931605032.000000,-387893531616.000000,,,,,,,,,-18223592657.000000,-18223592657.000000,1661985627.000000,104912392933.000000,-108075492732.000000,-29886727065.000000,,,440720000.000000,-25000000000.000000,,-53629485667.000000,,,-108075492732.000000,-6243372492.000000,25000000000.000000,,,-6811029080.000000,,-1006530000.000000,,,,-19938863404.000000,-3486950008.000000,,,-6243372492.000000,-9406472291.000000,-103798344778.000000,-113204817069.000000
12M 2018,30916587757.000000,582262831021.000000,,-274421783156.000000,-94424207742.000000,-163713564275.000000,-532559555173.000000,,,,,,,,,-16895694453.000000,-16895694453.000000,-1890993638.000000,30916587757.000000,46734422222.000000,-34055298818.000000,,,1037000000.000000,25000000000.000000,,60895570506.000000,,-6142849466.000000,46734422222.000000,-121258159644.000000,,-75000000000.000000,,-1702757271.000000,,,,,,-15871288333.000000,-3684114040.000000,,-25000000000.000000,-121258159644.000000,-43607149665.000000,-113204817069.000000,-156811966734.000000
12M 2019,89821080388.000000,787273886347.000000,,-386013890720.000000,-115645473402.000000,-141994973459.000000,-643654337581.000000,,,,,,,,,-50601348172.000000,-50601348172.000000,-3197120206.000000,89821080388.000000,-58624476419.000000,-34284986385.000000,,,1102500000.000000,,-43857150534.000000,18415160500.000000,,,-58624476419.000000,-10595724829.000000,,,13138863340.000000,-770912531.000000,,-1355000000.000000,,,,-16836900065.000000,-4771775573.000000,,,-10595724829.000000,20600879140.000000,-156811966734.000000,-136211087594.000000
12M 2020,108827973904.000000,1024457765698.000000,,-564579188918.000000,-161609545684.000000,-147076499736.000000,-873265234338.000000,,,,,,,,,-43017328988.000000,-43017328988.000000,652771532.000000,108827973904.000000,-75972219941.000000,-40417325038.000000,-4143027991.000000,-1589616912.000000,177750000.000000,,-30000000000.000000,,,,-75972219941.000000,37976255594.000000,,,,-6741566096.000000,,,,100800000000.000000,-3879603440.000000,-20594894000.000000,-5576546544.000000,-1031134326.000000,-25000000000.000000,37976255594.000000,70832009557.000000,-136211087594.000000,-65379078037.000000
12M 2021,110238037914.000000,1061388593986.000000,,-528454912007.000000,-188408390840.000000,-187484787565.000000,-904348090412.000000,,,,,,,,,-47253083015.000000,-47253083015.000000,450617355.000000,110238037914.000000,-15696967682.000000,-13229804981.000000,,-3895337124.000000,3686485000.000000,,,,-2258310577.000000,,-15696967682.000000,-88371041199.000000,,,,-7174695125.000000,,,,,-1525774220.000000,-15644023584.000000,-6427194696.000000,-581353574.000000,-57018000000.000000,-88371041199.000000,6170029033.000000,-65379078037.000000,-59209049004.000000
12M 2022,118960501351.000000,1071547932078.000000,,-488288641867.000000,-202859048800.000000,-219256312138.000000,-910404002805.000000,,,,,,,,,-41623296076.000000,-41623296076.000000,-560131846.000000,118960501351.000000,-22746102172.000000,-19482598782.000000,-292175000.000000,-4266636516.000000,1295308126.000000,,,,,,-22746102172.000000,-101881795456.000000,,,,-8076881841.000000,,,-30000000000.000000,,,-10073770784.000000,-6466500834.000000,-308641997.000000,-46956000000.000000,-101881795456.000000,-5667396277.000000,-59209049004.000000,-64876445281.000000
12M 2023,238243119799.000000,1356948267571.000000,,-529439801676.000000,-232284948348.000000,-298575670312.000000,-1060300420336.000000,,,6073919.000000,,,6073919.000000,,,-57361671236.000000,-57361671236.000000,-1049130119.000000,238243119799.000000,-50216151068.000000,-37882844472.000000,,-13280049835.000000,946743239.000000,,,,,,-50216151068.000000,-123875207566.000000,,,,-8447893489.000000,,,-40000000000.000000,,,-8580865555.000000,-5815826164.000000,-658622358.000000,-60372000000.000000,-123875207566.000000,64151761165.000000,-64876445281.000000,-724684116.000000
12M 2024,144253477323.000000,1371161413055.000000,,-584754577213.000000,-247986297317.000000,-342214417668.000000,-1174955292198.000000,,,402339889.000000,,,402339889.000000,,,-52260298391.000000,-52260298391.000000,-94685032.000000,144253477323.000000,-95343472294.000000,-92574645672.000000,,-3391423645.000000,622597023.000000,,,,,,-95343472294.000000,-84829194497.000000,,,38600000000.000000,-10003893849.000000,-289500000.000000,,-30000000000.000000,,,-6799396218.000000,-5849096152.000000,-53308278.000000,-70434000000.000000,-84829194497.000000,-35919189468.000000,-724684116.000000,-36643873584.000000
