Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Aset Dalam Pelaksanaan,Pihak Ketiga,Pihak Berelasi,Total Aset Dalam Pelaksanaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Tetap,Properti Pertambangan,Properti Investasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Pihak Ketiga,Pihak Berelasi,Total Piutang Pihak Berelasi,Goodwill,Persediaan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Obligasi Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Keuangan Lainnya,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3324942000000.000000,,3470549000000.000000,3399037000000.000000,71512000000.000000,3470549000000.000000,160088000000.000000,160088000000.000000,,160088000000.000000,,,5246343000000.000000,,,,,681668000000.000000,12883590000000.000000,,,,,,,,,,,9505248000000.000000,,,55748000000.000000,56247000000.000000,51176000000.000000,,,51176000000.000000,,,,295712000000.000000,9964131000000.000000,22847721000000.000000,,,7874135000000.000000,465378000000.000000,,4190175000000.000000,176547000000.000000,4366722000000.000000,,82027000000.000000,,82027000000.000000,584607000000.000000,,584607000000.000000,409106000000.000000,,848283000000.000000,307167000000.000000,272173000000.000000,,,1427623000000.000000,,,538672000000.000000,7874135000000.000000,3770781000000.000000,,514180000000.000000,,2531208000000.000000,108517000000.000000,327628000000.000000,4236000000.000000,2971589000000.000000,,,285012000000.000000,3770781000000.000000,11644916000000.000000,,831720000000.000000,3781563000000.000000,6243117000000.000000,142580000000.000000,6100537000000.000000,6243117000000.000000,71198000000.000000,275207000000.000000,11202805000000.000000,22847721000000.000000,3326877283.000000
12M 2009,,,2769187000000.000000,,4462606000000.000000,4419648000000.000000,42958000000.000000,4462606000000.000000,86960000000.000000,86960000000.000000,,86960000000.000000,,,3966358000000.000000,,,,,683890000000.000000,11969001000000.000000,,,,,,,,,,,11835726000000.000000,,22291000000.000000,88894000000.000000,32367000000.000000,75986000000.000000,,,75986000000.000000,,,,380563000000.000000,12435827000000.000000,24404828000000.000000,,,7225966000000.000000,31200000000.000000,,3842143000000.000000,322173000000.000000,4164316000000.000000,,100012000000.000000,,100012000000.000000,541435000000.000000,,541435000000.000000,664172000000.000000,,869478000000.000000,212979000000.000000,255059000000.000000,,,1337516000000.000000,,,387315000000.000000,7225966000000.000000,3227782000000.000000,,497932000000.000000,,1433242000000.000000,363689000000.000000,570391000000.000000,32766000000.000000,2400088000000.000000,,,329762000000.000000,3227782000000.000000,10453748000000.000000,,831720000000.000000,3781563000000.000000,8896251000000.000000,166344000000.000000,8729907000000.000000,8896251000000.000000,107370000000.000000,334176000000.000000,13951080000000.000000,24404828000000.000000,3326877283.000000
12M 2010,,,1343220000000.000000,,5214881000000.000000,5169075000000.000000,45806000000.000000,5214881000000.000000,134807000000.000000,89372000000.000000,45435000000.000000,134807000000.000000,,,6931631000000.000000,,,,,1908223000000.000000,15532762000000.000000,,,,,,,,,,,13261374000000.000000,,30336000000.000000,101641000000.000000,154890000000.000000,59421000000.000000,,,59421000000.000000,,,,560490000000.000000,14168152000000.000000,29700914000000.000000,,,9919225000000.000000,190819000000.000000,,4877238000000.000000,654149000000.000000,5531387000000.000000,,87468000000.000000,30913000000.000000,118381000000.000000,133744000000.000000,,133744000000.000000,652143000000.000000,,2011371000000.000000,324930000000.000000,454392000000.000000,,,2790693000000.000000,,,502058000000.000000,9919225000000.000000,3616283000000.000000,,456477000000.000000,,1966376000000.000000,419373000000.000000,313094000000.000000,,2698843000000.000000,,,460963000000.000000,3616283000000.000000,13535508000000.000000,,831720000000.000000,3781563000000.000000,11139012000000.000000,166344000000.000000,10972668000000.000000,11139012000000.000000,29068000000.000000,384043000000.000000,16165406000000.000000,29700914000000.000000,3326877283.000000
12M 2011,,,7135386000000.000000,,9832677000000.000000,9766339000000.000000,66338000000.000000,9832677000000.000000,137037000000.000000,104335000000.000000,32702000000.000000,137037000000.000000,,,7129459000000.000000,,,,,1391019000000.000000,25625578000000.000000,,,,,,,,,,358274000000.000000,13670208000000.000000,5725649000000.000000,39736000000.000000,230158000000.000000,279614000000.000000,78164000000.000000,,,78164000000.000000,,,,432681000000.000000,20814484000000.000000,46440062000000.000000,,,14930069000000.000000,3782000000.000000,,9977320000000.000000,326141000000.000000,10303461000000.000000,,131949000000.000000,113068000000.000000,245017000000.000000,459438000000.000000,,459438000000.000000,768211000000.000000,,1839492000000.000000,426491000000.000000,317617000000.000000,,,2583600000000.000000,,,566560000000.000000,14930069000000.000000,4006045000000.000000,,1289142000000.000000,,1294684000000.000000,540427000000.000000,280912000000.000000,,2116023000000.000000,,,600880000000.000000,4006045000000.000000,18936114000000.000000,,932534000000.000000,9703937000000.000000,15342706000000.000000,166344000000.000000,15176362000000.000000,15342706000000.000000,1183499000000.000000,341272000000.000000,27503948000000.000000,46440062000000.000000,3730135136.000000
12M 2012,,,3995265000000.000000,,9667707000000.000000,9631063000000.000000,36644000000.000000,9667707000000.000000,226949000000.000000,184197000000.000000,42752000000.000000,226949000000.000000,,,7173704000000.000000,,,,,984490000000.000000,22048115000000.000000,,,,,,,,,,396702000000.000000,15196476000000.000000,10623240000000.000000,37130000000.000000,417645000000.000000,503641000000.000000,100502000000.000000,,,100502000000.000000,,,,977182000000.000000,28252518000000.000000,50300633000000.000000,,,11327164000000.000000,14748000000.000000,,6382947000000.000000,283510000000.000000,6666457000000.000000,,185488000000.000000,82544000000.000000,268032000000.000000,,454568000000.000000,454568000000.000000,701236000000.000000,,2038481000000.000000,506773000000.000000,158691000000.000000,,,2703945000000.000000,,,518178000000.000000,11327164000000.000000,6672912000000.000000,15180000000.000000,2334064000000.000000,,1508475000000.000000,895410000000.000000,149697000000.000000,,2553582000000.000000,640434000000.000000,,1129652000000.000000,6672912000000.000000,18000076000000.000000,,932534000000.000000,9703937000000.000000,18382728000000.000000,186507000000.000000,18196221000000.000000,18382728000000.000000,2664701000000.000000,616657000000.000000,32300557000000.000000,50300633000000.000000,3730135136.000000
12M 2013,,,7935870000000.000000,,11814937000000.000000,11788501000000.000000,26436000000.000000,11814937000000.000000,325806000000.000000,271809000000.000000,53997000000.000000,325806000000.000000,,,6176470000000.000000,,,,,1561043000000.000000,27814126000000.000000,,,,,,,,,,432574000000.000000,14574384000000.000000,12027128000000.000000,50899000000.000000,227975000000.000000,762934000000.000000,81191000000.000000,,,81191000000.000000,,,,1391033000000.000000,29548118000000.000000,57362244000000.000000,,,14560664000000.000000,32749000000.000000,,10431334000000.000000,150233000000.000000,10581567000000.000000,,244754000000.000000,61157000000.000000,305911000000.000000,,323494000000.000000,323494000000.000000,1132218000000.000000,,1005954000000.000000,492197000000.000000,110079000000.000000,,,1608230000000.000000,9329000000.000000,,567166000000.000000,14560664000000.000000,7152682000000.000000,,2618797000000.000000,,1449615000000.000000,961550000000.000000,78613000000.000000,,2489778000000.000000,799043000000.000000,,1245064000000.000000,7152682000000.000000,21713346000000.000000,,932534000000.000000,9703937000000.000000,21062159000000.000000,186507000000.000000,20875652000000.000000,21062159000000.000000,2428943000000.000000,1521325000000.000000,35648898000000.000000,57362244000000.000000,3730135136.000000
12M 2014,,,10059803000000.000000,,13112589000000.000000,13032934000000.000000,79655000000.000000,13112589000000.000000,474086000000.000000,404785000000.000000,69301000000.000000,474086000000.000000,,,7770086000000.000000,,,,,2163235000000.000000,33579799000000.000000,,,,,,,,,,447289000000.000000,13625012000000.000000,9148551000000.000000,50899000000.000000,364229000000.000000,1015071000000.000000,101533000000.000000,,,101533000000.000000,,,,1959648000000.000000,26712232000000.000000,60292031000000.000000,,,16297816000000.000000,23209000000.000000,,11822385000000.000000,143020000000.000000,11965405000000.000000,,560529000000.000000,98503000000.000000,659032000000.000000,,757504000000.000000,757504000000.000000,1008030000000.000000,,744729000000.000000,430523000000.000000,80232000000.000000,,,1255484000000.000000,3061000000.000000,,626091000000.000000,16297816000000.000000,5417481000000.000000,,1945110000000.000000,,734738000000.000000,583874000000.000000,,,1318612000000.000000,790210000000.000000,,1363549000000.000000,5417481000000.000000,21715297000000.000000,,932534000000.000000,9703937000000.000000,24420272000000.000000,186507000000.000000,24233765000000.000000,24420272000000.000000,1916521000000.000000,1603470000000.000000,38576734000000.000000,60292031000000.000000,3730135136.000000
12M 2015,,,15413210000000.000000,,11479711000000.000000,11391542000000.000000,88169000000.000000,11479711000000.000000,689913000000.000000,462558000000.000000,227355000000.000000,689913000000.000000,,,8328331000000.000000,312301000000.000000,300720000000.000000,11581000000.000000,312301000000.000000,3036242000000.000000,39259708000000.000000,,,,,,,,,,498712000000.000000,12659736000000.000000,4858944000000.000000,52746000000.000000,376843000000.000000,1150628000000.000000,89250000000.000000,,,89250000000.000000,439767000000.000000,,,2329065000000.000000,22455691000000.000000,61715399000000.000000,,,18280285000000.000000,23750000000.000000,,13234357000000.000000,172735000000.000000,13407092000000.000000,,393767000000.000000,86111000000.000000,479878000000.000000,,896732000000.000000,896732000000.000000,1368316000000.000000,,586288000000.000000,401903000000.000000,123954000000.000000,,,1112145000000.000000,,,992372000000.000000,18280285000000.000000,4184789000000.000000,,1028533000000.000000,,228480000000.000000,862836000000.000000,56147000000.000000,,1147463000000.000000,305696000000.000000,,1703097000000.000000,4184789000000.000000,22465074000000.000000,,932534000000.000000,9703937000000.000000,25247633000000.000000,186507000000.000000,25061126000000.000000,25247633000000.000000,1330603000000.000000,2035618000000.000000,39250325000000.000000,61715399000000.000000,3730135136.000000
12M 2016,,,19460864000000.000000,,11041513000000.000000,10841276000000.000000,200237000000.000000,11041513000000.000000,1072998000000.000000,779470000000.000000,293528000000.000000,1072998000000.000000,,,7108044000000.000000,368061000000.000000,343348000000.000000,24713000000.000000,368061000000.000000,3145843000000.000000,42197323000000.000000,,480324000000.000000,,,480324000000.000000,,,,,706265000000.000000,12072399000000.000000,4612741000000.000000,121680000000.000000,409278000000.000000,1000717000000.000000,437474000000.000000,221352000000.000000,216122000000.000000,437474000000.000000,439767000000.000000,,,1513261000000.000000,21793906000000.000000,63991229000000.000000,,,18355948000000.000000,304397000000.000000,,14018234000000.000000,101238000000.000000,14119472000000.000000,,232140000000.000000,253069000000.000000,485209000000.000000,,243967000000.000000,243967000000.000000,1305414000000.000000,,,687959000000.000000,35714000000.000000,,,723673000000.000000,,,1173816000000.000000,18355948000000.000000,3013338000000.000000,,980288000000.000000,,,64891000000.000000,20327000000.000000,,85218000000.000000,118825000000.000000,230355000000.000000,1598652000000.000000,3013338000000.000000,21369286000000.000000,,932534000000.000000,9703937000000.000000,28201882000000.000000,186507000000.000000,28015375000000.000000,28201882000000.000000,1761888000000.000000,2021702000000.000000,42621943000000.000000,63991229000000.000000,3730135136.000000
12M 2017,,,20831489000000.000000,,16555282000000.000000,16297531000000.000000,257751000000.000000,16555282000000.000000,1632361000000.000000,942539000000.000000,689822000000.000000,1632361000000.000000,,,7854913000000.000000,344763000000.000000,344763000000.000000,,344763000000.000000,3983392000000.000000,51202200000000.000000,,69001000000.000000,,,69001000000.000000,,,,,875297000000.000000,16374852000000.000000,5876638000000.000000,151961000000.000000,891966000000.000000,1428167000000.000000,985790000000.000000,365760000000.000000,620030000000.000000,985790000000.000000,439767000000.000000,,,3966454000000.000000,31059893000000.000000,82262093000000.000000,,,28376562000000.000000,1192573000000.000000,,20113141000000.000000,126108000000.000000,20239249000000.000000,,629911000000.000000,240866000000.000000,870777000000.000000,,1391815000000.000000,1391815000000.000000,2431218000000.000000,,632240000000.000000,51350000000.000000,39846000000.000000,,,723436000000.000000,,,1527494000000.000000,28376562000000.000000,6347606000000.000000,,1442159000000.000000,,2709600000000.000000,14849000000.000000,38669000000.000000,,2763118000000.000000,120308000000.000000,,2022021000000.000000,6347606000000.000000,34724168000000.000000,,932534000000.000000,9703937000000.000000,32973767000000.000000,186507000000.000000,32787260000000.000000,32973767000000.000000,2175465000000.000000,1752222000000.000000,47537925000000.000000,82262093000000.000000,3730135136.000000
