Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Penerimaan Bunga,Pengembalian Dari Kelebihan Pembayaran Pajak Penghasilan Badan,Pengembalian Dari Kelebihan Pembayaran Pajak Lain-Lain,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Akuisisi Entitas Anak,Akuisisi Investasi,Penambahan Investasi Pada Aentitas Asosiasi Dan Ventura Bersama,Penambahan Investasi Jangka Panjang,Penerimaan Dari Penjualan Aset Tetap,Pembelian Investasi Dimiliki Hingga Jatuh Tempo,Penerimaan Dari Investasi Dimiliki Hingga Jatuh Tempo,Penambahan Properti Pertambangan,Pembayaran Aset Tambang Berproduksi,Penerimaan Deviden,Penerimaan Dari Pelepasan Investasi Pada Entitas Anak,Pembelian Saham Entitas Asosiasi,Pembayaran Beban Tangguhan,Pembayaran Liabilitas Keuangan Jangka Panjang Lain-Lain,Penerimaan Dari Pelepasan Saham Entitas Pengendalian Bersama,Pembayaran Beban Eksplorasi Dan Pengembangan Tangguhan,Penambahan Investasi Pada Aset Keuangan Tersedia Untuk Dijual,Penambahan Investasi Pada Entitas Asosiasi,Uang Muka Investasi,Pemberian Pinjaman Untuk Fasilitas Kredit,Penerimaan Dari Pembayaran Atas Fasilitas Kredit,Pemberian Pinjaman Kepada Pihak Ketiga,Penerimaan Uang Muka Pembelian Entitas Anak,Pembayaran Atas Sisa Harga Perolehan Entitas Anak,Penjualan Entitas Anak,Penambahan Pinjaman Kepada Pihak Berelasi,Penambahan Pinjaman Kepada Pihak Ketiga,Penerimaan Dari Pinjaman Kepada Pihak Berelasi,Penerimaan Dari Pinjaman Kepada Pihak Ketiga,Uang Muka Perolehan Saham,Penambahan Aset Tidak Berwujud,Penambahan (Pengurangan) Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Penurunan)/Kenaikan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Penurunan/(Kenaikan) Piutang Dari Pihak Berelasi,Penurunan,Kenaikan,Total Penurunan/(Kenaikan) Piutang Dari Pihak Berelasi,(Pembayaran)/Penerimaan Utang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Penerimaan,Pembayaran,Total (Pembayaran)/Penerimaan Utang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Pokok Sewa Pembiayaan,(Pembayaran)/Penerimaan Pinjaman-Pinjaman Lain,Penerimaan,Pembayaran,Total (Pembayaran)/Penerimaan Pinjaman-Pinjaman Lain,Akuisisi Saham Non-Pengendali,Uang Muka Akuisisi Saham Non-Pengendali,Penambahan Saham Non-Pengendali,Penerimaan Dari Penerbitan Saham,Pembayaran Biaya Perolehan Pinjaman,Pembayaran Dividen Diatribusikan Kepada:,Pemilik Entitas Induk,Kepentingan Non Pengendali,Total Pembayaran Dividen Diatribusikan Kepada:,Pembayaran Dividen Oleh Anak Perusahaan Kepada Pemegang Saham Minoritas,Penerimaan Dari Transaksi Jual Dan Sewa Kembali,Pembayaran Untuk Pembelian Saham Tresuri,Penambahan Modal Dari Kepentingan Nonpengendali,Penerimaan Dari Pelepasan Kepentingan Pada Entitas Anak,Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,4253895000000.000000,28287730000000.000000,-23156750000000.000000,,,-23156750000000.000000,-949812000000.000000,-311987000000.000000,93380000000.000000,291334000000.000000,,,4253895000000.000000,-4951114000000.000000,-3505146000000.000000,,,,,,,75615000000.000000,,,-1525335000000.000000,,3752000000.000000,,,,,,,,,,,,,,,,,,,,,,,-4951114000000.000000,2852523000000.000000,-86964000000.000000,60356000000.000000,,,60356000000.000000,6211616000000.000000,-4701606000000.000000,,,-2597000000.000000,-2597000000.000000,,1914000000.000000,,1914000000.000000,-633305000000.000000,-739165000000.000000,,,-739165000000.000000,,,,3526127000000.000000,-16441000000.000000,-760456000000.000000,,,-760456000000.000000,-6956000000.000000,,,,,,,2852523000000.000000,2155304000000.000000,1036406000000.000000,133232000000.000000,,3324942000000.000000
12M 2009,5101022000000.000000,28084400000000.000000,-21190417000000.000000,,,-21190417000000.000000,-1783261000000.000000,-197635000000.000000,99699000000.000000,88236000000.000000,,,5101022000000.000000,-3060468000000.000000,-3148232000000.000000,,,,,,,71324000000.000000,,,-4500000000.000000,,6935000000.000000,14005000000.000000,,,,,,,,,,,,,,,,,,,,,,-3060468000000.000000,-2208471000000.000000,-6741000000.000000,-434351000000.000000,,,-434351000000.000000,1234400000000.000000,-1784529000000.000000,,,-16873000000.000000,-16873000000.000000,,28530000000.000000,,28530000000.000000,-362732000000.000000,314249000000.000000,,,314249000000.000000,,,,,-5135000000.000000,-1165300000000.000000,,,-1165300000000.000000,-9989000000.000000,,,,,,,-2208471000000.000000,-167917000000.000000,3324942000000.000000,-387838000000.000000,,2769187000000.000000
12M 2010,2423881000000.000000,36536624000000.000000,-31753560000000.000000,,,-31753560000000.000000,-2279855000000.000000,-164590000000.000000,66909000000.000000,18353000000.000000,,,2423881000000.000000,-3629170000000.000000,-3223570000000.000000,,,,,,,46535000000.000000,,,-134119000000.000000,,23550000000.000000,31202000000.000000,,,,,,,,,,,,,,,,,,,-372768000000.000000,,,-3629170000000.000000,-90100000000.000000,-7806000000.000000,189519000000.000000,,,189519000000.000000,4128303000000.000000,-2358590000000.000000,,,-21004000000.000000,-21004000000.000000,-1669000000.000000,,,-1669000000.000000,-329531000000.000000,-25176000000.000000,,,-25176000000.000000,,,,,-34918000000.000000,-1629228000000.000000,,,-1629228000000.000000,,,,,,,,-90100000000.000000,-1295389000000.000000,2769187000000.000000,-130578000000.000000,,1343220000000.000000
12M 2011,10440274000000.000000,50488595000000.000000,-38916528000000.000000,,,-38916528000000.000000,-1908844000000.000000,-269163000000.000000,181242000000.000000,864972000000.000000,,,10440274000000.000000,-7664971000000.000000,-5067417000000.000000,,,-1658075000000.000000,,,,71316000000.000000,,,-190654000000.000000,,17939000000.000000,,-203320000000.000000,,,,,,,,,,,,,,,,,,-634760000000.000000,,,-7664971000000.000000,2832468000000.000000,-2504000000.000000,,255457000000.000000,-442494000000.000000,-187037000000.000000,2332773000000.000000,-3176344000000.000000,,51883000000.000000,-39150000000.000000,12733000000.000000,,153246000000.000000,-71076000000.000000,82170000000.000000,-358639000000.000000,,378046000000.000000,-547003000000.000000,-168957000000.000000,,,,6023188000000.000000,-27701000000.000000,-1697214000000.000000,,,-1697214000000.000000,,,,,,,,2832468000000.000000,5607771000000.000000,1343220000000.000000,184395000000.000000,,7135386000000.000000
12M 2012,6306434000000.000000,55858979000000.000000,,-44164329000000.000000,-3325401000000.000000,-47489730000000.000000,-2223245000000.000000,-280764000000.000000,230019000000.000000,211175000000.000000,,,6306434000000.000000,-6122135000000.000000,-5249873000000.000000,,,-855800000000.000000,,,,241992000000.000000,-300000000000.000000,,,,28335000000.000000,13456000000.000000,-245000000.000000,,,,,,,,,,,,,,,,,,,,,-6122135000000.000000,-3469953000000.000000,-3361000000.000000,,196786000000.000000,-185820000000.000000,10966000000.000000,3636575000000.000000,-3478764000000.000000,,,,,,,,,-556196000000.000000,,,-330227000000.000000,-330227000000.000000,,-231840000000.000000,,,-53262000000.000000,,-2461889000000.000000,-1955000000.000000,-2463844000000.000000,,,,,,,,-3469953000000.000000,-3285654000000.000000,7135386000000.000000,145533000000.000000,,3995265000000.000000
12M 2013,12219782000000.000000,51317141000000.000000,,-32464666000000.000000,-4212803000000.000000,-36677469000000.000000,-2554426000000.000000,-208722000000.000000,293390000000.000000,49868000000.000000,,,12219782000000.000000,-3497071000000.000000,-2984854000000.000000,,-181370000000.000000,,,,,184320000000.000000,-600000000000.000000,100000000000.000000,-54098000000.000000,,38931000000.000000,,,,,,,,,,,,,,,,,,,,,,,-3497071000000.000000,-5308775000000.000000,-49763000000.000000,,2253313000000.000000,-4026231000000.000000,-1772918000000.000000,,,,7500000000.000000,,7500000000.000000,,,,,-592265000000.000000,-166164000000.000000,,,-166164000000.000000,-543317000000.000000,,58221000000.000000,,-75671000000.000000,,-2174341000000.000000,-57000000.000000,-2174398000000.000000,,,,,,,,-5308775000000.000000,3413936000000.000000,3995265000000.000000,526669000000.000000,,7935870000000.000000
12M 2014,9364120000000.000000,51987511000000.000000,,-35631677000000.000000,-4870637000000.000000,-40502314000000.000000,-2594766000000.000000,-234994000000.000000,457946000000.000000,250737000000.000000,,,9364120000000.000000,-3482345000000.000000,-2893571000000.000000,,-169763000000.000000,,,,,229707000000.000000,-1000000000000.000000,300000000000.000000,,,57310000000.000000,,-1400000000.000000,,-4873000000.000000,245000000.000000,,,,,,,,,,,,,,,,,,-3482345000000.000000,-3764374000000.000000,-162581000000.000000,,259307000000.000000,-1236947000000.000000,-977640000000.000000,,,,,,,,,,,-482905000000.000000,,,-105257000000.000000,-105257000000.000000,,,,,-40943000000.000000,,-1995048000000.000000,,-1995048000000.000000,,,,,,,,-3764374000000.000000,2117401000000.000000,7935870000000.000000,6532000000.000000,,10059803000000.000000
12M 2015,12039161000000.000000,51633164000000.000000,,-31467685000000.000000,-5786816000000.000000,-37254501000000.000000,-2782188000000.000000,-332553000000.000000,398611000000.000000,158973000000.000000,217655000000.000000,,12039161000000.000000,-3806612000000.000000,-2358328000000.000000,,-238756000000.000000,-798334000000.000000,,,,127768000000.000000,-1100000000000.000000,550000000000.000000,,,57669000000.000000,,-3255000000.000000,,,,-43376000000.000000,,,,,,,,,,,,,,,,,-3806612000000.000000,-3789232000000.000000,-14700000000.000000,,233892000000.000000,-1264419000000.000000,-1030527000000.000000,,,,,,,,,,,-477569000000.000000,,191446000000.000000,-96011000000.000000,95435000000.000000,-2017000000.000000,,17692000000.000000,,,,-2968272000000.000000,-19904000000.000000,-2988176000000.000000,,610630000000.000000,,,,,,-3789232000000.000000,4443317000000.000000,10059803000000.000000,910090000000.000000,,15413210000000.000000
12M 2016,10005397000000.000000,45797260000000.000000,,-28515263000000.000000,-5558443000000.000000,-34073706000000.000000,-2028487000000.000000,-717702000000.000000,590864000000.000000,129267000000.000000,307901000000.000000,,10005397000000.000000,-2485056000000.000000,-2522128000000.000000,,-68812000000.000000,,,,,139924000000.000000,,800000000000.000000,,,70222000000.000000,,-225602000000.000000,,-30723000000.000000,46935000000.000000,-90904000000.000000,,,,,,,-154224000000.000000,,,-242436000000.000000,-246237000000.000000,20671000000.000000,18258000000.000000,,,,-2485056000000.000000,-3027686000000.000000,,,1038319000000.000000,-1538918000000.000000,-500599000000.000000,,,,,,,,,,,-505558000000.000000,,,-124060000000.000000,-124060000000.000000,,,297722000000.000000,,,,-2173991000000.000000,-21200000000.000000,-2195191000000.000000,,,,,,,,-3027686000000.000000,4492655000000.000000,15413210000000.000000,-445001000000.000000,,19460864000000.000000
12M 2017,11951265000000.000000,59720647000000.000000,,-39447867000000.000000,-6631262000000.000000,-46079129000000.000000,-2033517000000.000000,-1071080000000.000000,1010926000000.000000,193633000000.000000,209785000000.000000,,11951265000000.000000,-10951214000000.000000,-6496263000000.000000,,-87720000000.000000,-1125152000000.000000,,,,87344000000.000000,,850000000000.000000,,,84814000000.000000,,-570705000000.000000,,,,-89580000000.000000,-21980000000.000000,,,,,,,,,-827333000000.000000,-487893000000.000000,146388000000.000000,112267000000.000000,,,-2525401000000.000000,-10951214000000.000000,300175000000.000000,,,4321246000000.000000,-817213000000.000000,3504033000000.000000,,,,,,,,,,,-683036000000.000000,,61936000000.000000,-39462000000.000000,22474000000.000000,,,153000000.000000,,,,-2517058000000.000000,-26391000000.000000,-2543449000000.000000,,,,,,,,300175000000.000000,1300226000000.000000,19460864000000.000000,70399000000.000000,,20831489000000.000000
