Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"4,254 B","(5,030 B)",(777 B),0.00
12M 2009,"5,101 B","(3,153 B)","1,948 B",585.62
12M 2010,"2,424 B","(3,358 B)",(934 B),688.26
12M 2011,"10,440 B","(5,258 B)","5,182 B",1389.28
12M 2012,"6,306 B","(5,250 B)","1,057 B",283.25
12M 2013,"12,220 B","(3,220 B)","8,999 B",0.00
12M 2014,"9,364 B","(3,063 B)","6,301 B",1689.16
12M 2015,"12,039 B","(2,597 B)","9,442 B",2531.30
12M 2016,"10,005 B","(2,591 B)","7,414 B",1987.72
12M 2017,"11,951 B","(6,584 B)","5,367 B",1438.90
12M 2018,"18,960 B","(10,328 B)","8,631 B",0.00
12M 2019,"9,436 B","(9,221 B)",215 B,57.55
12M 2020,"18,557 B","(2,881 B)","15,676 B",0.00
12M 2021,"23,285 B","(3,048 B)","20,237 B",0.00
12M 2022,"32,892 B","(8,454 B)","24,438 B",8817.80
12M 2023,"26,347 B","(18,488 B)","7,859 B",0.00
12M 2024,"30,045 B","(12,212 B)","17,833 B",8054.63
