Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,27903196000000.000000,-22403992000000.000000,5499204000000.000000,-1340541000000.000000,-279941000000.000000,-1060600000000.000000,-1340541000000.000000,4158663000000.000000,-306716000000.000000,93380000000.000000,-283117000000.000000,-234174000000.000000,68064000000.000000,5542000000.000000,,,43589000000.000000,-306716000000.000000,3851947000000.000000,-1166512000000.000000,2685435000000.000000,-24693000000.000000,2660742000000.000000,,,2660742000000.000000,2685435000000.000000,-24693000000.000000,2660742000000.000000,,,,
12M 2009,29241883000000.000000,-22570824000000.000000,6671059000000.000000,-1502315000000.000000,-272315000000.000000,-1230000000000.000000,-1502315000000.000000,5168744000000.000000,275494000000.000000,99699000000.000000,-188467000000.000000,283105000000.000000,48996000000.000000,9104000000.000000,,,23057000000.000000,275494000000.000000,5444238000000.000000,-1594543000000.000000,3849695000000.000000,-32154000000.000000,3817541000000.000000,,,3817541000000.000000,3849695000000.000000,-32154000000.000000,3817541000000.000000,,,,
12M 2010,37323872000000.000000,-30528174000000.000000,6795698000000.000000,-1633177000000.000000,-358470000000.000000,-1274707000000.000000,-1633177000000.000000,5162521000000.000000,-101261000000.000000,66941000000.000000,-207141000000.000000,22242000000.000000,37312000000.000000,22591000000.000000,,,-43206000000.000000,-101261000000.000000,5061260000000.000000,-1186745000000.000000,3874515000000.000000,-1584000000.000000,3872931000000.000000,,,3872931000000.000000,3874515000000.000000,-1584000000.000000,3872931000000.000000,,,,
12M 2011,55052562000000.000000,-44859041000000.000000,10193521000000.000000,-2578423000000.000000,-1863644000000.000000,-714779000000.000000,-2578423000000.000000,7615098000000.000000,169479000000.000000,228843000000.000000,-267646000000.000000,120010000000.000000,66665000000.000000,27563000000.000000,,,-5956000000.000000,169479000000.000000,7784577000000.000000,-1885071000000.000000,5899506000000.000000,,5899506000000.000000,-36035000000.000000,5863471000000.000000,5899506000000.000000,5900908000000.000000,-1402000000.000000,5899506000000.000000,5863471000000.000000,5858137000000.000000,5334000000.000000,5863471000000.000000
12M 2012,55953915000000.000000,-45432916000000.000000,10520999000000.000000,-2954654000000.000000,-822802000000.000000,-2131852000000.000000,-2954654000000.000000,7566345000000.000000,-119590000000.000000,230019000000.000000,-289123000000.000000,,,50942000000.000000,,,-111428000000.000000,-119590000000.000000,7446755000000.000000,-1693413000000.000000,5753342000000.000000,,5753342000000.000000,106846000000.000000,5860188000000.000000,5753342000000.000000,5779675000000.000000,-26333000000.000000,5753342000000.000000,5860188000000.000000,5777296000000.000000,82892000000.000000,5860188000000.000000
12M 2013,51012385000000.000000,-41495567000000.000000,9516818000000.000000,-2775666000000.000000,-781009000000.000000,-1994657000000.000000,-2775666000000.000000,6741152000000.000000,-153815000000.000000,270451000000.000000,-287492000000.000000,,,,63693000000.000000,,-200467000000.000000,-153815000000.000000,6587337000000.000000,-1788559000000.000000,4798778000000.000000,,4798778000000.000000,1455696000000.000000,6254474000000.000000,4798778000000.000000,4833699000000.000000,-34921000000.000000,4798778000000.000000,6254474000000.000000,6065925000000.000000,188549000000.000000,6254474000000.000000
12M 2014,53141768000000.000000,-41071359000000.000000,12070409000000.000000,-3204442000000.000000,-649200000000.000000,-2555242000000.000000,-3204442000000.000000,8865967000000.000000,-2244109000000.000000,432086000000.000000,-277755000000.000000,,,,55016000000.000000,,-2453456000000.000000,-2244109000000.000000,6621858000000.000000,-1781888000000.000000,4839970000000.000000,,4839970000000.000000,83488000000.000000,4923458000000.000000,4839970000000.000000,5369621000000.000000,-529651000000.000000,4839970000000.000000,4923458000000.000000,5435880000000.000000,-512422000000.000000,4923458000000.000000
12M 2015,49347479000000.000000,-37645186000000.000000,11702293000000.000000,-3115961000000.000000,-557949000000.000000,-2558012000000.000000,-3115961000000.000000,8586332000000.000000,-4393586000000.000000,396017000000.000000,-323654000000.000000,,,,87460000000.000000,,-4553409000000.000000,-4393586000000.000000,4192746000000.000000,-1400307000000.000000,2792439000000.000000,,2792439000000.000000,519375000000.000000,3311814000000.000000,2792439000000.000000,3853491000000.000000,-1061052000000.000000,2792439000000.000000,3311814000000.000000,4275920000000.000000,-964106000000.000000,3311814000000.000000
12M 2016,45539238000000.000000,-35878274000000.000000,9660964000000.000000,-2954654000000.000000,-633763000000.000000,-2320891000000.000000,-2954654000000.000000,6706310000000.000000,23720000000.000000,682184000000.000000,-490726000000.000000,,,,65866000000.000000,,-233604000000.000000,23720000000.000000,6730030000000.000000,-1625553000000.000000,5104477000000.000000,,5104477000000.000000,90803000000.000000,5195280000000.000000,5104477000000.000000,5002225000000.000000,102252000000.000000,5104477000000.000000,5195280000000.000000,5115001000000.000000,80279000000.000000,5195280000000.000000
12M 2017,64559204000000.000000,-50075332000000.000000,14483872000000.000000,-3727410000000.000000,-1028852000000.000000,-2698558000000.000000,-3727410000000.000000,10756462000000.000000,-233805000000.000000,1016075000000.000000,-874451000000.000000,,,,170800000000.000000,,-546229000000.000000,-233805000000.000000,10522657000000.000000,-2849335000000.000000,7673322000000.000000,,7673322000000.000000,-373688000000.000000,7299634000000.000000,7673322000000.000000,7402966000000.000000,270356000000.000000,7673322000000.000000,7299634000000.000000,7020246000000.000000,279388000000.000000,7299634000000.000000
