Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,4381428.000000,-4169732.000000,211696.000000,515852.000000,-709282.000000,,1225134.000000,515852.000000,727548.000000,-3963.000000,,-3963.000000,,,-3963.000000,723585.000000,-80351.000000,643234.000000,-116386.000000,526848.000000,643234.000000,646888.000000,-3654.000000,643234.000000,526848.000000,531687.000000,-4839.000000,526848.000000
12M 2017,246858.000000,,246858.000000,-532625.000000,-153651.000000,,-378974.000000,-532625.000000,-285767.000000,-732.000000,,-732.000000,,,-732.000000,-286499.000000,,-286499.000000,8916.000000,-277583.000000,-286499.000000,-286494.000000,-5.000000,-286499.000000,-277583.000000,-281004.000000,3421.000000,-277583.000000
12M 2018,8547534405.000000,-6223729386.000000,2323805019.000000,-42501180206.000000,-6019254370.000000,-36481925836.000000,,-42501180206.000000,-40177375187.000000,-133398419160.000000,1551159571.000000,-1133980237.000000,-676447131.000000,-133139151363.000000,-133398419160.000000,-173575794347.000000,,-173575794347.000000,415960000.000000,-173159834347.000000,-173575794347.000000,-173125275292.000000,-450519055.000000,-173575794347.000000,-173159834347.000000,-172709315292.000000,-450519055.000000,-173159834347.000000
12M 2019,4353303385.000000,-3269182144.000000,1084121241.000000,-44065596382.000000,-4974522872.000000,-39025935711.000000,-65137799.000000,-44065596382.000000,-42981475141.000000,8079007874.000000,1090112574.000000,-1165178535.000000,8372096350.000000,-218022515.000000,8079007874.000000,-34902467267.000000,,-34902467267.000000,391622000.000000,-34510845267.000000,-34902467267.000000,-34281120277.000000,-621346990.000000,-34902467267.000000,-34510845267.000000,-33889498277.000000,-621346990.000000,-34510845267.000000
12M 2020,5176577899.000000,-3905295874.000000,1271282025.000000,-23491360776.000000,-2717791087.000000,-20773337259.000000,-232430.000000,-23491360776.000000,-22220078751.000000,-10217296873.000000,1053165122.000000,-1252381032.000000,-9807447939.000000,-210633024.000000,-10217296873.000000,-32437375624.000000,,-32437375624.000000,435137000.000000,-32002238624.000000,-32437375624.000000,-31858894124.000000,-578481500.000000,-32437375624.000000,-32002238624.000000,-31423757124.000000,-578481500.000000,-32002238624.000000
12M 2021,4829300202.000000,-3600247100.000000,1229053102.000000,-18453217317.000000,-4511078299.000000,-13942140478.000000,1460.000000,-18453217317.000000,-17224164215.000000,-794814715.000000,742489390.000000,-897607168.000000,-491199059.000000,-148497878.000000,-794814715.000000,-18018978930.000000,,-18018978930.000000,160936000.000000,-17858042930.000000,-18018978930.000000,-17753997123.000000,-264981807.000000,-18018978930.000000,-17858042930.000000,-17593061123.000000,-264981807.000000,-17858042930.000000
12M 2022,5395684820.000000,-4006189226.000000,1389495594.000000,-25441293096.000000,-6929498000.000000,-18512068200.000000,273104.000000,-25441293096.000000,-24051797502.000000,-7739552093.000000,518906092.000000,-749540817.000000,-7405136150.000000,-103781218.000000,-7739552093.000000,-31791349595.000000,,-31791349595.000000,329398000.000000,-31461951595.000000,-31791349595.000000,-31336302938.000000,-455046657.000000,-31791349595.000000,-31461951595.000000,-31006904938.000000,-455046657.000000,-31461951595.000000
12M 2023,3989576891.0,-3558688367.0,430888524.0,-50090881051.0,-25811103253.0,-24297273470.0,17495672.0,-50090881051.0,-49659992527.0,-1587749813.0,859269589.0,-1227551820.0,-1047613664.0,-171853918.0,-1587749813.0,-51247742340.0,-4696383233.0,-55944125573.0,117861000.0,-55826264573.0,-55944125573.0,-54912182465.0,-1031943108.0,-55944125573.0,-55826264573.0,-54794321465.0,-1031943108.0,-55826264573.0
