Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Kontraktor, Pemasok Dan Pihak Ketiga Lainnya",Pembayaran Atas Beban Operasional,Pembayaran Pada Karyawan,Penerimaan Bunga,Penerimaan Dari Penghasilan Keuangan,Pembayaran Untuk Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Piutang,Penerimaan Dari Pelepasan Aset Tetap,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan Dari Penjualan Investasi Saham,Kenaikan Investasi Jangka Pendek,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Penambahan Uang Muka Pembelian Aset Tetap,Penambahan Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Pengembalian Aset Tidak Lancar Lainnya,Pengembalian Uang Muka Pembelian Aset Tetap,Kas Yang Diperoleh Dari Akuisisi Terbalik,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Transaksi Pihak Ketiga,Penerimaan Dari Transaksi Pihak Berelasi,Pembayaran Untuk Transaksi Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Akhir Entitas Anak Yang Dijual,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,4753883.000000,5134744.000000,-63441.000000,,-318578.000000,1158.000000,,,4753883.000000,474642.000000,59507.000000,28896.000000,,386239.000000,,,,,,,,,,,474642.000000,-103160.000000,-3160.000000,,,,,-100000.000000,-103160.000000,5125365.000000,-107976.000000,574359.000000,,5591748.000000
12M 2017,-5533084.000000,129679.000000,-5570196.000000,,-92647.000000,80.000000,,,-5533084.000000,7426.000000,,,,7426.000000,,,,,,,,,,,7426.000000,-47550.000000,,,,,,-47550.000000,-47550.000000,-5573208.000000,-7768.000000,84993.000000,,-5495983.000000
12M 2018,-16788202523.000000,8547534405.000000,-25442684348.000000,,,,1240927657.000000,-1133980237.000000,-16788202523.000000,-42241636685.000000,,3025695.000000,,,,,-117221343191.000000,,-6470195704.000000,,-23596998557.000000,,58432883181.000000,46610991891.000000,-42241636685.000000,95108757309.000000,,,16137258066.000000,,81814899243.000000,-2843400000.000000,95108757309.000000,36078918101.000000,,2293675568.000000,7587252.000000,38380180921.000000
12M 2019,-15117603971.000000,4353303385.000000,-19177818880.000000,,,,872090059.000000,-1165178535.000000,-15117603971.000000,-37437381594.000000,,,,,,,-18239664338.000000,,,-19197717256.000000,,,,,-37437381594.000000,68267213526.000000,,,-18456162888.000000,,110185127172.000000,-23461750758.000000,68267213526.000000,15712227961.000000,,9831614842.000000,-33894819.000000,25509947984.000000
12M 2020,-37140960616.000000,5176577899.000000,-42127406278.000000,,,,842532098.000000,-1032664335.000000,-37140960616.000000,-31272777821.000000,,,,,,,-27772777821.000000,,-3500000000.000000,,,,,,-31272777821.000000,42347955989.000000,,-1358000000.000000,18167296199.000000,,38469987151.000000,-12931327361.000000,42347955989.000000,-26065782448.000000,,2560360586.000000,42953718.000000,-23462468144.000000
12M 2021,-12251320742.000000,4829300202.000000,-16922599665.000000,,,,593991512.000000,-752012791.000000,-12251320742.000000,-39172536170.000000,,,,,,,-23964510698.000000,,-15208025472.000000,,,,,,-39172536170.000000,54684361748.000000,,,1658655539.000000,,69666186488.000000,-16640480279.000000,54684361748.000000,3260504836.000000,,1742338469.000000,-10193383.000000,4992649922.000000
12M 2022,-14891965821.000000,5395684820.000000,-20102171700.000000,,,,415124874.000000,-600603815.000000,-14891965821.000000,-39779974658.000000,,,,,,,-39779974658.000000,,,,,,,,-39779974658.000000,65532633835.000000,,-2536000000.000000,-154225497.000000,,70810448170.000000,-2587588838.000000,65532633835.000000,10860693356.000000,,1813077887.000000,680395186.000000,13354166429.000000
12M 2023,-16696300355.000000,2935786891.000000,-19167128424.000000,,,,687415671.000000,-1152374493.000000,-16696300355.000000,-16534358055.000000,,,,,,,-16534358055.000000,,,,,,,,-16534358055.000000,39282910293.000000,,,238336913.000000,,39709972600.000000,-665399220.000000,39282910293.000000,6052251883.000000,,14289209705.000000,3816045.000000,20345277633.000000
