Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Beban Usaha Lainnya,Pembayaran Kepada Karyawan,Pembayaran Bunga,Pembayaran Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Kas Lainnya,Aset Hak Guna,Penambahan Properti Investasi,Penambahan Aset Tidak Berwujud,Perolehan Aset Lain-Lain,Penambahan Piutang Pihak Berelasi-Non Usaha,Penerimaan Piutang Pihak Berelasi Non Usaha,Akuisisi Entitas Anak,Perolehan Aset Keuangan Tersedia Untuk Dijual,Uang Muka Pembelian Tanah,Investasi Pada Saham,Penerimaan Penjualan Investasi Saham,Penambahan Investasi Jangka Panjang Lainnya,Perolehan Portofolio Efek,Hasil Penjualan Portofolio Efek,Hasil Penjualan Aset Keuangan Yang Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor Lainnya,Pembayaran Atas Emisi Saham,Penambahan Setoran Modal Melalui Penawaran Umum Perdana,Uang Jaminan Pelanggan,Hutang Leasing Jangka Pendek,Penerimaan Dari Utang Lain-Lain,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan,Liabilitas Keuangan Lancar Lainnya,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-287142983.000000,10266171574.000000,-7356155513.000000,,-3147770138.000000,-49388906.000000,,,-287142983.000000,-5797277641.000000,-148236843.000000,,,,,-16194000.000000,,-915000000.000000,6965000000.000000,,-13212932090.000000,,,,,,,1530085292.000000,-5797277641.000000,3274076720.000000,3400000000.000000,,,,,,,-125923280.000000,,,,3274076720.000000,-2810343904.000000,,8358515593.000000,5548171689.000000
12M 2017,741835096.000000,9775671537.000000,-5220953765.000000,,-3778670280.000000,-34212396.000000,,,741835096.000000,-6185027802.000000,-203153275.000000,,,,-729856335.000000,,,,,-16000000000.000000,-15940919632.000000,,,,,,,26688901440.000000,-6185027802.000000,24531254808.000000,,,24672105690.000000,,,,,-140850882.000000,,,,24531254808.000000,19088062102.000000,,5548171689.000000,24636233791.000000
12M 2018,-67617083.000000,11223898518.000000,-2746266416.000000,,-8518074037.000000,-27175148.000000,,,-67617083.000000,3393555950.000000,-993718579.000000,120000000.000000,,,,,,,,,,,,,,-5550521630.000000,9817796159.000000,,3393555950.000000,-229653157.000000,,,-72105690.000000,,,,,-157547467.000000,,,,-229653157.000000,3096285710.000000,,24636233791.000000,27732519501.000000
12M 2019,-14364408150.000000,14809143399.000000,-3386903520.000000,,-25775616397.000000,,-11031632.000000,,-14364408150.000000,-2920844329.000000,-171749200.000000,,,,,,,,,,,,,,-1785000000.000000,-10597125783.000000,9633030654.000000,,-2920844329.000000,-71035131.000000,,,,,,,,-71035131.000000,,,,-71035131.000000,-17356287610.000000,,27732519501.000000,10376231891.000000
12M 2020,-8724500107.000000,3196713503.000000,-1998804298.000000,,-9860452210.000000,,-61957102.000000,,-8724500107.000000,420622937.000000,-63298110.000000,,,,,,,,,,,,,,,-137214578.000000,,621135625.000000,420622937.000000,-203091000.000000,,,,,,,-203091000.000000,,,,,-203091000.000000,-8506968170.000000,,10376231891.000000,1869263721.000000
12M 2021,-3485933539.000000,2997371366.000000,-1621387334.000000,,-4810941835.000000,,-50975736.000000,,-3485933539.000000,2163496026.000000,-118731185.000000,650000000.000000,,,,,,,,,,,,,,,997500000.000000,634727211.000000,2163496026.000000,-209183729.000000,,,,,,,-209183729.000000,,,,,-209183729.000000,-1531621242.000000,,1869263721.000000,337642479.000000
12M 2022,-679165229.000000,8779503936.000000,-2726792281.000000,,-6593109742.000000,,-138767142.000000,,-679165229.000000,1848402079.000000,-107708370.000000,,,,,,,,,,,,,,,,,1956110449.000000,1848402079.000000,-215459243.000000,,,,,,,-215459243.000000,,,,,-215459243.000000,953777607.000000,,337642479.000000,1291420086.000000
12M 2023,-290700388.000000,11784139021.000000,-4332589532.000000,,-7575707583.000000,,-166542294.000000,,-290700388.000000,-161681019.000000,-161681019.000000,,,,,,,,,,,,,,,,,,-161681019.000000,748076981.000000,,,,,,1000000000.000000,-251923019.000000,,,,,748076981.000000,295695574.000000,,1291420086.000000,1587115660.000000
12M 2024,162936684.000000,8428819662.000000,-3288485715.000000,,-4530352926.000000,,-447044337.000000,,162936684.000000,243754208.000000,-128245792.000000,372000000.000000,,,,,,,,,,,,,,,,,243754208.000000,-228580710.000000,,,,,,,-228580710.000000,,,,,-228580710.000000,178110182.000000,,1587115660.000000,1765225842.000000
