Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,60218777957.000000,,60218777957.000000,-44472252989.000000,-31147647347.000000,-13782083508.000000,457477866.000000,-44472252989.000000,15746524968.000000,-62412207.000000,1313149586.000000,-1375561793.000000,-62412207.000000,15684112761.000000,-3614752511.000000,,,,-3614752511.000000,12069360250.000000,,,12069360250.000000,,,,12069360250.000000,12069360250.000000,12069360250.000000,,12069360250.000000,12069360250.000000,12069360250.000000,,12069360250.000000
12M 2014,68340341800.000000,,68340341800.000000,-51846681649.000000,-35248058780.000000,-16665806826.000000,67183957.000000,-51846681649.000000,16493660151.000000,1214976687.000000,1351018467.000000,-136041780.000000,1214976687.000000,17708636838.000000,-4099116969.000000,,,,-4099116969.000000,13609519869.000000,,,13609519869.000000,,,,13609519869.000000,13609519869.000000,13609519869.000000,,13609519869.000000,13609519869.000000,13609519869.000000,,13609519869.000000
12M 2015,84504786568.000000,,84504786568.000000,-63281402561.000000,-42822326940.000000,-20945221900.000000,486146279.000000,-63281402561.000000,21223384007.000000,810480553.000000,847784351.000000,-37303798.000000,810480553.000000,22033864560.000000,-5563910214.000000,,,,-5563910214.000000,16469954346.000000,,,16469954346.000000,-848079750.000000,-848079750.000000,-848079750.000000,15621874596.000000,16469954346.000000,16469954346.000000,,16469954346.000000,15621874596.000000,15621874596.000000,,15621874596.000000
12M 2016,100148148695.000000,,100148148695.000000,-73244815778.000000,-50245940118.000000,-22967191281.000000,-31684379.000000,-73244815778.000000,26903332917.000000,628080005.000000,1015360138.000000,-387280133.000000,628080005.000000,27531412922.000000,-6624334085.000000,,,,-6624334085.000000,20907078837.000000,,,20907078837.000000,-301256250.000000,-301256250.000000,-301256250.000000,20605822587.000000,20907078837.000000,20907078837.000000,,20907078837.000000,20605822587.000000,20605822587.000000,,20605822587.000000
12M 2017,110932692817.000000,,110932692817.000000,-81055583650.000000,-56035085537.000000,-25040853183.000000,20355070.000000,-81055583650.000000,29877109167.000000,507269290.000000,1503996843.000000,-996727553.000000,507269290.000000,30384378457.000000,-7254857394.000000,,,,-7254857394.000000,23129521063.000000,,,23129521063.000000,-838149750.000000,-838149750.000000,-838149750.000000,22291371313.000000,23129521063.000000,23129521063.000000,,23129521063.000000,22291371313.000000,22291371313.000000,,22291371313.000000
12M 2018,121776463361.000000,,121776463361.000000,-88809022513.000000,-62440220692.000000,-26531667689.000000,162865868.000000,-88809022513.000000,32967440848.000000,1572013718.000000,2437505597.000000,-865491879.000000,1572013718.000000,34539454566.000000,-8029327765.000000,,,,-8029327765.000000,26510126801.000000,,,26510126801.000000,-152013750.000000,-152013750.000000,-152013750.000000,26358113051.000000,26510126801.000000,26510126801.000000,,26510126801.000000,26358113051.000000,26358113051.000000,,26358113051.000000
12M 2019,140122699920.000000,,140122699920.000000,-143651754.000000,-67687682026.000000,-33713462545.000000,101257492817.000000,-143651754.000000,139979048166.000000,1879142043.000000,2782636287.000000,-903494244.000000,1879142043.000000,141858190209.000000,-8411525362.000000,,,,-8411525362.000000,133446664847.000000,,,133446664847.000000,1048453500.000000,1048453500.000000,1048453500.000000,134495118347.000000,133446664847.000000,133446664847.000000,,133446664847.000000,134495118347.000000,134495118347.000000,,134495118347.000000
12M 2020,141832107191.000000,,141832107191.000000,-105500346948.000000,-66196164636.000000,-29161469719.000000,-10142712593.000000,-105500346948.000000,36331760243.000000,-15670280687.000000,6112855888.000000,-21783136575.000000,-15670280687.000000,20661479556.000000,-2486335736.000000,,,,-2486335736.000000,18175143820.000000,,,18175143820.000000,-826602400.000000,-826602400.000000,-826602400.000000,17348541420.000000,18175143820.000000,18175143820.000000,,18175143820.000000,17348541420.000000,17348541420.000000,,17348541420.000000
12M 2021,144516730115.000000,,144516730115.000000,-90386439527.000000,-67328776562.000000,-37976263583.000000,14918600618.000000,-90386439527.000000,54130290588.000000,-26560330061.000000,2029496598.000000,-28589826659.000000,-26560330061.000000,27569960527.000000,-2408766846.000000,,,,-2408766846.000000,25161193681.000000,,,25161193681.000000,,,,25161193681.000000,25161193681.000000,25161193681.000000,,25161193681.000000,25161193681.000000,25161193681.000000,,25161193681.000000
12M 2022,157645098806.000000,,157645098806.000000,-106056586376.000000,-72359977167.000000,-35221401572.000000,1524792363.000000,-106056586376.000000,51588512430.000000,-21533409821.000000,2708008992.000000,-24241418813.000000,-21533409821.000000,30055102609.000000,-6010841958.000000,,,,-6010841958.000000,24044260651.000000,,,24044260651.000000,71976060.000000,,71976060.000000,24116236711.000000,24044260651.000000,24044260651.000000,,24044260651.000000,24116236711.000000,24116236711.000000,,24116236711.000000
12M 2023,170310659015.000000,,170310659015.000000,-118691773549.000000,-88706902262.000000,-31612745940.000000,1627874653.000000,-118691773549.000000,51618885466.000000,-16492102538.000000,2540061817.000000,-19032164355.000000,-16492102538.000000,35126782928.000000,-6981267730.000000,,,,-6981267730.000000,28145515198.000000,,,28145515198.000000,-238548180.000000,,-238548180.000000,27906967018.000000,28145515198.000000,28145515198.000000,,28145515198.000000,27906967018.000000,27906967018.000000,,27906967018.000000
12M 2024,179847802573.000000,,179847802573.000000,-133197171516.000000,-100613240266.000000,-34632892091.000000,2048960841.000000,-133197171516.000000,46650631057.000000,-13959751531.000000,3977860478.000000,-17937612009.000000,-13959751531.000000,32690879526.000000,-6625129716.000000,,,,-6625129716.000000,26065749810.000000,,,26065749810.000000,119727660.000000,,119727660.000000,26185477470.000000,26065749810.000000,26065749810.000000,,26065749810.000000,26185477470.000000,26185477470.000000,,26185477470.000000
