Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tak Berwujud,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,25411987849.000000,11217221849.000000,267351654.000000,10949870195.000000,11217221849.000000,495378366.000000,2871965015.000000,39996553079.000000,,2124481778.000000,893144070.000000,112386594058.000000,222273644.000000,115626493550.000000,155623046629.000000,,,8682588741.000000,,,484339533.000000,,484339533.000000,635426624.000000,881159449.000000,,4336879635.000000,4336879635.000000,2344783500.000000,8682588741.000000,10361941194.000000,,5376336194.000000,5376336194.000000,,4985605000.000000,10361941194.000000,19044529935.000000,,75758100000.000000,24325992482.000000,36494424212.000000,100000000.000000,36394424212.000000,36494424212.000000,,,136578516694.000000,155623046629.000000,757581000.000000
12M 2014,,,16643578496.000000,9255751990.000000,1197917335.000000,8057834655.000000,9255751990.000000,503240236.000000,3564169013.000000,29966739735.000000,,2037289809.000000,854286450.000000,126979413640.000000,330625668.000000,130201615567.000000,160168355302.000000,,,5466488339.000000,,,913014161.000000,,913014161.000000,210216905.000000,973831255.000000,,,,3369426018.000000,5466488339.000000,5725960000.000000,,,,,5725960000.000000,5725960000.000000,11192448339.000000,,75758100000.000000,24325992482.000000,48891814481.000000,150000000.000000,48741814481.000000,48891814481.000000,,,148975906963.000000,160168355302.000000,757581000.000000
12M 2015,,,15451920049.000000,11611787364.000000,545252763.000000,11066534601.000000,11611787364.000000,383591993.000000,8207826670.000000,35655126076.000000,,1358420595.000000,815428830.000000,146599673520.000000,358039828.000000,149131562773.000000,184786688849.000000,,,13496973090.000000,,,5136693087.000000,,5136693087.000000,379619765.000000,1907345905.000000,,,,6073314333.000000,13496973090.000000,8784163000.000000,,,,,8784163000.000000,8784163000.000000,22281136090.000000,,75758100000.000000,24325992482.000000,62421460277.000000,200000000.000000,62221460277.000000,62421460277.000000,,,162505552759.000000,184786688849.000000,757581000.000000
12M 2016,,,22006565162.000000,11402239412.000000,652619003.000000,10749620409.000000,11402239412.000000,649623997.000000,5219696440.000000,39278125011.000000,,,776571450.000000,175066865093.000000,365959828.000000,176209396371.000000,215487521382.000000,,,21075986746.000000,,,9831762011.000000,,9831762011.000000,1395206127.000000,2516596240.000000,,1140000000.000000,1140000000.000000,6192422368.000000,21075986746.000000,12966837490.000000,,4180000000.000000,4180000000.000000,433019490.000000,8353818000.000000,12966837490.000000,34042824236.000000,,75758100000.000000,24325992482.000000,81360604664.000000,250000000.000000,81110604664.000000,81360604664.000000,,,181444697146.000000,215487521382.000000,757581000.000000
12M 2017,,,16681716698.000000,11731563907.000000,460947790.000000,11270616117.000000,11731563907.000000,806147852.000000,14523715081.000000,43743143538.000000,,,737714070.000000,199899529870.000000,342541218.000000,200979785158.000000,244722928696.000000,,,25932095443.000000,2850000000.000000,,6329625446.000000,,6329625446.000000,836817203.000000,3909765258.000000,,1800000000.000000,1800000000.000000,10205887536.000000,25932095443.000000,18191150134.000000,,5130000000.000000,5130000000.000000,2386242134.000000,10674908000.000000,18191150134.000000,44123245577.000000,,75758100000.000000,24325992482.000000,100515590637.000000,300000000.000000,100215590637.000000,100515590637.000000,,,200599683119.000000,244722928696.000000,757581000.000000
12M 2018,,,38321298072.000000,10236652622.000000,916776649.000000,9319875973.000000,10236652622.000000,1059401656.000000,4850960094.000000,54468312444.000000,,,698856690.000000,218310160923.000000,298430668.000000,219307448281.000000,273775760725.000000,,,30890778066.000000,2635933884.000000,,7549171398.000000,,7549171398.000000,1505347991.000000,4695496278.000000,,1800000000.000000,1800000000.000000,12704828515.000000,30890778066.000000,20556006399.000000,,3330000000.000000,3330000000.000000,4918568399.000000,12307438000.000000,20556006399.000000,51446784465.000000,,75758100000.000000,24325992482.000000,122244883778.000000,350000000.000000,121894883778.000000,122244883778.000000,,,222328976260.000000,273775760725.000000,757581000.000000
12M 2019,,,290923953348.000000,9667687298.000000,504901356.000000,9162785942.000000,9667687298.000000,528694264.000000,12139881652.000000,313260216562.000000,,,,108408848317.000000,233430668.000000,108642278985.000000,421902495547.000000,,,164962045619.000000,,,10439170518.000000,,10439170518.000000,28391140824.000000,11176733450.000000,,,,114955000827.000000,164962045619.000000,19995972761.000000,,,,3223064761.000000,16772908000.000000,19995972761.000000,184958018380.000000,,75758100000.000000,24325992482.000000,136860384685.000000,400000000.000000,136460384685.000000,136860384685.000000,,,236944477167.000000,421902495547.000000,757581000.000000
12M 2020,,,41721162522.000000,8476019966.000000,1120807303.000000,7355212663.000000,8476019966.000000,796926452.000000,8875746105.000000,59869855045.000000,,1240034283.000000,,266539636330.000000,13519642923.000000,281299313536.000000,341169168581.000000,,,43274642055.000000,,,8632821999.000000,,8632821999.000000,4343800879.000000,9241178772.000000,,,,21056840405.000000,43274642055.000000,183753992939.000000,,,,,183753992939.000000,183753992939.000000,227028634994.000000,,75758100000.000000,24325992482.000000,14056441105.000000,450000000.000000,13606441105.000000,14056441105.000000,,,114140533587.000000,341169168581.000000,757581000.000000
12M 2021,,,93609538270.000000,7161363387.000000,86525521.000000,7074837866.000000,7161363387.000000,790656223.000000,10193111326.000000,111754669206.000000,,3866969537.000000,,220103997686.000000,4491030339.000000,228461997562.000000,340216666768.000000,,,26836261982.000000,,,3108747505.000000,,3108747505.000000,2433616084.000000,4826437178.000000,,,,16467461215.000000,26836261982.000000,198322269518.000000,,,,,198322269518.000000,198322269518.000000,225158531500.000000,,75758100000.000000,24325992482.000000,14974042786.000000,500000000.000000,14474042786.000000,14974042786.000000,,,115058135268.000000,340216666768.000000,757581000.000000
12M 2022,,,113282774130.000000,8576741606.000000,765976514.000000,7810765092.000000,8576741606.000000,997619631.000000,9344873460.000000,132202008827.000000,,8320618099.000000,,222651361278.000000,243660299.000000,231215639676.000000,363417648503.000000,,,55613797039.000000,,,24418204896.000000,,24418204896.000000,3980056855.000000,6418309676.000000,,,,20797225612.000000,55613797039.000000,186053842485.000000,,,,,186053842485.000000,186053842485.000000,241667639524.000000,,75758100000.000000,24325992482.000000,21665916497.000000,550000000.000000,21115916497.000000,21665916497.000000,,,121750008979.000000,363417648503.000000,757581000.000000
