Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Lain-Lain,Pembayaran Kepada:,Pemasok Dan Pihak Ketiga,Karyawan,Kontraktor,Beban Penjualan,Total Pembayaran Kepada:,Pembayaran Bunga - Bersih,Pembayaran Pajak,Pembayaran Pajak Penghasilan,Penerimaan Dari Restitusi Pajak,Penerimaan Penghasilan Bunga,Kenaikan (Penurunan) Dana Dalam Pembatasan,Penerimaan Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Deposito,Penerimaan Dari Pihak Berelasi,Lain - Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham Dan Modal Disetor,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Lain-Lain,Pembayaran Pembiayaan Konsumen,Penerimaan Pembiayaan Konsumen,Kenaikan Utang Sewa Pembiayaan,Penerimaan Pinjaman Pihak Berelasi,Kenaikan Piutang Non-Usaha Pihak Berelasi,Pembayaran (Penerimaan) Utang Sewa Pembiayaan,Pembayaran Dari Pihak Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kenaikan Dana Dalam Pembatasan,Kas Dan Setara Kas Akhir Periode
12M 2008,8388345061.000000,49465003721.000000,,,-33031776235.000000,-1759183025.000000,,,-34790959260.000000,-6341143557.000000,-701293345.000000,,,,,756737502.000000,8388345061.000000,-836307754.000000,,-983711350.000000,,,,147403596.000000,-836307754.000000,-7289468912.000000,21203483934.000000,-18366566646.000000,,,,,,,,,-10126386200.000000,-7289468912.000000,,262568395.000000,858324497.000000,,1120892892.000000
12M 2009,24824672442.000000,66437327761.000000,,,-36724627886.000000,1508260000.000000,,,-35216367886.000000,-5773872685.000000,-1312726989.000000,,,,,690312241.000000,24824672442.000000,-36168200.000000,,-36168200.000000,,,,,-36168200.000000,-21187548363.000000,-3700.000000,-4282666887.000000,,,,,,,,,-16904877776.000000,-21187548363.000000,,3600955879.000000,1120892892.000000,,4721848771.000000
12M 2010,15498483793.000000,53753384719.000000,,,-35392856138.000000,-2016401238.000000,,,-37409257376.000000,-3647884584.000000,-121274534.000000,,,,,2923515568.000000,15498483793.000000,-11949000.000000,,-11949000.000000,,,,,-11949000.000000,-17368071977.000000,,-10343159934.000000,,,,,,,,,-7024912043.000000,-17368071977.000000,,-1881537184.000000,4721848772.000000,,2840311588.000000
12M 2011,4399876746.000000,31242705037.000000,,,-22942953361.000000,-2223131862.000000,,,-25166085223.000000,-4419759743.000000,-1044279128.000000,,,,,3787295803.000000,4399876746.000000,-722777500.000000,,-722777500.000000,,,,,-722777500.000000,910527667.000000,,-4256860229.000000,,,,,,,,,5167387896.000000,910527667.000000,,4587626913.000000,2840311588.000000,,7427938501.000000
12M 2012,3036496328.000000,39867090712.000000,,,-32461716918.000000,-3009013510.000000,,,-35470730428.000000,-2099948421.000000,-2044083337.000000,,,,,2784167802.000000,3036496328.000000,-275156000.000000,,-275156000.000000,,,,,-275156000.000000,-5182271106.000000,2180132500.000000,-13096178489.000000,,,,,,,,-106513468.000000,5840288351.000000,-5182271106.000000,,-2420930778.000000,7427938501.000000,,5007007723.000000
12M 2013,-6837858405.000000,35752452208.000000,,,-34927357600.000000,-2634382209.000000,,,-37561739809.000000,-4547976341.000000,-2060212712.000000,,,,-50762626.000000,1630380875.000000,-6837858405.000000,-703419000.000000,80000000.000000,-783419000.000000,,,,,-703419000.000000,9011380977.000000,,19355373126.000000,,,,,,,,31328779.000000,-10375320928.000000,9011380977.000000,,1470103572.000000,5007007723.000000,,6477111295.000000
12M 2014,-7138086935.000000,37667452701.000000,,,-31445395381.000000,-2786282370.000000,,,-34231677751.000000,-4794944724.000000,-6006447082.000000,,,,-532044276.000000,759574197.000000,-7138086935.000000,-39154849.000000,,-39154849.000000,,,,,-39154849.000000,6483106373.000000,,10624505059.000000,-3861389520.000000,,,,,,,-280009166.000000,,6483106373.000000,,-694135411.000000,5343362241.000000,,4649226830.000000
12M 2015,-4297033029.000000,23928641909.000000,,,-19517455279.000000,-3066169014.000000,,,-22583624293.000000,-5020220298.000000,-1981009629.000000,,583425332.000000,,,775753950.000000,-4297033029.000000,-25044000.000000,1500000.000000,-26544000.000000,,,,,-25044000.000000,1304020863.000000,,7500000000.000000,-6175212470.000000,,,,,,,-20766667.000000,,1304020863.000000,,-3018056166.000000,4649226830.000000,,1631170664.000000
12M 2016,1348078853.000000,34513508853.000000,,,-18909820075.000000,-3567282776.000000,,,-22477102851.000000,-7450036514.000000,-4187250185.000000,,,,,948959550.000000,1348078853.000000,-32795900.000000,2200000.000000,-34995900.000000,,,,,-32795900.000000,654073874.000000,4490356974.000000,,-3828823100.000000,,,,,,,-7460000.000000,,654073874.000000,,1969356827.000000,1631170664.000000,,3600527491.000000
12M 2017,12883806609.000000,46437737073.000000,,,-23052043167.000000,-5589128933.000000,,,-28641172100.000000,-3253589106.000000,-1530973342.000000,,,,,-128195916.000000,12883806609.000000,45778524.000000,,45778524.000000,,,,,45778524.000000,-13636932313.000000,,6500000000.000000,-20136932313.000000,,,,,,,,,-13636932313.000000,,-707347180.000000,3600527491.000000,,2893180311.000000
