Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,52251587100.000000,-35856055710.000000,16395531390.000000,-7171594210.000000,-1600291013.000000,-5571303197.000000,,-7171594210.000000,9223937180.000000,-5778374039.000000,,18461942.000000,18461942.000000,,-6507650307.000000,-6507650307.000000,,710814326.000000,-5778374039.000000,3445563141.000000,-2998820642.000000,-506825507.000000,-2491995135.000000,-2998820642.000000,446742499.000000,-118612.000000,446623887.000000,,,446623887.000000,446742499.000000,-118612.000000,446623887.000000,,,,
12M 2009,63588845258.000000,-39714825885.000000,23874019373.000000,-7644843483.000000,-2121772778.000000,-5523070705.000000,,-7644843483.000000,16229175890.000000,-5714561538.000000,,416778623.000000,416778623.000000,,-6501214311.000000,-6501214311.000000,,369874150.000000,-5714561538.000000,10514614352.000000,-1530822850.000000,-1530822850.000000,,-1530822850.000000,8983791502.000000,-1648610.000000,8982142892.000000,,,8982142892.000000,8983791502.000000,-1648610.000000,8982142892.000000,,,,
12M 2010,54492641149.000000,-32251899495.000000,22240741654.000000,-6704552203.000000,-1334504242.000000,-5370047961.000000,,-6704552203.000000,15536189451.000000,-1017095309.000000,,2501021083.000000,2501021083.000000,,-3935164584.000000,-3935164584.000000,,417048192.000000,-1017095309.000000,14519094142.000000,-1836132467.000000,-1836132467.000000,,-1836132467.000000,12682961675.000000,-2083539.000000,12680878136.000000,,,12680878136.000000,12682961675.000000,-2083539.000000,12680878136.000000,,,,
12M 2011,30644388574.000000,-14845294568.000000,15799094006.000000,-7573390976.000000,-1816811741.000000,-5756579235.000000,,-7573390976.000000,8225703030.000000,-632463941.000000,2758930277.000000,,2758930277.000000,-4419759743.000000,,-4419759743.000000,,1028365525.000000,-632463941.000000,7593239089.000000,-1691987004.000000,-1691987004.000000,,-1691987004.000000,5901252085.000000,,5901252085.000000,,5901252085.000000,5901252085.000000,5901003113.000000,248972.000000,5901252085.000000,5901252085.000000,5901003113.000000,248972.000000,5901252085.000000
12M 2012,25179996061.000000,-11198263290.000000,13981732771.000000,-9175961114.000000,-1882151292.000000,-7293809822.000000,,-9175961114.000000,4805771657.000000,684219382.000000,1070625635.000000,,1070625635.000000,-2099948421.000000,,-2099948421.000000,,1713542168.000000,684219382.000000,5489991039.000000,-1001862264.000000,-1001862264.000000,,-1001862264.000000,4488128775.000000,,4488128775.000000,,4488128775.000000,4488128775.000000,4486991634.000000,1137141.000000,4488128775.000000,4488128775.000000,4486991634.000000,1137141.000000,4488128775.000000
12M 2013,40154840297.000000,-15853002128.000000,24301838169.000000,-14669862652.000000,-2469761835.000000,-12200100817.000000,,-14669862652.000000,9631975517.000000,-2837004278.000000,96225214.000000,,96225214.000000,-4547976341.000000,,-4547976341.000000,80000000.000000,1534746849.000000,-2837004278.000000,6794971239.000000,-1769234088.000000,-1769234088.000000,,-1769234088.000000,5025737151.000000,,5025737151.000000,,5025737151.000000,5025737151.000000,5024882602.000000,854549.000000,5025737151.000000,5025737151.000000,5024882602.000000,854549.000000,5025737151.000000
12M 2014,45435885620.000000,-18084722708.000000,27351162912.000000,-13857879059.000000,-2305825482.000000,-11552053577.000000,,-13857879059.000000,13493283853.000000,-4035370527.000000,78729246.000000,,78729246.000000,-4794944724.000000,,-4794944724.000000,,680844951.000000,-4035370527.000000,9457913326.000000,-2411407529.000000,-2411407529.000000,,-2411407529.000000,7046505797.000000,,7046505797.000000,,7046505797.000000,7046505797.000000,7045158499.000000,1347298.000000,7046505797.000000,7046505797.000000,7045158499.000000,1347298.000000,7046505797.000000
12M 2015,24144133759.000000,-7751318287.000000,16392815472.000000,-10194282314.000000,-1328321860.000000,-7664976166.000000,-1200984288.000000,-10194282314.000000,6198533158.000000,-4868248721.000000,127369664.000000,,127369664.000000,-5147589962.000000,,-5147589962.000000,,151971577.000000,-4868248721.000000,1331784437.000000,-127141463.000000,,,-127141463.000000,1204642974.000000,,1204642974.000000,180730474.000000,1385373448.000000,1204642974.000000,1203739522.000000,903452.000000,1204642974.000000,1385373458.000000,1384473489.000000,899969.000000,1385373458.000000
12M 2016,34022502954.000000,-10597749361.000000,23424753593.000000,-12795241934.000000,-2755836169.000000,-8189090051.000000,-1850315714.000000,-12795241934.000000,10629511659.000000,-8670646258.000000,633451028.000000,,633451028.000000,-8083487542.000000,,-8083487542.000000,,-1220609744.000000,-8670646258.000000,1961065401.000000,-143003271.000000,,,-143003271.000000,1818062130.000000,,1818062130.000000,-19747760.000000,1798314370.000000,1818062130.000000,1816783028.000000,1279102.000000,1818062130.000000,1798314370.000000,1797035166.000000,1279204.000000,1798314370.000000
12M 2017,46437737073.000000,-15103094860.000000,31334642213.000000,-15009764475.000000,-4151992076.000000,-9305039667.000000,-1552732732.000000,-15009764475.000000,16324877738.000000,-3081349157.000000,1642701118.000000,,1642701118.000000,-4896290224.000000,,-4896290224.000000,,172239949.000000,-3081349157.000000,13243528581.000000,-31146666.000000,,,-31146666.000000,13212381915.000000,,13212381915.000000,-282111252.000000,12930270663.000000,13212381915.000000,13208950420.000000,3431495.000000,13212381915.000000,12930270663.000000,12926890638.000000,3380025.000000,12930270663.000000
