Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Atas Tagihan Restitusi Pajak,Penerimaan Restitusi Pajak,Pembayaran Beban Operasi Lainnya,Penerimaan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Saham,Pengurangan (Penambahan) Aset Lancar Lainnya,Penjualan Aset Tetap,Perolehan Aset Tetap,Investasi Pada Anak Perusahaan,Penerimaan Pembayaran Hubungan Istimewa,Pengurangan (Penambahan) Aset Tidak Lancar Lainnya,Kenaikan (Pengurangan) Piutang Pihak Berelasi,Perolehan Penyertaan Saham Pada Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Peningkatan Tambahan Modal Disetor,Pengurangan (Penambahan) Aset Lancar Lainnya,Penambahan (Pengurangan) Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dana Syirkah Temporer,Pembayaran Dana Syirkah Temporer,Pembayaran Sewa,Penerimaan Utang Angsuran,Pembayaran Utang Angsuran,Kontribusi Dari Kepentingan Non Pengendali,Pengurangan Utang Ke Pihak-Pihak Berelasi,Penerimaan Dari Penerbitan Saham Baru,Penambahan Utang Sewa Guna Usaha,Penerimaan Dari Penerbitan Obligasi,Pembayaran Beban Emisi Obligasi,Pelunasan Obligasi,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,13254603000.000000,1705068952000.000000,-1518761105000.000000,-23385315000.000000,-42277963000.000000,,,,-118915404000.000000,11525438000.000000,13254603000.000000,-265829746000.000000,,-117700000000.000000,319598000.000000,-16885371000.000000,,,-51721000.000000,13487748000.000000,-145000000000.000000,-265829746000.000000,279189851000.000000,,,,24349198000.000000,-11026945000.000000,,,,,,-866604000.000000,,-18753860000.000000,,-1969224000.000000,300000000000.000000,-4067714000.000000,,-8475000000.000000,279189851000.000000,26614708000.000000,-20430051000.000000,13735267000.000000,19919924000.000000
12M 2009,90192511000.000000,1867184442000.000000,-1609473559000.000000,-29540827000.000000,-48447035000.000000,,,12877894000.000000,-110780014000.000000,8371610000.000000,90192511000.000000,-28835671000.000000,,9944709000.000000,562750000.000000,-45321869000.000000,,,454564000.000000,5524175000.000000,,-28835671000.000000,-31383489000.000000,,,,-7196057000.000000,-10170109000.000000,,,,,,-1848604000.000000,,-7506472000.000000,,-3306247000.000000,,,,-1356000000.000000,-31383489000.000000,29973351000.000000,19872469000.000000,19919924000.000000,69765744000.000000
12M 2010,148915331000.000000,2084624883000.000000,-1714639808000.000000,-55273758000.000000,-43237627000.000000,,,10117942000.000000,-135851920000.000000,3175619000.000000,148915331000.000000,-58463504000.000000,,90055290000.000000,974692000.000000,-155257141000.000000,,,-15000000.000000,5778655000.000000,,-58463504000.000000,-46249175000.000000,,,,6077945000.000000,1113095000.000000,,,,,,-2648244000.000000,,-7921998000.000000,,-155973000.000000,,,,-42714000000.000000,-46249175000.000000,44202652000.000000,5002334000.000000,69765744000.000000,118970730000.000000
12M 2011,66218691000.000000,2546665775000.000000,-2201950790000.000000,-86979407000.000000,-51871287000.000000,,,1629454000.000000,-147398459000.000000,6123405000.000000,66218691000.000000,-187071494000.000000,,20000000000.000000,305060000.000000,-207340053000.000000,,,-36501000.000000,,,-187071494000.000000,87787842000.000000,,,,99599190000.000000,32718031000.000000,,,,,,-3670752000.000000,,-1873627000.000000,,,,,,-38985000000.000000,87787842000.000000,-33064961000.000000,1273703000.000000,118970730000.000000,87179472000.000000
12M 2012,293046848000.000000,3298756509000.000000,-2696017474000.000000,-69480771000.000000,-59958651000.000000,,,581776000.000000,-186152047000.000000,5317506000.000000,293046848000.000000,-319041540000.000000,,,475646000.000000,-319590057000.000000,,,3000000.000000,69871000.000000,,-319041540000.000000,29448772000.000000,,,-150000000000.000000,41524225000.000000,194192110000.000000,-6488074000.000000,,,,,-7404489000.000000,,,,,,,,-42375000000.000000,29448772000.000000,3454080000.000000,-70493000.000000,87179472000.000000,90563059000.000000
12M 2013,109333001000.000000,4112457881000.000000,-3629758014000.000000,-126027952000.000000,-63495688000.000000,,,7406259000.000000,-196042256000.000000,4792771000.000000,109333001000.000000,-352925827000.000000,,,754813000.000000,-353680640000.000000,,,,,,-352925827000.000000,233763015000.000000,,,167700000000.000000,294563980000.000000,172088240000.000000,-31197000000.000000,,,,,-8372205000.000000,,,,,,,-300000000000.000000,-61020000000.000000,233763015000.000000,-9829811000.000000,2085824000.000000,90563059000.000000,82819072000.000000
12M 2014,-301780493000.000000,4339668019000.000000,-4157765069000.000000,-105100574000.000000,-90035579000.000000,7087053000.000000,,3409576000.000000,-302982909000.000000,3938990000.000000,-301780493000.000000,-664372165000.000000,,,1023134000.000000,-665395299000.000000,,,,,,-664372165000.000000,1193350441000.000000,,,,523564748000.000000,452542422000.000000,-78595750000.000000,,,,,-4340979000.000000,,,336000000000.000000,,,,,-35820000000.000000,1193350441000.000000,227197783000.000000,95578000.000000,82819072000.000000,310112433000.000000
12M 2015,-26280191000.000000,4797501261000.000000,-4229029550000.000000,-72576533000.000000,-163710591000.000000,2021154000.000000,,32386615000.000000,-399069889000.000000,6197342000.000000,-26280191000.000000,-355066777000.000000,,,793669000.000000,-356335545000.000000,,,,475099000.000000,,-355066777000.000000,613056475000.000000,,,,-198015581000.000000,394177047000.000000,-129598764000.000000,,,,21462458000.000000,-8539222000.000000,,,533570537000.000000,,,,,,613056475000.000000,231709507000.000000,-17300950000.000000,310112433000.000000,524520990000.000000
12M 2016,251605232000.000000,5248581544000.000000,-4396910548000.000000,-71092202000.000000,-160745650000.000000,741408000.000000,,76317503000.000000,-448153088000.000000,2866265000.000000,251605232000.000000,-281660824000.000000,,,845948000.000000,-282506772000.000000,,,,,,-281660824000.000000,-347664940000.000000,,,,-178432863000.000000,106043064000.000000,-230102893000.000000,,,,,-45172248000.000000,,,,,,,,,-347664940000.000000,-377720532000.000000,-374379000.000000,524520990000.000000,146426079000.000000
12M 2017,265893212000.000000,5402765320000.000000,-4620551631000.000000,-77637942000.000000,-119760738000.000000,308451000.000000,-11156047000.000000,33589808000.000000,-342185009000.000000,521000000.000000,265893212000.000000,-335480726000.000000,,,11285743000.000000,-346893916000.000000,,127447000.000000,,,,-335480726000.000000,171760804000.000000,,,,454558000000.000000,100000000000.000000,-287172954000.000000,,,,,-10581742000.000000,30000000.000000,,,,,,,-85072500000.000000,171760804000.000000,102173290000.000000,1193506000.000000,-22845152000.000000,80521644000.000000
