Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Hewan Ternak Produksi - Berumur Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Cicilan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain-Lain,Utang Sewa Pembiayaan,Utang Cicilan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,19919924000.000000,129645864000.000000,129072900000.000000,572964000.000000,129645864000.000000,10357305000.000000,,10357305000.000000,156434639000.000000,72169573000.000000,149702545000.000000,538229850000.000000,,9012162000.000000,12696594000.000000,264793131000.000000,35203164000.000000,321705051000.000000,859934901000.000000,,,461457443000.000000,143950997000.000000,,257909908000.000000,22513966000.000000,280423874000.000000,15472636000.000000,,15472636000.000000,4654051000.000000,6403912000.000000,,,9423445000.000000,405921000.000000,722607000.000000,10551973000.000000,,,461457443000.000000,353926784000.000000,,34546719000.000000,,6072331000.000000,,366250000.000000,536928000.000000,6975509000.000000,296532198000.000000,15872358000.000000,353926784000.000000,815384227000.000000,,33900000000.000000,-100329792000.000000,-100329792000.000000,-100329792000.000000,112609601000.000000,,,112609601000.000000,-1629135000.000000,,44550674000.000000,859934901000.000000,339000000.000000
12M 2009,,,69765744000.000000,131077191000.000000,130578036000.000000,499155000.000000,131077191000.000000,3830396000.000000,,3830396000.000000,121535277000.000000,64466664000.000000,158648806000.000000,549324078000.000000,,13451348000.000000,7172419000.000000,292012030000.000000,23387656000.000000,336023453000.000000,885347531000.000000,,,415554719000.000000,136696326000.000000,,195111119000.000000,24486645000.000000,219597764000.000000,23316399000.000000,,23316399000.000000,16041301000.000000,10166129000.000000,,,6691905000.000000,155973000.000000,2888922000.000000,9736800000.000000,,,415554719000.000000,351141647000.000000,261595000.000000,27040246000.000000,,5033759000.000000,,,1276109000.000000,6309868000.000000,297345741000.000000,20184197000.000000,351141647000.000000,766696366000.000000,,33900000000.000000,-100329792000.000000,-100329792000.000000,-100329792000.000000,187223712000.000000,,,187223712000.000000,-2142755000.000000,,118651165000.000000,885347531000.000000,339000000.000000
12M 2010,,,118970730000.000000,110540729000.000000,89475972000.000000,21064757000.000000,110540729000.000000,2155806000.000000,,2155806000.000000,116962693000.000000,71944429000.000000,86837383000.000000,507411770000.000000,,28006288000.000000,1393764000.000000,420295061000.000000,9211766000.000000,458906879000.000000,966318649000.000000,,,356573189000.000000,142763895000.000000,,88186764000.000000,18764280000.000000,106951044000.000000,28594726000.000000,,28594726000.000000,28625530000.000000,14428897000.000000,,,3194801000.000000,,4444739000.000000,7639540000.000000,,27569557000.000000,356573189000.000000,353902265000.000000,,19118249000.000000,,9643958000.000000,,,1654999000.000000,11298957000.000000,298159284000.000000,25325775000.000000,353902265000.000000,710475454000.000000,,33900000000.000000,-100329792000.000000,-100329792000.000000,-100329792000.000000,324476139000.000000,,,324476139000.000000,-2203152000.000000,,255843195000.000000,966318649000.000000,339000000.000000
12M 2011,,,87179472000.000000,170974911000.000000,157711925000.000000,13262986000.000000,170974911000.000000,3409843000.000000,,3409843000.000000,239006224000.000000,88096591000.000000,131786957000.000000,720453998000.000000,,25260232000.000000,1393764000.000000,561328477000.000000,19364713000.000000,607347186000.000000,1327801184000.000000,,,515044183000.000000,242363085000.000000,,178610810000.000000,38724341000.000000,217335151000.000000,23932428000.000000,,23932428000.000000,5838565000.000000,15560764000.000000,,,4829125000.000000,,5185065000.000000,10014190000.000000,,,515044183000.000000,390932487000.000000,,17244622000.000000,,40727665000.000000,,,1404121000.000000,42131786000.000000,298972826000.000000,32583253000.000000,390932487000.000000,905976670000.000000,,33900000000.000000,-100329792000.000000,-100329792000.000000,-100329792000.000000,490748810000.000000,600000000.000000,490148810000.000000,490748810000.000000,-2494504000.000000,,421824514000.000000,1327801184000.000000,1695000000.000000
12M 2012,,,90563059000.000000,221785140000.000000,192978583000.000000,28806557000.000000,221785140000.000000,9467196000.000000,,9467196000.000000,262602864000.000000,94792654000.000000,214992633000.000000,894203546000.000000,,35053139000.000000,1323893000.000000,854677871000.000000,14623126000.000000,905678029000.000000,1799881575000.000000,,,852741232000.000000,283887310000.000000,,138752533000.000000,36351661000.000000,175104194000.000000,,12924975000.000000,12924975000.000000,34261421000.000000,13674169000.000000,,,28747917000.000000,,4354877000.000000,33102794000.000000,299786369000.000000,,852741232000.000000,265269799000.000000,,17244622000.000000,,204512910000.000000,,,261920000.000000,204774830000.000000,,43250347000.000000,265269799000.000000,1118011031000.000000,,33900000000.000000,-100329792000.000000,,-100329792000.000000,751128804000.000000,1600000000.000000,749528804000.000000,751128804000.000000,-2828468000.000000,,681870544000.000000,1799881575000.000000,1695000000.000000
12M 2013,,,82819072000.000000,301796023000.000000,254549268000.000000,47246755000.000000,301796023000.000000,5998751000.000000,,5998751000.000000,391892358000.000000,127048958000.000000,87425749000.000000,996980911000.000000,,45718257000.000000,1323893000.000000,1128473492000.000000,41902139000.000000,1217417781000.000000,2214398692000.000000,,,986471455000.000000,598497868000.000000,,207898282000.000000,33472490000.000000,241370772000.000000,,16153788000.000000,16153788000.000000,27239863000.000000,22918622000.000000,,,78595750000.000000,,1694792000.000000,80290542000.000000,,,986471455000.000000,365444048000.000000,,17244622000.000000,,295556317000.000000,,,,295556317000.000000,,52643109000.000000,365444048000.000000,1351915503000.000000,,33900000000.000000,-100329792000.000000,,-100329792000.000000,931355821000.000000,6600000000.000000,924755821000.000000,931355821000.000000,-2442840000.000000,,862483189000.000000,2214398692000.000000,1695000000.000000
12M 2014,,,310112433000.000000,463895660000.000000,418830908000.000000,45064752000.000000,463895660000.000000,10403267000.000000,,10403267000.000000,610432352000.000000,181116310000.000000,299211429000.000000,1875171451000.000000,,77084909000.000000,1323893000.000000,1576504953000.000000,1134609000.000000,1656048364000.000000,3531219815000.000000,,,1742383589000.000000,1137771675000.000000,,343886144000.000000,74229499000.000000,418115643000.000000,,19830104000.000000,19830104000.000000,42637624000.000000,3541649000.000000,,,118708189000.000000,,1778705000.000000,120486894000.000000,,,1742383589000.000000,710951070000.000000,,17244622000.000000,,629390550000.000000,,,662763000.000000,630053313000.000000,,63653135000.000000,710951070000.000000,2453334659000.000000,,35820000000.000000,233750208000.000000,,233750208000.000000,810975373000.000000,11600000000.000000,799375373000.000000,810975373000.000000,-2660425000.000000,,1077885156000.000000,3531219815000.000000,1791000000.000000
12M 2015,,,524520990000.000000,440819308000.000000,372376556000.000000,68442752000.000000,440819308000.000000,2666999000.000000,,2666999000.000000,551010268000.000000,216785426000.000000,292124930000.000000,2027927921000.000000,,110591204000.000000,848794000.000000,1822001729000.000000,698416000.000000,1934140143000.000000,3962068064000.000000,,,1520801969000.000000,939756094000.000000,,168473913000.000000,94701514000.000000,263175427000.000000,,24837700000.000000,24837700000.000000,46034378000.000000,4106342000.000000,9587742000.000000,,224220563000.000000,,9083723000.000000,233304286000.000000,,,1520801969000.000000,892680798000.000000,,17244622000.000000,,788456459000.000000,,,9459978000.000000,797916437000.000000,,77519739000.000000,892680798000.000000,2413482767000.000000,,44775000000.000000,758365745000.000000,,758365745000.000000,747309230000.000000,11600000000.000000,735709230000.000000,747309230000.000000,-1864678000.000000,,1548585297000.000000,3962068064000.000000,2238750000.000000
12M 2016,,,146426079000.000000,418447977000.000000,348005966000.000000,70442011000.000000,418447977000.000000,5543891000.000000,,5543891000.000000,625872330000.000000,258535855000.000000,306245665000.000000,1761071797000.000000,,180281556000.000000,848794000.000000,1956951734000.000000,20610613000.000000,2158692697000.000000,3919764494000.000000,,,1365050337000.000000,761323231000.000000,,185899265000.000000,30951639000.000000,216850904000.000000,,18412359000.000000,18412359000.000000,49363756000.000000,23300794000.000000,,,287172954000.000000,,8626339000.000000,295799293000.000000,,,1365050337000.000000,717138732000.000000,,17244622000.000000,,601444239000.000000,,,2427871000.000000,603872110000.000000,,96022000000.000000,717138732000.000000,2082189069000.000000,,44775000000.000000,758365745000.000000,,758365745000.000000,1035861827000.000000,11600000000.000000,1024261827000.000000,1035861827000.000000,-1427147000.000000,,1837575425000.000000,3919764494000.000000,2238750000.000000
12M 2017,,,175606503000.000000,440951649000.000000,361114944000.000000,79836705000.000000,440951649000.000000,1145013000.000000,,1145013000.000000,707610857000.000000,235807371000.000000,133921381000.000000,1695042774000.000000,,193283682000.000000,721347000.000000,2038990401000.000000,144207273000.000000,2377202703000.000000,4072245477000.000000,,,1865529073000.000000,1141694859000.000000,,217348205000.000000,35864607000.000000,253212812000.000000,,39625775000.000000,39625775000.000000,77901958000.000000,9155066000.000000,3728959000.000000,,313869034000.000000,,2598681000.000000,316467715000.000000,,23741929000.000000,1865529073000.000000,505563706000.000000,,17244622000.000000,,387575205000.000000,,,515667000.000000,388090872000.000000,,100228212000.000000,505563706000.000000,2371092779000.000000,,44775000000.000000,758365745000.000000,,758365745000.000000,899720156000.000000,16600000000.000000,883120156000.000000,899720156000.000000,-1708203000.000000,,1701152698000.000000,4072245477000.000000,2238750000.000000
