Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1729647254000.000000,-1569721838000.000000,159925416000.000000,-80620588000.000000,-28869458000.000000,-51751130000.000000,,-80620588000.000000,79304828000.000000,-64375123000.000000,-42705197000.000000,7147244000.000000,235443000.000000,-33430807000.000000,4378194000.000000,-64375123000.000000,14929705000.000000,-7302460000.000000,7627245000.000000,1414641000.000000,-4831426000.000000,4210460000.000000,,,4210460000.000000,7627245000.000000,1414641000.000000,-4831426000.000000,4210460000.000000,,,,
12M 2009,1868615769000.000000,-1636113794000.000000,232501975000.000000,-100613369000.000000,-32670353000.000000,-67943016000.000000,,-100613369000.000000,131888606000.000000,-19526529000.000000,-48637314000.000000,5802373000.000000,374580000.000000,20364592000.000000,2569240000.000000,-19526529000.000000,112362077000.000000,-36905586000.000000,75456491000.000000,513620000.000000,,75970111000.000000,,,75970111000.000000,75456491000.000000,513620000.000000,,75970111000.000000,,,,
12M 2010,2036518864000.000000,-1648160726000.000000,388358138000.000000,-129007492000.000000,-41762452000.000000,-87245040000.000000,,-129007492000.000000,259350646000.000000,-34445701000.000000,-43608737000.000000,2986764000.000000,893735000.000000,5100303000.000000,182234000.000000,-34445701000.000000,224904945000.000000,-44998915000.000000,179906030000.000000,60397000.000000,,179966427000.000000,,,179966427000.000000,179906030000.000000,60397000.000000,,179966427000.000000,,,,
12M 2011,2634460563000.000000,-2173770053000.000000,460690510000.000000,-150160701000.000000,-52528848000.000000,-97631853000.000000,,-150160701000.000000,310529809000.000000,-45918759000.000000,-51871287000.000000,1840263000.000000,302685000.000000,-473560000.000000,4283140000.000000,-45918759000.000000,264611050000.000000,-59644731000.000000,204966319000.000000,,,204966319000.000000,,204966319000.000000,204966319000.000000,205257671000.000000,-291352000.000000,,204966319000.000000,204966319000.000000,205257671000.000000,-291352000.000000,204966319000.000000
12M 2012,3349566738000.000000,-2711124780000.000000,638441958000.000000,-190700981000.000000,-64368966000.000000,-118533234000.000000,-7798781000.000000,-190700981000.000000,447740977000.000000,-64665084000.000000,2552243000.000000,-67217327000.000000,,,,-64665084000.000000,383075893000.000000,-80654863000.000000,302421030000.000000,,,302421030000.000000,,302421030000.000000,302421030000.000000,302754994000.000000,-333964000.000000,,302421030000.000000,302421030000.000000,302754994000.000000,-333964000.000000,302421030000.000000
12M 2013,4193082465000.000000,-3475173363000.000000,717909102000.000000,-341423962000.000000,-79779225000.000000,-155230118000.000000,-106414619000.000000,-341423962000.000000,376485140000.000000,-65597445000.000000,1861902000.000000,-67459347000.000000,,,,-65597445000.000000,310887695000.000000,-69255050000.000000,241632645000.000000,,,241632645000.000000,,241632645000.000000,241632645000.000000,241247017000.000000,385628000.000000,,241632645000.000000,241632645000.000000,241247017000.000000,385628000.000000,241632645000.000000
12M 2014,4502078127000.000000,-4179751129000.000000,322326998000.000000,-340016777000.000000,-106254514000.000000,-200869581000.000000,-32892682000.000000,-340016777000.000000,-17689779000.000000,-90604489000.000000,7087053000.000000,-97691542000.000000,,,,-90604489000.000000,-108294268000.000000,23516235000.000000,-84778033000.000000,,,-84778033000.000000,,-84778033000.000000,-84778033000.000000,-84560448000.000000,-217585000.000000,,-84778033000.000000,-84778033000.000000,-84560448000.000000,-217585000.000000,-84778033000.000000
12M 2015,4775014772000.000000,-4235099164000.000000,539915608000.000000,-445533795000.000000,-130741048000.000000,-202818909000.000000,-111973838000.000000,-445533795000.000000,94381813000.000000,-166515382000.000000,2021154000.000000,-168536536000.000000,,,,-166515382000.000000,-72133569000.000000,10036342000.000000,-62097227000.000000,,,-62097227000.000000,-3356999000.000000,-65454226000.000000,-62097227000.000000,-62834727000.000000,737500000.000000,,-62097227000.000000,-65454226000.000000,-66016133000.000000,561907000.000000,-65454226000.000000
12M 2016,5246340041000.000000,-4322417780000.000000,923922261000.000000,-460294477000.000000,-140421437000.000000,-291842066000.000000,-28030974000.000000,-460294477000.000000,463627784000.000000,-162011842000.000000,-162753250000.000000,741408000.000000,,,,-162011842000.000000,301615942000.000000,-11385465000.000000,290230477000.000000,,,290230477000.000000,-1240349000.000000,288990128000.000000,290230477000.000000,289792819000.000000,437658000.000000,,290230477000.000000,288990128000.000000,288552597000.000000,437531000.000000,288990128000.000000
12M 2017,5441395835000.000000,-4876948219000.000000,564447616000.000000,-437494934000.000000,-173670960000.000000,-244386746000.000000,-19437228000.000000,-437494934000.000000,126952682000.000000,-122593470000.000000,-122901921000.000000,308451000.000000,,,,-122593470000.000000,4359212000.000000,44339117000.000000,48698329000.000000,,,48698329000.000000,-7176902000.000000,41521427000.000000,48698329000.000000,48884227000.000000,-185898000.000000,,48698329000.000000,41521427000.000000,41832483000.000000,-311056000.000000,41521427000.000000
12M 2018,6705892735000.000000,-5763691018000.000000,942201717000.000000,-417444427000.000000,-173371163000.000000,-359091312000.000000,115018048000.000000,-417444427000.000000,524757290000.000000,-126570168000.000000,-127003502000.000000,433334000.000000,,,,-126570168000.000000,398187122000.000000,-113940244000.000000,284246878000.000000,,,284246878000.000000,10676276000.000000,294923154000.000000,284246878000.000000,284798887000.000000,-552009000.000000,,284246878000.000000,294923154000.000000,295383541000.000000,-460387000.000000,294923154000.000000
12M 2019,7454920083000.000000,-6553235568000.000000,901684515000.000000,-467367976000.000000,-184713916000.000000,-339028547000.000000,56374487000.000000,-467367976000.000000,434316539000.000000,-185539699000.000000,-185877880000.000000,338181000.000000,,,,-185539699000.000000,248776840000.000000,-96351729000.000000,152425111000.000000,,,152425111000.000000,24923325000.000000,177348436000.000000,152425111000.000000,152488234000.000000,-63123000.000000,,152425111000.000000,177348436000.000000,177409055000.000000,-60619000.000000,177348436000.000000
12M 2020,7000570412000.000000,-6347056473000.000000,653513939000.000000,-453025723000.000000,-180379046000.000000,-273014167000.000000,367490000.000000,-453025723000.000000,200488216000.000000,-180417659000.000000,-180735092000.000000,317433000.000000,,,,-180417659000.000000,20070557000.000000,-59023599000.000000,-38953042000.000000,,,-38953042000.000000,-7870181000.000000,-46823223000.000000,-38953042000.000000,-38838675000.000000,-114367000.000000,,-38953042000.000000,-46823223000.000000,-46706015000.000000,-117208000.000000,-46823223000.000000
12M 2021,9130618395000.000000,-8572738205000.000000,557880190000.000000,-323237145000.000000,-191520757000.000000,-279263854000.000000,147547466000.000000,-323237145000.000000,234643045000.000000,-158386029000.000000,-158721916000.000000,335887000.000000,,,,-158386029000.000000,76257016000.000000,-15880531000.000000,60376485000.000000,,,60376485000.000000,2805664000.000000,63182149000.000000,60376485000.000000,60376085000.000000,400000.000000,,60376485000.000000,63182149000.000000,63181089000.000000,1060000.000000,63182149000.000000
12M 2022,11101647275000.000000,-10407768312000.000000,693878963000.000000,-502884751000.000000,-251539676000.000000,-277375432000.000000,26030357000.000000,-502884751000.000000,190994212000.000000,-159164998000.000000,-159524908000.000000,359910000.000000,,,,-159164998000.000000,31829214000.000000,-5611557000.000000,26217657000.000000,,,26217657000.000000,809059000.000000,27026716000.000000,26217657000.000000,26239995000.000000,-22338000.000000,,26217657000.000000,27026716000.000000,27047863000.000000,-21147000.000000,27026716000.000000
12M 2023,12058023085000.000000,-11110164868000.000000,947858217000.000000,-666638464000.000000,-274709426000.000000,-300466328000.000000,-91462710000.000000,-666638464000.000000,281219753000.000000,-169824140000.000000,-170265593000.000000,441453000.000000,,,,-169824140000.000000,111395613000.000000,-48232867000.000000,63162746000.000000,,,63162746000.000000,1980633000.000000,65143379000.000000,63162746000.000000,63373085000.000000,-210339000.000000,,63162746000.000000,65143379000.000000,65353103000.000000,-209724000.000000,65143379000.000000
12M 2024,12502826561000.000000,-10948825063000.000000,1554001498000.000000,-780045677000.000000,-294667661000.000000,-463058309000.000000,-22319707000.000000,-780045677000.000000,773955821000.000000,-135791271000.000000,-136174892000.000000,383621000.000000,,,,-135791271000.000000,638164550000.000000,-150206967000.000000,487957583000.000000,,,487957583000.000000,1873393000.000000,489830976000.000000,487957583000.000000,488029417000.000000,-71834000.000000,,487957583000.000000,489830976000.000000,489902686000.000000,-71710000.000000,489830976000.000000
