Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,1323388979039.000000,-865229995699.000000,458158983340.000000,-174651035165.000000,-64638717267.000000,-110012317898.000000,-174651035165.000000,283507948175.000000,-88426723653.000000,-105943138891.000000,893970605.000000,,-990036967.000000,9466292727.000000,8146188873.000000,-88426723653.000000,195081224522.000000,-54000000504.000000,-58549280250.000000,4549279746.000000,,-54000000504.000000,,141081224018.000000,,,,141081224018.000000,141081224018.000000,141081224018.000000,,141081224018.000000,141081224018.000000,141081224018.000000,,141081224018.000000
12M 2017,1734702205527.000000,-1173875443017.000000,560826762510.000000,-207519395884.000000,-75868397253.000000,-131650998631.000000,-207519395884.000000,353307366626.000000,-119429776198.000000,-127499364091.000000,4747654553.000000,,1055766568.000000,-25481667.000000,2291648439.000000,-119429776198.000000,233877590428.000000,-62445782633.000000,-70888537250.000000,8442754617.000000,,-62445782633.000000,,171431807795.000000,,,,171431807795.000000,171431807795.000000,171431807795.000000,,171431807795.000000,171431807795.000000,171431807795.000000,,171431807795.000000
12M 2018,2101477235890.000000,-1362336935027.000000,739140300863.000000,-265713376277.000000,-135720162673.000000,-129993213604.000000,-265713376277.000000,473426924586.000000,-148814516876.000000,-156112460131.000000,372703683.000000,,541754520.000000,1074289911.000000,5309195141.000000,-148814516876.000000,324612407710.000000,-82602301461.000000,-88270693750.000000,5668392289.000000,,-82602301461.000000,,242010106249.000000,288716269149.000000,288716269149.000000,288716269149.000000,530726375398.000000,242010106249.000000,239266426284.000000,2743679965.000000,242010106249.000000,530726375398.000000,527832301053.000000,2894074345.000000,530726375398.000000
12M 2019,2136286045964.000000,-1392344026298.000000,743942019666.000000,-253565311010.000000,-118735080599.000000,-134830230411.000000,-253565311010.000000,490376708656.000000,-206672419271.000000,-211504005003.000000,678558475.000000,,1733210732.000000,-5124739314.000000,7544555839.000000,-206672419271.000000,283704289385.000000,-65639976343.000000,-80013429808.000000,14373453465.000000,,-65639976343.000000,,218064313042.000000,35504560288.000000,35504560288.000000,35504560288.000000,253568873330.000000,218064313042.000000,217472643797.000000,591669245.000000,218064313042.000000,253568873330.000000,252891071086.000000,677802244.000000,253568873330.000000
12M 2020,2929365354072.000000,-1943770852266.000000,985594501806.000000,-321373907372.000000,-168560810697.000000,-152813096675.000000,-321373907372.000000,664220594434.000000,-230506138819.000000,-234191487322.000000,147806429.000000,-7817743292.000000,2010816858.000000,2871076376.000000,6473392132.000000,-230506138819.000000,433714455615.000000,-96032605001.000000,-106058058700.000000,10025453699.000000,,-96032605001.000000,-23315798242.000000,314366052372.000000,14659296462.000000,14659296462.000000,14659296462.000000,329025348834.000000,314366052372.000000,313966074213.000000,399978159.000000,314366052372.000000,329025348834.000000,328610205286.000000,415143548.000000,329025348834.000000
12M 2021,5416331556250.000000,-3499320664512.000000,1917010891738.000000,-956057870231.000000,-792435880564.000000,-163621989667.000000,-956057870231.000000,960953021507.000000,-256529837806.000000,-255031707600.000000,2694845564.000000,-7475931481.000000,2037594385.000000,4312906061.000000,-3067544735.000000,-256529837806.000000,704423183701.000000,-160934700346.000000,-163799302700.000000,2864602354.000000,,-160934700346.000000,-8192870720.000000,535295612635.000000,10734958383.000000,10734958383.000000,10734958383.000000,546030571018.000000,535295612635.000000,536608966841.000000,-1313354206.000000,535295612635.000000,546030571018.000000,547319197461.000000,-1288626443.000000,546030571018.000000
12M 2022,4526699532441.000000,-3119034425361.000000,1407665107080.000000,-974530818080.000000,-815957356221.000000,-158573461859.000000,-974530818080.000000,433134289000.000000,-199304358623.000000,-251276962749.000000,4184560611.000000,,-5445905796.000000,32893714919.000000,20340234392.000000,-199304358623.000000,233829930377.000000,-56705805251.000000,-61321339859.000000,4615534608.000000,,-56705805251.000000,,177124125126.000000,9106664374.000000,9106664374.000000,9106664374.000000,186230789500.000000,177124125126.000000,177561573287.000000,-437448161.000000,177124125126.000000,186230789500.000000,186656955379.000000,-426165879.000000,186230789500.000000
12M 2023,2186033911377.000000,-1446762593474.000000,739271317903.000000,-396938905738.000000,-256549478953.000000,-140389426785.000000,-396938905738.000000,342332412165.000000,-207324614583.000000,-252053304854.000000,7881075028.000000,,26400266264.000000,-6550330963.000000,16997679942.000000,-207324614583.000000,135007797582.000000,-40413374100.000000,-37672822220.000000,-2740551880.000000,,-40413374100.000000,,94594423482.000000,187817893324.000000,187817893324.000000,187817893324.000000,282412316806.000000,94594423482.000000,97009870837.000000,-2415447355.000000,94594423482.000000,282412316806.000000,284669506836.000000,-2257190030.000000,282412316806.000000
12M 2024,2791657523872.000000,-2007094471126.000000,784563052746.000000,-405898340221.000000,-238430106675.000000,-167468233546.000000,-405898340221.000000,378664712525.000000,-176273432083.000000,-240970400494.000000,10309996267.000000,13536335505.000000,-1121490661.000000,11016426485.000000,30955700815.000000,-176273432083.000000,202391280442.000000,-47820675796.000000,,,,-47820675796.000000,,154570604646.000000,6541231330.000000,6541231330.000000,6541231330.000000,161111835976.000000,154570604646.000000,161110243908.000000,-6539639262.000000,154570604646.000000,161111835976.000000,166939920628.000000,-5828084652.000000,161111835976.000000
