Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pembayaran Beban Pajak Final,Pembayaran Kas Kepada Karyawan Dan Pendanaan Liabilitas Imbalan Kerja,Penerimaan Bunga,Penerimaan Jaminan Uang Ventura Bersama,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penurunan Piutang Kepada Pihak Berelasi,Penambahan Piutang Kepada Pihak Berelasi,Akuisisi Saham Entitas Anak,Penambahan Properti Investasi,Penjualan Properti Investasi,Penempatan Pada Investasi Tersedia Untuk Dijual,Perolehan Investasi Ventura Bersama,Penambahan Uang Muka Investasi,Pencairan Investasi Pada Aset Keuangan Lainnya,Penempatan Investasi Pada Aset Keuangan Lainnya,Penambahan Uang Muka Aset Lain-Lain,Perolehan Persediaan Real Estat Tidak Lancar,Pembangunan Infrastruktur,Penerimaan Uang Jaminan Kerja Sama Operasi,Pengembalian Uang Jaminan Kerja Sama Operasi,Pencairan Investasi Tersedia Untuk Dijual,Perolehan Aset Tetap,Pembayaran Utang Lain-Lain Atas Pembelian Aset Tetap Dan Properti Investasi,Hasil Penjualan Aset Tetap,Pencairan (Penempatan) Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Penambahan Utang Bank Jangka Panjang,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembyaran Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Total Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Dari Hasil Penawaran Saham Perdana,Pembayaran Biaya Emisi Saham,Akusisi Saham Entitas Anak,Pembayaran Deviden,Pembagian Dividen Entitas Anak Kepada Kepentingan Nonpengendali,Penambahan Piutang Kepada Pihak Ketiga,Pembayaran Dividen Nonpengendali Entitas Anak,Penerimaan Setoran Modal Dari Pemegang Saham Entitas Anak Sebelumnya,Penerimaan Setoran Modal Dan Uang Muka Setoran Modal Dari Pemegang Saham Lainnya Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penambahan Dana Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2010,5545129000.000000,351055225000.000000,-255107633000.000000,,-52946946000.000000,,,-20258272000.000000,-17197245000.000000,5545129000.000000,-58858342000.000000,444583000.000000,,,,-14296098000.000000,,,,,,,,,,,,,-45236827000.000000,,230000000.000000,,,-58858342000.000000,58547303000.000000,346350552000.000000,,,-309725351000.000000,,,5922102000.000000,,,,,,,,,,,,16000000000.000000,,58547303000.000000,5234090000.000000,13973527000.000000,-682000.000000,-9526047000.000000,9680888000.000000
12M 2011,103934683000.000000,583909014000.000000,-345830808000.000000,,-85215400000.000000,,,-19981554000.000000,-28946569000.000000,103934683000.000000,-107449833000.000000,12352789000.000000,,450000000.000000,-15840000000.000000,-25941750000.000000,,-10000000000.000000,,,,,,,,,,,-66422884000.000000,-2387488000.000000,339500000.000000,,,-107449833000.000000,371514605000.000000,305019383000.000000,,,-352151900000.000000,,,-55356000.000000,4509000.000000,,,4509000.000000,454759920000.000000,-27406926000.000000,,-10004720000.000000,,,,,1349695000.000000,371514605000.000000,367999455000.000000,9680888000.000000,9424000.000000,-34456039000.000000,343233728000.000000
12M 2012,39622712000.000000,668832722000.000000,-497663967000.000000,,-84652621000.000000,,,-14684092000.000000,-32209330000.000000,39622712000.000000,-157550111000.000000,17391039000.000000,,338373000.000000,,-126954119000.000000,,-197000000000.000000,,,,,,,,,,207000000000.000000,-54985960000.000000,-3824195000.000000,484751000.000000,,,-157550111000.000000,17819163000.000000,70285355000.000000,,,-48775000000.000000,,,128746000.000000,-4509000.000000,,,-4509000.000000,,,,-21297926000.000000,,,,,17482497000.000000,17819163000.000000,-100108236000.000000,343233728000.000000,9519000.000000,-13138897000.000000,229996114000.000000
12M 2013,5498958000.000000,781606621000.000000,-588449572000.000000,,-103741665000.000000,,,-36597366000.000000,-47319060000.000000,5498958000.000000,-294491934000.000000,16890507000.000000,-246648000.000000,,,-270009120000.000000,,,,,,,,,,,,,-57767906000.000000,-6625608000.000000,433658000.000000,22833183000.000000,,-294491934000.000000,441106710000.000000,535315583000.000000,,,-62557500000.000000,,,-42733000.000000,3809000.000000,,,3809000.000000,,,,-40737399000.000000,,,,,9124950000.000000,441106710000.000000,152113734000.000000,229996114000.000000,281573000.000000,,382391421000.000000
12M 2014,8965918000.000000,965700801000.000000,-718145473000.000000,,-132058089000.000000,14708212000.000000,,-66087733000.000000,-55151800000.000000,8965918000.000000,-222775992000.000000,,,173465000.000000,,-33229901000.000000,,,,,,,,,,,,,-97951401000.000000,-73631596000.000000,149350000.000000,-18285909000.000000,,-222775992000.000000,133569959000.000000,395217964000.000000,,,-224750000000.000000,,,-48121000.000000,-13559000.000000,,,-13559000.000000,,,,-49265665000.000000,,,,,12429340000.000000,133569959000.000000,-80240115000.000000,382391421000.000000,21726000.000000,,302173032000.000000
12M 2015,83562896000.000000,1215083614000.000000,-846889594000.000000,-67546700000.000000,-140606751000.000000,9765072000.000000,,-83449573000.000000,-2793172000.000000,83562896000.000000,-225457557000.000000,,,584305000.000000,,-142644200000.000000,,,,,,,,,,,,,-49375859000.000000,-38313975000.000000,326630000.000000,3965542000.000000,,-225457557000.000000,55933045000.000000,,246867236000.000000,132000000000.000000,,-87750000000.000000,-178000000000.000000,-88898000.000000,-743036000.000000,,,-743036000.000000,,,,-34106998000.000000,,,-38659413000.000000,,16414154000.000000,55933045000.000000,-85961616000.000000,302173032000.000000,146930000.000000,,216358346000.000000
12M 2016,307215874000.000000,1306586476000.000000,-698740173000.000000,-71396732000.000000,-153222358000.000000,9521672000.000000,,-84571570000.000000,-961441000.000000,307215874000.000000,-284988414000.000000,,,83236000.000000,,-82793725000.000000,,,-137527000000.000000,,,,,,,,,,-53379101000.000000,-10339994000.000000,63000000.000000,-1094830000.000000,,-284988414000.000000,71871499000.000000,,358922912000.000000,194500002000.000000,,-311500036000.000000,-150000000000.000000,,42756000.000000,,,42756000.000000,,,,-24496404000.000000,,,-1760000.000000,,4404029000.000000,71871499000.000000,94098959000.000000,216358346000.000000,-20224000.000000,,310437081000.000000
12M 2017,212558818000.000000,1176313977000.000000,-783646917000.000000,-55402593000.000000,-163155801000.000000,11071974000.000000,90527505000.000000,-62550172000.000000,-599155000.000000,212558818000.000000,-185003071000.000000,,,,,-25647650000.000000,,,-30006000000.000000,,,,,,,,,,-19625027000.000000,,248779000.000000,-109973173000.000000,,-185003071000.000000,124939241000.000000,,436415667000.000000,434500000000.000000,,-280895475000.000000,-424500000000.000000,,-8782000.000000,,,-8782000.000000,,,,-40572169000.000000,,,,,,124939241000.000000,152494988000.000000,310437081000.000000,7421000.000000,,462939490000.000000
12M 2018,526456489000.000000,1529494683000.000000,-697150985000.000000,-62383738000.000000,-174142431000.000000,29860384000.000000,,-98352830000.000000,-868594000.000000,526456489000.000000,-458990624000.000000,,,,,-13463898000.000000,,,-7502000000.000000,,-201710843000.000000,,-12423630000.000000,-267321634000.000000,,69564257000.000000,,,-26239244000.000000,,106368000.000000,,,-458990624000.000000,-259424044000.000000,,744500000000.000000,416612181000.000000,,-467566667000.000000,-881027534000.000000,,,,,,,,,-67365112000.000000,-4999000000.000000,,,,422088000.000000,-259424044000.000000,-191958179000.000000,530422521000.000000,61000.000000,,338464403000.000000
12M 2019,441045000000.000000,1488686000000.000000,-722366000000.000000,-64163000000.000000,-184608000000.000000,34360000000.000000,,-108138000000.000000,-2726000000.000000,441045000000.000000,-296568000000.000000,,,,,-32753000000.000000,,,-30006000000.000000,,52551000000.000000,,,-123400000000.000000,,-125293000000.000000,,,-40189000000.000000,,2522000000.000000,,,-296568000000.000000,244693000000.000000,,742747000000.000000,368738000000.000000,,-180834000000.000000,-614000000000.000000,,,,,,,,,-71958000000.000000,,,,,,244693000000.000000,389170000000.000000,338464000000.000000,,,727634000000.000000
