Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba Dari Ventura Bersama,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,331665598000.000000,-153161571000.000000,178504027000.000000,-74467646000.000000,-13831925000.000000,-60635721000.000000,-74467646000.000000,104036381000.000000,-14545537000.000000,444583000.000000,,-20662934000.000000,,5672814000.000000,-14545537000.000000,89490844000.000000,-20444858000.000000,69045986000.000000,,69045986000.000000,69045986000.000000,69065040000.000000,-19054000.000000,69045986000.000000,69045986000.000000,69065040000.000000,-19054000.000000,69045986000.000000
12M 2011,541780576000.000000,-249534510000.000000,292246066000.000000,-100055702000.000000,-21110248000.000000,-78945454000.000000,-100055702000.000000,192190364000.000000,-3996252000.000000,12352789000.000000,,-20456446000.000000,,4107405000.000000,-3996252000.000000,188194112000.000000,-31586302000.000000,156607810000.000000,,156607810000.000000,156607810000.000000,156603040000.000000,4770000.000000,156607810000.000000,156607810000.000000,156603040000.000000,4770000.000000,156607810000.000000
12M 2012,678729373000.000000,-308910741000.000000,369818632000.000000,-138398350000.000000,-33170689000.000000,-105227661000.000000,-138398350000.000000,231420282000.000000,10915074000.000000,17391039000.000000,,-14718511000.000000,,8242546000.000000,10915074000.000000,242335356000.000000,-38440128000.000000,203895228000.000000,,203895228000.000000,203895228000.000000,203687350000.000000,207878000.000000,203895228000.000000,203895228000.000000,203687350000.000000,207878000.000000,203895228000.000000
12M 2013,854973964000.000000,-387231507000.000000,467742457000.000000,-179777654000.000000,-44737299000.000000,-135040355000.000000,-179777654000.000000,287964803000.000000,3915121000.000000,16890507000.000000,,-23603893000.000000,,10628507000.000000,3915121000.000000,291879924000.000000,-50912275000.000000,240967649000.000000,,240967649000.000000,240967649000.000000,241214815000.000000,-247166000.000000,240967649000.000000,240967649000.000000,241214815000.000000,-247166000.000000,240967649000.000000
12M 2014,1117732408000.000000,-469266563000.000000,648465845000.000000,-216032162000.000000,-47275182000.000000,-168756980000.000000,-216032162000.000000,432433683000.000000,-53903880000.000000,14708212000.000000,,-67363968000.000000,,-1248124000.000000,-53903880000.000000,378529803000.000000,-69312511000.000000,309217292000.000000,,309217292000.000000,309217292000.000000,267947829000.000000,41269463000.000000,309217292000.000000,309217292000.000000,267947829000.000000,41269463000.000000,309217292000.000000
12M 2015,1089217674000.000000,-428731938000.000000,660485736000.000000,-241653054000.000000,-54805364000.000000,-186847690000.000000,-241653054000.000000,418832682000.000000,-110512968000.000000,9765072000.000000,,-80349676000.000000,,-39928364000.000000,-110512968000.000000,308319714000.000000,-68337107000.000000,239982607000.000000,-1345528000.000000,238637079000.000000,239982607000.000000,214269500000.000000,25713107000.000000,239982607000.000000,238637079000.000000,212943701000.000000,25693378000.000000,238637079000.000000
12M 2016,1143372190000.000000,-422161078000.000000,721211112000.000000,-255229660000.000000,-64596634000.000000,-190633026000.000000,-255229660000.000000,465981452000.000000,-81323555000.000000,9521672000.000000,-1336854000.000000,-84634360000.000000,,-4874013000.000000,-81323555000.000000,384657897000.000000,-68143483000.000000,316514414000.000000,-7234474000.000000,309279940000.000000,316514414000.000000,271341683000.000000,45172731000.000000,316514414000.000000,309279940000.000000,264136695000.000000,45143245000.000000,309279940000.000000
12M 2017,1263595248000.000000,-446599656000.000000,816995592000.000000,-270819849000.000000,-72597346000.000000,-198222503000.000000,-270819849000.000000,546175743000.000000,64275398000.000000,11071974000.000000,112330003000.000000,-66146442000.000000,,7019863000.000000,64275398000.000000,610451141000.000000,-59440356000.000000,551010785000.000000,-13488900000.000000,537521885000.000000,551010785000.000000,451677691000.000000,99333094000.000000,551010785000.000000,537521885000.000000,438220952000.000000,99300933000.000000,537521885000.000000
12M 2018,1378861622000.0,-530443388000.0,848418234000.0,-317475343000.0,-82394493000.0,-235080850000.0,-317475343000.0,530942891000.0,-22643056000.0,29860384000.0,-14051926000.0,-74688369000.0,-61834168000.0,98071023000.0,-22643056000.0,508299835000.0,-1072056000.0,507227779000.0,4124406000.0,511352185000.0,507227779000.0,481703091000.0,25524688000.0,507227779000.0,511352185000.0,485812015000.0,25540170000.0,511352185000.0
12M 2019,1403758000000.0,-672922000000.0,730836000000.0,-327515000000.0,-83117000000.0,-244398000000.0,-327515000000.0,403321000000.0,87141000000.0,34360000000.0,-8293000000.0,-38993000000.0,-61854000000.0,161921000000.0,87141000000.0,490462000000.0,-2840000000.0,487622000000.0,-4576000000.0,483046000000.0,487622000000.0,486973000000.0,649000000.0,487622000000.0,483046000000.0,482418000000.0,628000000.0,483046000000.0
12M 2020,1110650000000.0,-524906000000.0,585744000000.0,-271231000000.0,-68105000000.0,-203126000000.0,-271231000000.0,314513000000.0,-28065000000.0,31337000000.0,-3820000000.0,-23418000000.0,-48514000000.0,16350000000.0,-28065000000.0,286448000000.0,-141000000.0,286307000000.0,-6968000000.0,279339000000.0,286307000000.0,272299000000.0,14008000000.0,286307000000.0,279339000000.0,265368000000.0,13971000000.0,279339000000.0
12M 2021,1199074000000.0,-593272000000.0,605802000000.0,-254986000000.0,-40617000000.0,-214369000000.0,-254986000000.0,350816000000.0,31962000000.0,29117000000.0,-3185000000.0,-16606000000.0,-47811000000.0,70447000000.0,31962000000.0,382778000000.0,-2112000000.0,380666000000.0,2999000000.0,383665000000.0,380666000000.0,372017000000.0,8649000000.0,380666000000.0,383665000000.0,374889000000.0,8776000000.0,383665000000.0
12M 2022,1384828000000.0,-671082000000.0,713746000000.0,-268769000000.0,-59847000000.0,-208922000000.0,-268769000000.0,444977000000.0,-25552000000.0,31688000000.0,-1998000000.0,-14620000000.0,-57206000000.0,16584000000.0,-25552000000.0,419425000000.0,-1491000000.0,417934000000.0,-3042000000.0,414892000000.0,417934000000.0,395310000000.0,22624000000.0,417934000000.0,414892000000.0,392236000000.0,22656000000.0,414892000000.0
12M 2023,1704996000000.0,-821197000000.0,883799000000.0,-329440000000.0,-97923000000.0,-231517000000.0,-329440000000.0,554359000000.0,-54802000000.0,32089000000.0,-1155000000.0,-9708000000.0,-66921000000.0,-9107000000.0,-54802000000.0,499557000000.0,-6647000000.0,492910000000.0,-2095000000.0,490815000000.0,492910000000.0,417602000000.0,75308000000.0,492910000000.0,490815000000.0,415442000000.0,75373000000.0,490815000000.0
12M 2024,2020780000000.0,-1078759000000.0,942021000000.0,-367537000000.0,-102565000000.0,-264972000000.0,-367537000000.0,574484000000.0,-39060000000.0,21962000000.0,-865000000.0,-6055000000.0,-77547000000.0,23445000000.0,-39060000000.0,535424000000.0,-5407000000.0,530017000000.0,1762000000.0,531779000000.0,530017000000.0,469250000000.0,60767000000.0,530017000000.0,531779000000.0,470993000000.0,60786000000.0,531779000000.0
