Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Persediaan,Aset Real Estat,Others,Total Persediaan,Properti Investasi,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,13973527000.000000,48612758000.000000,,,48612758000.000000,1594148000.000000,,,1594148000.000000,613173000.000000,,,613173000.000000,21198461000.000000,85992067000.000000,,,621006342000.000000,621006342000.000000,,621006342000.000000,212406084000.000000,,,,4872215000.000000,87587553000.000000,458636000.000000,926330830000.000000,1012322897000.000000,,,288158751000.000000,156500790000.000000,11150348000.000000,5898727000.000000,,,5898727000.000000,17480493000.000000,6208446000.000000,,,,90919947000.000000,90919947000.000000,,,288158751000.000000,20541630000.000000,,,,,,,,,,20541630000.000000,20541630000.000000,308700381000.000000,,568450000000.000000,8594000.000000,121582924000.000000,,,121582924000.000000,13580998000.000000,,703622516000.000000,1012322897000.000000,5684500000.000000
12M 2010,,,9680888000.000000,41208916000.000000,,,41208916000.000000,994135000.000000,,,994135000.000000,789296000.000000,,,789296000.000000,41908706000.000000,94581941000.000000,,,715196045000.000000,715196045000.000000,,715196045000.000000,215815900000.000000,,,,3416513000.000000,124886697000.000000,1981416000.000000,1061296571000.000000,1155878512000.000000,,,339935588000.000000,193125991000.000000,17184120000.000000,9257567000.000000,,,9257567000.000000,17882493000.000000,4605062000.000000,,,,97880355000.000000,97880355000.000000,,,339935588000.000000,22997002000.000000,,,,,,,,,269500000.000000,22727502000.000000,22997002000.000000,362932590000.000000,,568450000000.000000,8594000.000000,190647964000.000000,,,190647964000.000000,18003137000.000000,15836227000.000000,792945922000.000000,1155878512000.000000,5684500000.000000
12M 2011,,,343233728000.000000,55481919000.000000,,,55481919000.000000,732581000.000000,,,732581000.000000,1068644000.000000,,,1068644000.000000,85039127000.000000,485555999000.000000,,,829336994000.000000,829336994000.000000,,829336994000.000000,245586758000.000000,,,,1782335000.000000,165731102000.000000,1847090000.000000,1244284279000.000000,1729840278000.000000,,,370711224000.000000,146562499000.000000,27203846000.000000,14175083000.000000,,,14175083000.000000,26518622000.000000,5976373000.000000,,,,150274801000.000000,150274801000.000000,,,370711224000.000000,6713620000.000000,,,,,,,,,274009000.000000,6439611000.000000,6713620000.000000,377424844000.000000,,757933300000.000000,237878288000.000000,337246284000.000000,,,337246284000.000000,19357562000.000000,,1352415434000.000000,1729840278000.000000,7579333000.000000
12M 2012,,,229996114000.000000,87936643000.000000,,,87936643000.000000,5352519000.000000,107015000.000000,5245504000.000000,5352519000.000000,802095555000.000000,801107478000.000000,988077000.000000,802095555000.000000,36635948000.000000,1162016779000.000000,,,175271285000.000000,175271285000.000000,,175271285000.000000,423848615000.000000,2330456000.000000,2330456000.000000,2330456000.000000,616188000.000000,173473510000.000000,78196316000.000000,853736370000.000000,2015753149000.000000,,,288403252000.000000,22999999000.000000,36686022000.000000,,269500000.000000,10695405000.000000,10964905000.000000,26646265000.000000,9594321000.000000,,48230000000.000000,,133281740000.000000,181511740000.000000,,,288403252000.000000,173530289000.000000,,97285355000.000000,42671060000.000000,139956415000.000000,,22233878000.000000,22233878000.000000,,,11339996000.000000,173530289000.000000,461933541000.000000,,757933300000.000000,237878288000.000000,519635708000.000000,1000000000.000000,518635708000.000000,519635708000.000000,37057687000.000000,1314625000.000000,1553819608000.000000,2015753149000.000000,7579333000.000000
12M 2013,,,382391421000.000000,158314949000.000000,,,158314949000.000000,3359633000.000000,353663000.000000,3005970000.000000,3359633000.000000,887812528000.000000,885958855000.000000,1853673000.000000,887812528000.000000,35774730000.000000,1467653261000.000000,,,280538240000.000000,280538240000.000000,,280538240000.000000,763323675000.000000,2220173000.000000,,2220173000.000000,513009000.000000,226561784000.000000,93674029000.000000,1366830910000.000000,2834484171000.000000,,,646965734000.000000,199999999000.000000,94266885000.000000,,273309000.000000,77623032000.000000,77896341000.000000,31479452000.000000,12939485000.000000,,77000000000.000000,,153383572000.000000,230383572000.000000,,,646965734000.000000,422763128000.000000,,365264014000.000000,14987271000.000000,380251285000.000000,,24214443000.000000,24214443000.000000,,,18297400000.000000,422763128000.000000,1069728862000.000000,,757933300000.000000,237878288000.000000,720113124000.000000,3000000000.000000,717113124000.000000,720113124000.000000,45935471000.000000,2895126000.000000,1764755309000.000000,2834484171000.000000,7579333000.000000
12M 2014,,,302173032000.000000,324037076000.000000,,,324037076000.000000,5765624000.000000,36781000.000000,5728843000.000000,5765624000.000000,1177104053000.000000,1174972421000.000000,2131632000.000000,1177104053000.000000,38607960000.000000,1847687745000.000000,,,194796157000.000000,194796157000.000000,,194796157000.000000,807956399000.000000,1395560000.000000,,1395560000.000000,1776340000.000000,315779153000.000000,81326389000.000000,1403029998000.000000,3250717743000.000000,,,752075584000.000000,310999998000.000000,38631652000.000000,,259750000.000000,61483315000.000000,61743065000.000000,48797048000.000000,17914455000.000000,,87750000000.000000,,149293671000.000000,237043671000.000000,,36945695000.000000,752075584000.000000,461505883000.000000,,415658536000.000000,23038592000.000000,438697128000.000000,,,,365489000.000000,,22443266000.000000,461505883000.000000,1213581467000.000000,,757933300000.000000,237878288000.000000,938795288000.000000,5000000000.000000,933795288000.000000,938795288000.000000,99634274000.000000,2895126000.000000,2037136276000.000000,3250717743000.000000,7579333000.000000
12M 2015,,,216358346000.000000,224864840000.000000,,,224864840000.000000,4358729000.000000,112317000.000000,4246412000.000000,4358729000.000000,1502645453000.000000,1500140509000.000000,2504944000.000000,1502645453000.000000,63863749000.000000,2012091117000.000000,,,184749170000.000000,184749170000.000000,,184749170000.000000,980970758000.000000,586092000.000000,,586092000.000000,3401222000.000000,363937545000.000000,75006674000.000000,1608651461000.000000,3620742578000.000000,,,866858726000.000000,264999998000.000000,28342254000.000000,,463389000.000000,150965369000.000000,151428758000.000000,52371362000.000000,21707740000.000000,,180850000000.000000,,167158614000.000000,348008614000.000000,,,866858726000.000000,540667127000.000000,,482558509000.000000,16240527000.000000,498799036000.000000,,,,1181101000.000000,,40686990000.000000,540667127000.000000,1407525853000.000000,,765512633000.000000,257963521000.000000,1088840541000.000000,7000000000.000000,1081840541000.000000,1088840541000.000000,103068194000.000000,-2168164000.000000,2213216725000.000000,3620742578000.000000,7655126330.000000
12M 2016,,,310437081000.000000,187118481000.000000,,,187118481000.000000,7389852000.000000,29081000.000000,7360771000.000000,7389852000.000000,1625983495000.000000,1623294158000.000000,2689337000.000000,1625983495000.000000,41592281000.000000,2172521190000.000000,,,201320578000.000000,201320578000.000000,,201320578000.000000,1038518132000.000000,59991797000.000000,,59991797000.000000,260886000.000000,387873153000.000000,72043537000.000000,1760008083000.000000,3932529273000.000000,,,837279300000.000000,309500000000.000000,18172986000.000000,,506145000.000000,41585040000.000000,42091185000.000000,51826805000.000000,21183160000.000000,,207111111000.000000,,187394053000.000000,394505164000.000000,,,837279300000.000000,592847443000.000000,,503735514000.000000,27157903000.000000,530893417000.000000,,,,2006527000.000000,,59947499000.000000,592847443000.000000,1430126743000.000000,,765512633000.000000,257963521000.000000,1335685820000.000000,9000000000.000000,1326685820000.000000,1335685820000.000000,152613708000.000000,-9373152000.000000,2502402530000.000000,3932529273000.000000,7655126330.000000
12M 2017,,,462939490000.000000,310364953000.000000,,,310364953000.000000,9785033000.000000,29081000.000000,9755952000.000000,9785033000.000000,1703033306000.000000,1700394571000.000000,2638735000.000000,1703033306000.000000,58913169000.000000,2545035951000.000000,,,278918180000.000000,278918180000.000000,,278918180000.000000,1105608755000.000000,91681674000.000000,,91681674000.000000,247093000.000000,372557658000.000000,479780865000.000000,2328794225000.000000,4873830176000.000000,,,1010549008000.000000,319502534000.000000,44340019000.000000,,497363000.000000,38542688000.000000,39040051000.000000,66927615000.000000,24013162000.000000,,242666667000.000000,,274058960000.000000,516725627000.000000,,,1010549008000.000000,863928922000.000000,,627023986000.000000,61975850000.000000,688999836000.000000,,,,3250480000.000000,,171678606000.000000,863928922000.000000,1874477930000.000000,,765512633000.000000,257963521000.000000,1746791342000.000000,11000000000.000000,1735791342000.000000,1746791342000.000000,251914641000.000000,-22829891000.000000,2999352246000.000000,4873830176000.000000,7655126330.000000
12M 2018,,,338464403000.000000,163676564000.000000,,,163676564000.000000,21718296000.000000,29081000.000000,21689215000.000000,21718296000.000000,1964564297000.000000,1961840574000.000000,2723723000.000000,1964564297000.000000,287154372000.000000,2775577932000.000000,,93621327000.000000,597861688000.000000,597861688000.000000,,597861688000.000000,1106133060000.000000,5426549000.000000,,5426549000.000000,277414000.000000,366199466000.000000,248865304000.000000,2418384808000.000000,5193962740000.000000,,,901881810000.000000,182975000000.000000,58164616000.000000,,526721000.000000,27121568000.000000,27648289000.000000,38469873000.000000,51884773000.000000,,179541039000.000000,,363198220000.000000,542739259000.000000,,,901881810000.000000,853318523000.000000,,701340803000.000000,55684585000.000000,757025388000.000000,,,,3628271000.000000,,92664864000.000000,853318523000.000000,1755200333000.000000,,765512633000.000000,257963521000.000000,2161129321000.000000,13000000000.000000,2148129321000.000000,2161129321000.000000,272877899000.000000,-18720967000.000000,3438762407000.000000,5193962740000.000000,7655126330.000000
