Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,229249188332.000000,-161537907059.000000,67711281273.000000,-35164227198.000000,,-35164227198.000000,,-35164227198.000000,32547054075.000000,-52346344551.000000,-62999455873.000000,10653111322.000000,-52346344551.000000,-19799290476.000000,-1945575777.000000,,-21744866253.000000,710321350419.000000,688576484166.000000,-21744866253.000000,-21744866253.000000,,-21744866253.000000,688576484166.000000,688576484166.000000,,688576484166.000000
12M 2020,475252008248.000000,-472154978755.000000,3097029493.000000,-38557230115.000000,,-38557230115.000000,,-38557230115.000000,-35460200622.000000,-86766839735.000000,-92740931968.000000,5974092233.000000,-86766839735.000000,-122227040357.000000,20750745308.000000,,-101476295049.000000,20348002155.000000,-81128292894.000000,-101476295049.000000,-101476295049.000000,,-101476295049.000000,-81128292894.000000,-81128292894.000000,,-81128292894.000000
12M 2021,786686008070.000000,-653666250200.000000,133019757870.000000,-42896294848.000000,,-42896294848.000000,,-42896294848.000000,90123463022.000000,-66641921593.000000,-86185754147.000000,19543832554.000000,-66641921593.000000,23481541429.000000,14946694317.000000,,38428235746.000000,233698985004.000000,272127220750.000000,38428235746.000000,38428235746.000000,,38428235746.000000,272127220750.000000,272127220750.000000,,272127220750.000000
12M 2022,1007305060864.000000,-742883990213.000000,264421070651.000000,-30785253279.000000,,-69348856718.000000,38563603439.000000,-30785253279.000000,233635817372.000000,-44760612245.000000,-62603309677.000000,17842697432.000000,-44760612245.000000,188875205127.000000,-21628659747.000000,,167246545380.000000,25299653.000000,167271845033.000000,167246545379.000000,172151655670.000000,-4905110291.000000,167246545379.000000,167271845032.000000,172366972548.000000,-5095127516.000000,167271845032.000000
12M 2023,868456776538.000000,-622382327457.000000,246074449081.000000,-54138098652.000000,,-63808991753.000000,9670893101.000000,-54138098652.000000,191936350429.000000,-52537286296.000000,-50408782504.000000,-2128503792.000000,-52537286296.000000,139399064133.000000,-31342476544.000000,,108056587589.000000,88852154466.000000,196908742055.000000,108056587588.000000,108056587588.000000,,108056587588.000000,196908742054.000000,196908742054.000000,,196908742054.000000
12M 2024,738565449724.000000,-533597421763.000000,204968027961.000000,-54274474557.000000,,-44920855557.000000,-9353619000.000000,-54274474557.000000,150693553404.000000,-48870480810.000000,-43836197384.000000,-5034283426.000000,-48870480810.000000,101823072594.000000,-22641909865.000000,,79181162729.000000,87695742597.000000,166876905326.000000,79181162728.000000,79181162728.000000,,79181162728.000000,166876905325.000000,166876905325.000000,,166876905325.000000
