Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kas Kepada Karyawan,Pembayaran Bunga,Pembayaran Untuk Pajak-Pajak,Penerimaan Restitusi Pajak,Penerimaan Kas Lainnya,Pembayaran Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Untuk Perolehan Tanaman Produktif,Pembayaran Untuk Perolehan Tanaman Plasma,Penerimaan Piutang Plasma,Penerimaan Dari Pemberian Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Pembibitan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Sewa Pembiayaan,Penempatan Kas Yang Dibatasi Penggunaannya,Penambahan Modal Melalui Penawaran Umum Perdana Saham,Biaya Emisi,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Pembayaran Piutang Dari Pihak Berelasi,Pembayaran Piutang Kepada Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-19024306673.000000,213725872008.000000,-117074428188.000000,-28323794496.000000,-25163765124.000000,-62188190873.000000,,,,,-19024306673.000000,-245991326304.000000,-225104617546.000000,,-20886708758.000000,,,,,,-245991326304.000000,3367564686.000000,,-263003169.000000,,,589066396708.000000,,,-670281637956.000000,111711257966.000000,-26865448863.000000,3367564686.000000,-261648068291.000000,331437324226.000000,69789255935.000000
12M 2020,24100145102.000000,529657664652.000000,-318495529679.000000,-66872907336.000000,-27987532918.000000,-92201549617.000000,,,,,24100145102.000000,-85855767673.000000,-78334656470.000000,,-7521111203.000000,,,,,,-85855767673.000000,-3642837539.000000,,263003169.000000,103500000000.000000,-4669386873.000000,1980029953.000000,-46019000000.000000,,,10807566212.000000,-69505050000.000000,-3642837539.000000,-65398460110.000000,69789255935.000000,4390795825.000000
12M 2021,36234610971.000000,719713733535.000000,-435406695350.000000,,-95409152318.000000,-114596624334.000000,-21118882476.000000,,,-16947768086.000000,36234610971.000000,-41388595505.000000,-14461998628.000000,,-26926596877.000000,,,,,,-41388595505.000000,7824698766.000000,,,,,,-532282705846.000000,,,739739497038.000000,-199632092426.000000,7824698766.000000,2670714232.000000,4578677258.000000,7249391490.000000
12M 2022,213075287779.000000,1001401645385.000000,-608720450381.000000,-79189601607.000000,-55108792381.000000,-61951549576.000000,,,16644036339.000000,,213075287779.000000,-78820233399.000000,-45420846603.000000,,-31647886796.000000,,,,-1751500000.000000,,-78820233399.000000,-105605137514.000000,,,,,,-99709749996.000000,,,,-5895387518.000000,-105605137514.000000,28649916866.000000,7249391491.000000,35899308357.000000
12M 2023,355175776509.000000,870444401501.000000,-366515019797.000000,-41667800788.000000,-45250134088.000000,-46648522975.000000,-40588575156.000000,24673360289.000000,728067523.000000,,355175776509.000000,-344986421609.000000,-146359217693.000000,2000000000.000000,-207021350763.000000,,,6394146847.000000,,,-344986421609.000000,29498524109.000000,,,,,,-122982000003.000000,,,159197624229.000000,-6717100117.000000,29498524109.000000,39687879009.000000,35899308357.000000,75587187366.000000
12M 2024,111433943116.000000,586701190930.000000,-343659852017.000000,-30013131123.000000,-14105408505.000000,-40413160625.000000,-48881396646.000000,1805701102.000000,,,111433943116.000000,-39457096079.000000,-14732325605.000000,,-24724770474.000000,,,,,,-39457096079.000000,-133331748900.000000,,,,,,-81920304487.000000,,,92977826260.000000,-144389270673.000000,-133331748900.000000,-61354901863.000000,75587187366.000000,14232285503.000000
