Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5105014871000.000000,-4305522822000.000000,799492049000.000000,-392917419000.000000,,-392917419000.000000,406574630000.000000,-98457579000.000000,-13981948000.000000,-64490796000.000000,,-27932073000.000000,5307671000.000000,2639567000.000000,-98457579000.000000,,308117051000.000000,-44480815000.000000,263636236000.000000,-94512792000.000000,169123444000.000000,,169123444000.000000,169123444000.000000,263636236000.000000,-94512792000.000000,169123444000.000000,169123444000.000000,169123444000.000000,,169123444000.000000
12M 2009,4262046802000.000000,-3880950948000.000000,381095854000.000000,-359093353000.000000,,-359093353000.000000,22002501000.000000,-20640378000.000000,18436253000.000000,-81219282000.000000,,38860363000.000000,1078661000.000000,2203627000.000000,-20640378000.000000,,1362123000.000000,-46147610000.000000,-44785487000.000000,29155423000.000000,-15630064000.000000,,-15630064000.000000,-15630064000.000000,-44785487000.000000,29155423000.000000,-15630064000.000000,-15630064000.000000,-15630064000.000000,,-15630064000.000000
12M 2010,4333219969000.000000,-3807536671000.000000,525683298000.000000,-347868033000.000000,,-347868033000.000000,177815265000.000000,-52141048000.000000,11988604000.000000,-92496254000.000000,,6351816000.000000,3989257000.000000,18025529000.000000,-52141048000.000000,,125674217000.000000,-27164198000.000000,98510019000.000000,-30768033000.000000,67741986000.000000,,67741986000.000000,67741986000.000000,98510019000.000000,-30768033000.000000,67741986000.000000,67741986000.000000,67741986000.000000,,67741986000.000000
12M 2011,5119744354000.000000,-4526580593000.000000,593163761000.000000,-383743917000.000000,,-383743917000.000000,209419844000.000000,-23599707000.000000,9486561000.000000,-118118893000.000000,13262758000.000000,6206947000.000000,50117335000.000000,15445585000.000000,-23599707000.000000,,185820137000.000000,-43875311000.000000,141944826000.000000,,141944826000.000000,-12446312000.000000,129498514000.000000,141944826000.000000,97864474000.000000,44080352000.000000,141944826000.000000,129498514000.000000,80742592000.000000,48755922000.000000,129498514000.000000
12M 2012,614030999.000000,-548572804.000000,65458195.000000,-42547620.000000,,-42547620.000000,22910575.000000,-5756881.000000,1538793.000000,-15033374.000000,850822.000000,1408058.000000,,5478820.000000,-5756881.000000,,17153694.000000,-7748808.000000,9404886.000000,,9404886.000000,-4866881.000000,4538005.000000,9404886.000000,7398506.000000,2006380.000000,9404886.000000,4538005.000000,2641127.000000,1896878.000000,4538005.000000
12M 2013,537577762.000000,-485993630.000000,51584132.000000,-37763120.000000,,-37763120.000000,13821012.000000,-179852.000000,1515312.000000,-14414082.000000,796169.000000,4459701.000000,,7463048.000000,-179852.000000,,13641160.000000,-6904024.000000,6737136.000000,,6737136.000000,-13590829.000000,-6853693.000000,6737136.000000,7326956.000000,-589820.000000,6737136.000000,-6853693.000000,-6523795.000000,-329898.000000,-6853693.000000
12M 2014,510278202.000000,-434623701.000000,75654501.000000,-36734666.000000,,-36734666.000000,38919835.000000,-11071397.000000,1952071.000000,-12181487.000000,860581.000000,1562772.000000,,-3265334.000000,-11071397.000000,,27848438.000000,-6589644.000000,21258794.000000,,21258794.000000,-1759820.000000,19498974.000000,21258794.000000,16094455.000000,5164339.000000,21258794.000000,19498974.000000,14324267.000000,5174707.000000,19498974.000000
12M 2015,451126030.000000,-383742346.000000,67383684.000000,-35122580.000000,-35122580.000000,-35122580.000000,32261104.000000,-16730473.000000,1420847.000000,-10319789.000000,1028955.000000,4709981.000000,,-13570467.000000,-16730473.000000,,15530631.000000,-5591395.000000,9939236.000000,,9939236.000000,-4820388.000000,5118848.000000,9939236.000000,8106078.000000,1833158.000000,9939236.000000,5118848.000000,2567897.000000,2550951.000000,5118848.000000
12M 2016,406437733.000000,-343870736.000000,62566997.000000,-36384444.000000,-36384444.000000,-36384444.000000,26182553.000000,-16055350.000000,1807852.000000,-9839399.000000,951033.000000,748011.000000,,-9722847.000000,-16055350.000000,,10127203.000000,507740.000000,10634943.000000,,10634943.000000,2113674.000000,12748617.000000,10634943.000000,12267485.000000,-1632542.000000,10634943.000000,12748617.000000,13410723.000000,-662106.000000,12748617.000000
12M 2017,430754674.000000,-365863962.000000,64890712.000000,-40679820.000000,-40679820.000000,-40679820.000000,24210892.000000,-7065821.000000,149744.000000,-9549359.000000,1132030.000000,588311.000000,,613453.000000,-7065821.000000,,17145071.000000,-5608023.000000,11537048.000000,,11537048.000000,1275365.000000,12812413.000000,11537048.000000,9679810.000000,1857238.000000,11537048.000000,12812413.000000,10757728.000000,2054685.000000,12812413.000000
12M 2018,482446122.000000,-418642809.000000,63803313.000000,-41399798.000000,-41399798.000000,-41399798.000000,22403515.000000,-9810383.000000,729600.000000,-11385834.000000,1078857.000000,-704416.000000,,471410.000000,-9810383.000000,,12593132.000000,-5179399.000000,7413733.000000,,7413733.000000,-4102056.000000,3311677.000000,7413733.000000,7299488.000000,114245.000000,7413733.000000,3311677.000000,2109007.000000,1202670.000000,3311677.000000
12M 2019,438865360.000000,-379262833.000000,59602527.000000,-41665897.000000,-41665897.000000,-41665897.000000,17936630.000000,-72991989.000000,1544499.000000,-11442359.000000,1334830.000000,1286027.000000,,-65714986.000000,-72991989.000000,,-55055359.000000,-5162519.000000,-60217878.000000,,-60217878.000000,4441577.000000,-55776301.000000,-60217878.000000,-38361700.000000,-21856178.000000,-60217878.000000,-55776301.000000,-32363855.000000,-23412446.000000,-55776301.000000
12M 2020,490839680.000000,-424619674.000000,66220006.000000,-41688743.000000,-41688743.000000,-41688743.000000,24531263.000000,-24190630.000000,1716284.000000,-10351653.000000,1066479.000000,-521092.000000,-13710406.000000,-2390242.000000,-24190630.000000,,340633.000000,-2661513.000000,-2320880.000000,,-2320880.000000,-123861.000000,-2444741.000000,-2320880.000000,-3341473.000000,1020593.000000,-2320880.000000,-2444741.000000,-3719673.000000,1274932.000000,-2444741.000000
12M 2021,672918136.000000,-483085367.000000,189832769.000000,-45372111.000000,-45372111.000000,-45372111.000000,144460658.000000,-2074526.000000,2447274.000000,-10346621.000000,714537.000000,1779217.000000,1835497.000000,1495570.000000,-2074526.000000,,142386132.000000,-3308968.000000,139077164.000000,,139077164.000000,5129799.000000,144206963.000000,139077164.000000,93024433.000000,46052731.000000,139077164.000000,144206963.000000,97267941.000000,46939022.000000,144206963.000000
12M 2022,1150960031.000000,-756857399.000000,394102632.000000,-53259701.000000,-53259701.000000,-53259701.000000,340842931.000000,-8390547.000000,2546241.000000,-13294024.000000,3161653.000000,496423.000000,428868.000000,-1729708.000000,-8390547.000000,,332452384.000000,-5454793.000000,326997591.000000,,326997591.000000,-12521025.000000,314476566.000000,326997591.000000,212694879.000000,114302712.000000,326997591.000000,314476566.000000,201151348.000000,113325218.000000,314476566.000000
12M 2023,772404229.000000,-618638667.000000,153765562.000000,-49801698.000000,-49801698.000000,-49801698.000000,103963864.000000,14587618.000000,6068652.000000,-22402552.000000,13960646.000000,4104738.000000,534672.000000,12321462.000000,14587618.000000,,118551482.000000,-8554942.000000,109996540.000000,,109996540.000000,4093912.000000,114090452.000000,109996540.000000,74588339.000000,35408201.000000,109996540.000000,114090452.000000,78698710.000000,35391742.000000,114090452.000000
12M 2024,737405211.000000,-587997004.000000,149408207.000000,-52924317.000000,-52924317.000000,-52924317.000000,96483890.000000,-11776053.000000,-7744157.000000,-26135316.000000,16587024.000000,5217540.000000,1018399.000000,-719543.000000,-11776053.000000,,84707837.000000,-7728522.000000,76979315.000000,,76979315.000000,-7352968.000000,69626347.000000,76979315.000000,50702939.000000,26276376.000000,76979315.000000,69626347.000000,43551414.000000,26074933.000000,69626347.000000
