Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Karyawan,Pemasok,Total Pembayaran Kas Kepada:,Adjustment,Penerimaan Bunga,Penerimaan Restetusi Pajak,Pembayaran Kas Untuk:,Beban Bunga,Pajak,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pencairan Aset Keuangan Lainnya,Penempatan Aset Keuangan Lainnya,Akuisisi Entitas Asosiasi,Penempatan Saham Perusahaan Asosiasi,Penerimaan Pelepasan Saham Perusahaan Asosiasi,Penambahan Investasi Pada Entitas Asosiasi,Kenaikan (Penurunan) Penyertaan Saham,Penerimaan Atas Pengembalian Penyertaan Saham,Perolehan Aset Berdasarkan Perjanjian Bangun Kelola Alih,Kas Dan Setara Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Deviden Diperoleh Dari Perusahaan Asosiasi Dan Investasi Lainnya,Penurunan (Kenaikan) Piutang Lain-Lain Dari Pihak Berelasi,Penurunan (Kenaikan) Penempatan Jangka Pendek,Kenaikan (Penurunan) Aset Tidak Lancar Lain-Lain,Hasil Penjualan Aset Yang Dimiliki Untuk Dijual,Pencairan (Penempatan) Jaminan Bank,Penambahan Beban Ditangguhkan,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Dari:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Sukuk Ijarah,Liabilitas Sewa Hak Guna,Total Penambahan Dari:,Pembayaran:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Sukuk Ijarah,Liabilitas Sewa Hak Guna,Total Pembayaran:,Pembayaran Deviden:,Perusahaan,Entitas Anak - Kepentingan Non-Pengendali,Total Pembayaran Deviden:,Penurunan Hutang Lain-Lain Kepada Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,645775022000.000000,5006771540000.000000,-4247024062000.000000,,,-4247024062000.000000,,21997154000.000000,,,-83528234000.000000,-52441376000.000000,-135969610000.000000,645775022000.000000,-1168003673000.000000,-751531618000.000000,40930885000.000000,,,,,,,,305188000.000000,,-70989600000.000000,,3161231000.000000,-7094781000.000000,28718549000.000000,-411420863000.000000,,,-82664000.000000,,-1168003673000.000000,546684248000.000000,,590391120000.000000,638223204000.000000,,,,1228614324000.000000,,-371191009000.000000,-243274658000.000000,,,,-614465667000.000000,,-32751200000.000000,-19137855000.000000,-51889055000.000000,-15575354000.000000,,546684248000.000000,,24455597000.000000,959552137000.000000,,,984007734000.000000
12M 2009,227582126000.000000,4402611231000.000000,-4038363943000.000000,,,-4038363943000.000000,,9175373000.000000,,,-90394654000.000000,-55445881000.000000,-145840535000.000000,227582126000.000000,-959435556000.000000,-297095539000.000000,10324926000.000000,,,,,,,,,,-219003471000.000000,,3506926000.000000,-5003801000.000000,5547823000.000000,-455638352000.000000,,,-2074068000.000000,,-959435556000.000000,368323744000.000000,,211245828000.000000,495300497000.000000,,,,706546325000.000000,,-78693326000.000000,-202288298000.000000,,,,-280981624000.000000,,-36845100000.000000,-19525379000.000000,-56370479000.000000,-870478000.000000,,368323744000.000000,,-363529686000.000000,984007734000.000000,,,620478048000.000000
12M 2010,261824330000.000000,4270499100000.000000,-3848976597000.000000,,,-3848976597000.000000,,8101470000.000000,,,-113875318000.000000,-53924325000.000000,-167799643000.000000,261824330000.000000,-271286356000.000000,-287138881000.000000,6627149000.000000,,,,,,,,,,-21900230000.000000,,,23385408000.000000,3277433000.000000,7371508000.000000,,,-2908743000.000000,,-271286356000.000000,-66798118000.000000,,63118350000.000000,123153565000.000000,,,,186271915000.000000,,-23124372000.000000,-229506636000.000000,,,,-252631008000.000000,,,-660000000.000000,-660000000.000000,220975000.000000,,-66798118000.000000,,-76260144000.000000,620478048000.000000,,,544217904000.000000
12M 2011,190785202000.000000,-242173326000.000000,575741184000.000000,,,575741184000.000000,,20119574000.000000,,,-111818492000.000000,-51083738000.000000,-162902230000.000000,190785202000.000000,-918546019000.000000,-925854114000.000000,72412451000.000000,-43034167000.000000,11057234000.000000,-18609053000.000000,,,1208848000.000000,,,,-21248181000.000000,,705249000.000000,,,,,4815714000.000000,,,-918546019000.000000,569057637000.000000,,,987794719000.000000,149970000000.000000,,,1137764719000.000000,,-134865000000.000000,-395986149000.000000,-4025632000.000000,,,-534876781000.000000,,-26200960000.000000,-7629341000.000000,-33830301000.000000,,,569057637000.000000,,-158703180000.000000,544217904000.000000,,,385514724000.000000
12M 2012,38776650.000000,606062387.000000,,-60545935.000000,-485845371.000000,-546391306.000000,,850822.000000,,,-14901625.000000,-6843628.000000,-21745253.000000,38776650.000000,-18513798.000000,-35428308.000000,11810463.000000,-1003891.000000,5462100.000000,,,,,,,,,,645838.000000,,,,,,,,-18513798.000000,-22851533.000000,,5444289.000000,26424322.000000,,,,31868611.000000,,-5802089.000000,-44183650.000000,-719954.000000,,,-50705693.000000,,-3506986.000000,-507465.000000,-4014451.000000,,,-22851533.000000,,-2588681.000000,42648008.000000,-451118.000000,,39608209.000000
12M 2013,47303187.000000,547380178.000000,,-56465072.000000,-422949813.000000,-479414885.000000,,796169.000000,,,-14355665.000000,-7102610.000000,-21458275.000000,47303187.000000,-2131423.000000,-9755436.000000,9076919.000000,,,-458689.000000,,,,-2369217.000000,,,,,1375000.000000,,,,,,,,-2131423.000000,-33962210.000000,,,39696718.000000,,,,39696718.000000,,-3711596.000000,-66107274.000000,-1010105.000000,,,-70828975.000000,,-2456576.000000,-373377.000000,-2829953.000000,,,-33962210.000000,,11209554.000000,39608209.000000,-2467412.000000,,48350351.000000
12M 2014,66168387.000000,520028105.000000,,-51281815.000000,-386261085.000000,-437542900.000000,,860581.000000,,,-12440184.000000,-4737215.000000,-17177399.000000,66168387.000000,-11217091.000000,-13407217.000000,2928192.000000,-168305.000000,667654.000000,,,,,-2621385.000000,,,,,1383970.000000,,,,,,,,-11217091.000000,-35578842.000000,,1051790.000000,424082.000000,,,,1475872.000000,,,-32963185.000000,-1324947.000000,,,-34288132.000000,,-2396957.000000,-369625.000000,-2766582.000000,,,-35578842.000000,,19372454.000000,48350351.000000,-302873.000000,,67419932.000000
12M 2015,41526450.000000,448163243.000000,,-63773179.000000,-324543820.000000,-388316999.000000,,1028955.000000,,,-10381715.000000,-8967034.000000,-19348749.000000,41526450.000000,-8873994.000000,-11325465.000000,679767.000000,-283474.000000,,-3641904.000000,,,,-504243.000000,,,,,1320749.000000,,,,4880576.000000,,,,-8873994.000000,-38649290.000000,,38509249.000000,12528945.000000,,,,51038194.000000,,-34544895.000000,-47923899.000000,-326921.000000,,,-82795715.000000,,-4391972.000000,-2499797.000000,-6891769.000000,,,-38649290.000000,,-5996834.000000,67419932.000000,-655634.000000,,60767464.000000
12M 2016,45893085.000000,407735540.000000,,-53541981.000000,-288458490.000000,-342000471.000000,,951033.000000,,,-9839399.000000,-10953618.000000,-20793017.000000,45893085.000000,-21618006.000000,-30393390.000000,1177711.000000,-1416230.000000,6669286.000000,,,,,-395858.000000,,,,,1341100.000000,,,,1399375.000000,,,,-21618006.000000,-15881402.000000,,7645819.000000,18406944.000000,,,,26052763.000000,,-3547110.000000,-31957911.000000,-738429.000000,,,-36243450.000000,,-4680150.000000,-1010565.000000,-5690715.000000,,,-15881402.000000,,8393677.000000,60767464.000000,1014343.000000,,70175484.000000
12M 2017,25503745.000000,408669173.000000,,-54134634.000000,-313238501.000000,-367373135.000000,,1132030.000000,,,-9724489.000000,-7199834.000000,-16924323.000000,25503745.000000,-6517324.000000,-20150571.000000,1261616.000000,-3210688.000000,1562469.000000,,,-1148779.000000,,,,,,,1488000.000000,,,,13680629.000000,,,,-6517324.000000,-17685132.000000,,29632918.000000,11811876.000000,,,,41444794.000000,,-19311270.000000,-32546765.000000,-292233.000000,,,-52150268.000000,,-6117880.000000,-861778.000000,-6979658.000000,,,-17685132.000000,,1301289.000000,70175484.000000,1912824.000000,,73389597.000000
