Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Others,Total Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Sukuk Ijarah,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Sukuk Ijarah,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,984007734000.000000,723055401000.000000,710876620000.000000,12178781000.000000,723055401000.000000,1135534000.000000,,,1135534000.000000,24316139000.000000,,199386046000.000000,1931900854000.000000,,59509046000.000000,20092795000.000000,37424426000.000000,1787888000.000000,3144234878000.000000,3144234878000.000000,3144234878000.000000,733118995000.000000,3996168028000.000000,5928068882000.000000,,,1266341085000.000000,346100822000.000000,,,356241191000.000000,10790512000.000000,367031703000.000000,16434226000.000000,,,16434226000.000000,214319268000.000000,46176562000.000000,,252609453000.000000,2215314000.000000,,,254824767000.000000,,21453737000.000000,1266341085000.000000,1802713649000.000000,2314936000.000000,,1723536975000.000000,12077631000.000000,,,1735614606000.000000,,14562879000.000000,50221228000.000000,1802713649000.000000,3069054734000.000000,,81878000000.000000,33351220000.000000,1223597323000.000000,764004639000.000000,756182966000.000000,2859014148000.000000,5928068882000.000000,163756000.000000
12M 2009,,,620478048000.000000,604459514000.000000,585429002000.000000,19030512000.000000,604459514000.000000,10995660000.000000,,,10995660000.000000,28923098000.000000,,221906249000.000000,1486762569000.000000,,64512847000.000000,22370577000.000000,110792826000.000000,857493000.000000,2838317576000.000000,2838317576000.000000,2838317576000.000000,1254585126000.000000,4291436445000.000000,5778199014000.000000,,,1291038720000.000000,421900872000.000000,,,392796622000.000000,4868404000.000000,397665026000.000000,31959873000.000000,,,31959873000.000000,143538880000.000000,48205443000.000000,,215752292000.000000,1954808000.000000,,,217707100000.000000,,30061526000.000000,1291038720000.000000,2034648867000.000000,7366566000.000000,,1945410000000.000000,8487539000.000000,,,1953897539000.000000,,15567821000.000000,57816941000.000000,2034648867000.000000,3325687587000.000000,,81878000000.000000,33351220000.000000,1171122159000.000000,716008598000.000000,450151450000.000000,2452511427000.000000,5778199014000.000000,163756000.000000
12M 2010,,,544217904000.000000,658090266000.000000,651910929000.000000,6179337000.000000,658090266000.000000,70258218000.000000,29130779000.000000,41127439000.000000,70258218000.000000,37011258000.000000,,234294607000.000000,1543872253000.000000,,,24343621000.000000,104456766000.000000,697532000.000000,3569855999000.000000,,3569855999000.000000,429991050000.000000,4129344968000.000000,5673217221000.000000,,,1317096425000.000000,444770650000.000000,,,323674143000.000000,11888638000.000000,335562781000.000000,,61622473000.000000,7587541000.000000,69210014000.000000,213205428000.000000,35403939000.000000,,188636608000.000000,2916577000.000000,,,191553185000.000000,,27390428000.000000,1317096425000.000000,1912959573000.000000,,,1832845087000.000000,9620569000.000000,,,1842465656000.000000,,4763139000.000000,65730778000.000000,1912959573000.000000,3230055998000.000000,,81878000000.000000,33351220000.000000,1238864145000.000000,711704521000.000000,377363337000.000000,2443161223000.000000,5673217221000.000000,163756000.000000
12M 2011,,,385514724000.000000,821500012000.000000,812194344000.000000,9305668000.000000,821500012000.000000,98897172000.000000,64153789000.000000,34743383000.000000,98897172000.000000,50869278000.000000,,275381255000.000000,1632162441000.000000,,,36899196000.000000,71580791000.000000,457588000.000000,4270638124000.000000,,4270638124000.000000,467826898000.000000,4847402597000.000000,6479565038000.000000,,,1541887825000.000000,461508200000.000000,,,421349562000.000000,7549001000.000000,428898563000.000000,,8618734000.000000,3037679000.000000,11656413000.000000,252484454000.000000,43821597000.000000,,292051588000.000000,4013054000.000000,,,296064642000.000000,,47453956000.000000,1541887825000.000000,2398847777000.000000,,,2309840076000.000000,8290404000.000000,,,2318130480000.000000,,10617358000.000000,70099939000.000000,2398847777000.000000,3940735602000.000000,,81878000000.000000,33351220000.000000,1310527659000.000000,752831102000.000000,360241455000.000000,2538829436000.000000,6479565038000.000000,163756000.000000
12M 2012,,,39608209.000000,97195817.000000,95119713.000000,2076104.000000,97195817.000000,15675688.000000,11545124.000000,4130564.000000,15675688.000000,6508813.000000,,26945714.000000,185934241.000000,,,3530974.000000,8171723.000000,250407.000000,499717086.000000,,499717086.000000,6775118.000000,518445308.000000,704379549.000000,,,180965713.000000,49630285.000000,,,50796678.000000,2343174.000000,53139852.000000,,1575753.000000,546137.000000,2121890.000000,29216615.000000,5040423.000000,,37492588.000000,844991.000000,,,38337579.000000,,3479069.000000,180965713.000000,239389480.000000,,,228324042.000000,1425924.000000,,,229749966.000000,,1959702.000000,7679812.000000,239389480.000000,420355193.000000,,47460340.000000,3633559.000000,140621878.000000,87818533.000000,4490046.000000,284024356.000000,704379549.000000,163756000.000000
12M 2013,,,48350351.000000,93739636.000000,89993933.000000,3745703.000000,93739636.000000,7838504.000000,5649588.000000,2188916.000000,7838504.000000,6346366.000000,,23864379.000000,180139236.000000,,,2971643.000000,12649735.000000,864730.000000,445365207.000000,,445365207.000000,3949077.000000,465800392.000000,645939628.000000,,,170893945.000000,43628054.000000,,,50579672.000000,1937373.000000,52517045.000000,,989085.000000,578822.000000,1567907.000000,26112243.000000,4147315.000000,,32178806.000000,917271.000000,,,33096077.000000,,9825304.000000,170893945.000000,199511808.000000,,,191397947.000000,439993.000000,,,191837940.000000,,1870933.000000,5802935.000000,199511808.000000,370405753.000000,,47460340.000000,3488284.000000,145508483.000000,88292198.000000,-9215430.000000,275533875.000000,645939628.000000,163756000.000000
12M 2014,,,67419932.000000,83161842.000000,76245400.000000,6916442.000000,83161842.000000,5024673.000000,3410300.000000,1614373.000000,5024673.000000,4947782.000000,,22901440.000000,183455669.000000,,,2795299.000000,15813986.000000,720361.000000,418069338.000000,,418069338.000000,2561486.000000,439960470.000000,623416139.000000,,,165938961.000000,44481994.000000,,,40039003.000000,1082176.000000,41121179.000000,,3310674.000000,480369.000000,3791043.000000,28799632.000000,5286244.000000,,33184490.000000,276966.000000,,,33461456.000000,,8997413.000000,165938961.000000,165186101.000000,,,156732100.000000,183533.000000,,,156915633.000000,,2478367.000000,5792101.000000,165186101.000000,331125062.000000,,47460340.000000,3488284.000000,159189656.000000,93138415.000000,-10985618.000000,292291077.000000,623416139.000000,163756000.000000
12M 2015,,,60767464.000000,85802677.000000,79222957.000000,6579720.000000,85802677.000000,3642957.000000,2368318.000000,1274639.000000,3642957.000000,4276557.000000,,27610478.000000,182100133.000000,,,1474856.000000,15998340.000000,682353.000000,367939789.000000,,367939789.000000,4980723.000000,391076061.000000,573176194.000000,,,156004189.000000,47777891.000000,,,33975978.000000,1369783.000000,35345761.000000,,956140.000000,562556.000000,1518696.000000,25512412.000000,4521909.000000,,32371779.000000,280281.000000,,,32652060.000000,,8675460.000000,156004189.000000,124510454.000000,,,116233791.000000,459403.000000,,,116693194.000000,,3017154.000000,4800106.000000,124510454.000000,280514643.000000,,47460340.000000,3488284.000000,160227030.000000,93619044.000000,-12133147.000000,292661551.000000,573176194.000000,163756000.000000
12M 2016,,,70175484.000000,82182055.000000,73351669.000000,8830386.000000,82182055.000000,2014077.000000,1250748.000000,763329.000000,2014077.000000,3477956.000000,,19500057.000000,177349629.000000,,,7935613.000000,18246185.000000,656795.000000,361506208.000000,,361506208.000000,6202866.000000,394547667.000000,571897296.000000,,,163264907.000000,51876600.000000,,,35199528.000000,1868656.000000,37068184.000000,,647707.000000,1709499.000000,2357206.000000,27840547.000000,3637958.000000,,32089789.000000,279106.000000,,,32368895.000000,,8115517.000000,163264907.000000,108883446.000000,,,102964815.000000,208661.000000,,,103173476.000000,,743425.000000,4966545.000000,108883446.000000,272148353.000000,,47460340.000000,3488284.000000,167814365.000000,91975863.000000,-10989909.000000,299748943.000000,571897296.000000,163756000.000000
12M 2017,,,73389597.000000,106811288.000000,95739685.000000,11071603.000000,106811288.000000,2458371.000000,1623081.000000,835290.000000,2458371.000000,3137857.000000,,27301416.000000,213098529.000000,,,6582728.000000,19357890.000000,631237.000000,338632548.000000,,338632548.000000,10484721.000000,375689124.000000,588787653.000000,,,188729175.000000,62182906.000000,,,40349191.000000,3072128.000000,43421319.000000,,3077626.000000,2120868.000000,5198494.000000,33408730.000000,3941735.000000,,27368665.000000,251945.000000,,,27620610.000000,,12955381.000000,188729175.000000,94075398.000000,,,87176382.000000,142712.000000,,,87319094.000000,,709970.000000,6046334.000000,94075398.000000,282804573.000000,,47460340.000000,3488284.000000,171347639.000000,93598808.000000,-9911991.000000,305983080.000000,588787653.000000,3275120000.000000
12M 2018,,,55627181.000000,129135879.000000,116328826.000000,12807053.000000,129135879.000000,5700251.000000,4169022.000000,1531229.000000,5700251.000000,3076328.000000,,27102929.000000,220642568.000000,,,5827149.000000,20671565.000000,605679.000000,342504886.000000,,342504886.000000,9538899.000000,379148178.000000,599790746.000000,,,201448507.000000,61475786.000000,,,51779095.000000,3551722.000000,55330817.000000,,1357076.000000,1978048.000000,3335124.000000,33019427.000000,3332045.000000,,19222913.000000,445231.000000,,,19668144.000000,,25287164.000000,201448507.000000,91709771.000000,,,84804070.000000,740175.000000,,,85544245.000000,,616120.000000,5549406.000000,91709771.000000,293158278.000000,,47460340.000000,3488284.000000,174099612.000000,96686704.000000,-15102472.000000,306632468.000000,599790746.000000,3275120000.000000
12M 2019,,,68955581.000000,117504821.000000,99956682.000000,17548139.000000,117504821.000000,3742724.000000,1894877.000000,1847847.000000,3742724.000000,2880123.000000,,30165395.000000,223248644.000000,,,5897598.000000,23235912.000000,1191064.000000,250260123.000000,,250260123.000000,13391922.000000,293976619.000000,517225263.000000,,,176004127.000000,52263846.000000,,,50676583.000000,3144293.000000,53820876.000000,,750046.000000,1766376.000000,2516422.000000,32644703.000000,2786963.000000,,19167635.000000,872391.000000,,,20040026.000000,,11931291.000000,176004127.000000,94399262.000000,,,85546851.000000,1688788.000000,,,87235639.000000,,689118.000000,6474505.000000,94399262.000000,270403389.000000,,47460340.000000,3488284.000000,132040867.000000,72937010.000000,-9104627.000000,246821874.000000,517225263.000000,3275120000.000000
12M 2020,,,104192237.000000,103918533.000000,87183941.000000,16734592.000000,103918533.000000,4827068.000000,2290117.000000,2536951.000000,4827068.000000,2692328.000000,,33024806.000000,248654972.000000,,,6204789.000000,24617492.000000,1115777.000000,213123823.000000,,213123823.000000,80427287.000000,325489168.000000,574144140.000000,,,192089546.000000,53774176.000000,,,44872884.000000,2657924.000000,47530808.000000,,350178.000000,2495893.000000,2846071.000000,40722406.000000,2951231.000000,,20720741.000000,679405.000000,,9467886.000000,30868032.000000,,13396822.000000,192089546.000000,140284141.000000,,,79351825.000000,484084.000000,,53523533.000000,133359442.000000,,363986.000000,6560713.000000,140284141.000000,332373687.000000,,47460340.000000,3488284.000000,125808498.000000,72871045.000000,-7857714.000000,241770453.000000,574144140.000000,3275120000.000000
12M 2021,,,234790065.000000,160027271.000000,146730532.000000,13296739.000000,160027271.000000,6203328.000000,2624480.000000,3578848.000000,6203328.000000,2939151.000000,,25489240.000000,429449055.000000,,,6028764.000000,26493428.000000,1009920.000000,206265701.000000,,206265701.000000,159934348.000000,399732161.000000,829181216.000000,,,296637740.000000,54475345.000000,,,55775442.000000,3456799.000000,59232241.000000,,926812.000000,6194447.000000,7121259.000000,67434981.000000,3538357.000000,,18920792.000000,492080.000000,,65987372.000000,85400244.000000,,19435313.000000,296637740.000000,150753303.000000,,,68828532.000000,615551.000000,,75314811.000000,144758894.000000,,1066972.000000,4927437.000000,150753303.000000,447391043.000000,,47460340.000000,3740183.000000,216573604.000000,117630252.000000,-3614206.000000,381790173.000000,829181216.000000,3275120000.000000
12M 2022,,,416995130.000000,189547938.000000,181078770.000000,8469168.000000,189547938.000000,4910389.000000,2101925.000000,2808464.000000,4910389.000000,3420283.000000,,37180190.000000,652053930.000000,,,5395543.000000,40909762.000000,932851.000000,279954631.000000,,279954631.000000,174169296.000000,501362083.000000,1153416013.000000,,,318955610.000000,19857106.000000,,,62247760.000000,3041036.000000,65288796.000000,,2294785.000000,12441514.000000,14736299.000000,96013548.000000,3816241.000000,,19161698.000000,,,82976452.000000,102138150.000000,,17105470.000000,318955610.000000,187977758.000000,,,107996694.000000,,,73561801.000000,181558495.000000,,843713.000000,5575550.000000,187977758.000000,506933368.000000,,47460340.000000,3899258.000000,407211565.000000,203069219.000000,-15157737.000000,646482645.000000,1153416013.000000,3275120000.000000
12M 2023,,,387822048.000000,123548179.000000,111756766.000000,11791413.000000,123548179.000000,6229727.000000,3352305.000000,2877422.000000,6229727.000000,3178624.000000,,68877268.000000,589655846.000000,,,5282214.000000,45687881.000000,897881.000000,414336506.000000,,414336506.000000,201103047.000000,667307529.000000,1256963375.000000,,,245618976.000000,12013278.000000,13595977.000000,,48333683.000000,6194704.000000,54528387.000000,,1352402.000000,9490679.000000,10843081.000000,65282348.000000,3863576.000000,,23977914.000000,,,42913574.000000,66891488.000000,,18600841.000000,245618976.000000,325830612.000000,,,149305477.000000,,,147065022.000000,296370499.000000,21799877.000000,2059860.000000,5600376.000000,325830612.000000,571449588.000000,,47460340.000000,3899258.000000,444797706.000000,200403849.000000,-11047366.000000,685513787.000000,1256963375.000000,16375600000.000000
12M 2024,,,333175004.000000,128367797.000000,118937053.000000,9430744.000000,128367797.000000,6488768.000000,3970334.000000,2518434.000000,6488768.000000,4339659.000000,,138180332.000000,610551560.000000,,,4611626.000000,36725558.000000,513793.000000,459488658.000000,,459488658.000000,176798560.000000,678138195.000000,1288689755.000000,,,224669907.000000,11285319.000000,,,48337662.000000,5758088.000000,54095750.000000,,1186471.000000,13868255.000000,15054726.000000,57866533.000000,3509003.000000,,28952923.000000,,,35082354.000000,64035277.000000,,18823299.000000,224669907.000000,336806803.000000,,,183801852.000000,,,124625967.000000,308427819.000000,20828054.000000,1792851.000000,5758079.000000,336806803.000000,561476710.000000,,47460340.000000,3899258.000000,481493120.000000,212559218.000000,-18198891.000000,727213045.000000,1288689755.000000,16375600000.000000
