Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,498446902000.000000,319067000.000000,310276000.000000,8791000.000000,319067000.000000,,,,,116659715000.000000,45281082000.000000,660706766000.000000,,518007605000.000000,803064000.000000,,19068969000.000000,537879638000.000000,1198586404000.000000,,,171390771000.000000,,48489994000.000000,12278977000.000000,60768971000.000000,,,,,2765620000.000000,24429335000.000000,28958392000.000000,14090469000.000000,,,,,,40377984000.000000,171390771000.000000,73057226000.000000,14655758000.000000,27000000000.000000,,,,,,,31401468000.000000,73057226000.000000,244447997000.000000,,640000000000.000000,,314138409000.000000,15625886000.000000,298512523000.000000,314138409000.000000,,,954138409000.000000,1198586406000.000000,9837678500.000000
12M 2013,,,1882847828000.000000,35736258000.000000,35608067000.000000,128191000.000000,35736258000.000000,,,,,132308906000.000000,55748395000.000000,2106641387000.000000,,589671589000.000000,754260000.000000,,14349099000.000000,604774948000.000000,2711416335000.000000,,,193631286000.000000,,62650827000.000000,5323460000.000000,67974287000.000000,,,,,,22705788000.000000,48837585000.000000,13500000000.000000,,,,,,40613626000.000000,193631286000.000000,50828295000.000000,13070272000.000000,13500000000.000000,,,,,,,24258023000.000000,50828295000.000000,244459581000.000000,,983767850000.000000,1034031977000.000000,449156927000.000000,136973091000.000000,312183836000.000000,449156927000.000000,,,2466956754000.000000,2711416335000.000000,9837678500.000000
12M 2014,,,2053923878000.000000,80553246000.000000,76654031000.000000,3899215000.000000,80553246000.000000,,,,,187421121000.000000,13870502000.000000,2335768747000.000000,,557907013000.000000,3329479000.000000,,29355618000.000000,590592110000.000000,2926360857000.000000,,,179749240000.000000,,83885942000.000000,7373391000.000000,91259333000.000000,,,,,,13581209000.000000,30427062000.000000,13500000000.000000,,,,,,30981636000.000000,179749240000.000000,29364506000.000000,9265591000.000000,,,,,,,,20098915000.000000,29364506000.000000,209113746000.000000,,983767850000.000000,1034031977000.000000,699447284000.000000,371110968000.000000,328336316000.000000,699447284000.000000,,,2717247111000.000000,2926360857000.000000,9837678500.000000
12M 2015,,,1251360158000.000000,39417460000.000000,39246617000.000000,170843000.000000,39417460000.000000,,,,,185853457000.000000,461935894000.000000,1938566969000.000000,,787023588000.000000,3382822000.000000,1249488000.000000,538445066000.000000,1330100964000.000000,3268667933000.000000,,,255994894000.000000,,87742142000.000000,22225859000.000000,109968001000.000000,,,,,,42414588000.000000,67224580000.000000,,,,,,,36387725000.000000,255994894000.000000,63320455000.000000,,,,,,,,,63320455000.000000,63320455000.000000,319315349000.000000,,983767850000.000000,1034031977000.000000,979161813000.000000,617363205000.000000,361798608000.000000,979161813000.000000,,-47609056000.000000,2949352584000.000000,3268667933000.000000,9837678500.000000
12M 2016,,,336979275000.000000,212743218000.000000,211658744000.000000,1084474000.000000,212743218000.000000,,,,,174238004000.000000,114271537000.000000,838232034000.000000,,3480075405000.000000,3281694000.000000,3331612000.000000,43956251000.000000,3530644962000.000000,4368876996000.000000,,,292237689000.000000,,86298338000.000000,67374099000.000000,153672437000.000000,,,,,15618559000.000000,21506237000.000000,73468872000.000000,,,,293289000.000000,,293289000.000000,27678295000.000000,292237689000.000000,955881605000.000000,23816000.000000,624119191000.000000,,,558845000.000000,,558845000.000000,,331179753000.000000,955881605000.000000,1248119294000.000000,,983767850000.000000,1034031977000.000000,1135542375000.000000,622584721000.000000,512957654000.000000,1135542375000.000000,28654000.000000,-32613154000.000000,3120757702000.000000,4368876996000.000000,9837678500.000000
12M 2017,,,486385530000.000000,407668445000.000000,395770160000.000000,11898285000.000000,407668445000.000000,,,,,203191611000.000000,26356863000.000000,1123602449000.000000,,3844488329000.000000,18342468000.000000,12861932000.000000,61042069000.000000,3936734798000.000000,5060337247000.000000,,,668827967000.000000,,134806080000.000000,97657616000.000000,232463696000.000000,,,,,,47277189000.000000,64474048000.000000,,,,3564371000.000000,278849934000.000000,282414305000.000000,42198729000.000000,668827967000.000000,978649421000.000000,,923654771000.000000,,,11862626000.000000,,11862626000.000000,,43132024000.000000,978649421000.000000,1647477388000.000000,,992479728000.000000,1247472996000.000000,1217417280000.000000,816902987000.000000,400514293000.000000,1217417280000.000000,33576000.000000,-44543721000.000000,3412859859000.000000,5060337247000.000000,9900813435.000000
12M 2018,,,465826559000.000000,489242346000.000000,463370548000.000000,25871798000.000000,489242346000.000000,,,,,291077112000.000000,112183848000.000000,1358329865000.000000,,4012558978000.000000,78506745000.000000,,88683915000.000000,4179749638000.000000,5538079503000.000000,,,636408215000.000000,,283568681000.000000,178410630000.000000,461979311000.000000,,,,,59241272000.000000,28123988000.000000,53452182000.000000,,,,28722007000.000000,,28722007000.000000,4889455000.000000,636408215000.000000,1428000232000.000000,54318784000.000000,1262361788000.000000,,,67413979000.000000,,67413979000.000000,,43905681000.000000,1428000232000.000000,2064408447000.000000,,993253434000.000000,1270606785000.000000,1256828043000.000000,926885288000.000000,329942755000.000000,1256828043000.000000,36324000.000000,-47053530000.000000,3473671056000.000000,5538079503000.000000,9932534336.000000
12M 2019,,,185648846000.000000,483703367000.000000,479737171000.000000,3966196000.000000,483703367000.000000,,,,,340862066000.000000,61769018000.000000,1071983297000.000000,,4171966909000.000000,176911702000.000000,,150408296000.000000,4499286907000.000000,5571270204000.000000,,,468526330000.000000,,225114676000.000000,75020013000.000000,300134689000.000000,,,,,72041272000.000000,24588436000.000000,37475505000.000000,,,,31642590000.000000,,31642590000.000000,2643838000.000000,468526330000.000000,1620450782000.000000,109724413000.000000,1414544545000.000000,,,50387360000.000000,,50387360000.000000,,45794464000.000000,1620450782000.000000,2088977112000.000000,,993253434000.000000,1270606785000.000000,1267929240000.000000,983986122000.000000,283943118000.000000,1267929240000.000000,37715000.000000,-49534082000.000000,3482293092000.000000,5571270204000.000000,9932534336.000000
12M 2020,,,362469101000.000000,450222169000.000000,443455943000.000000,6766226000.000000,450222169000.000000,8345194000.000000,6106409000.000000,2238785000.000000,8345194000.000000,249819117000.000000,30801844000.000000,1101657425000.000000,,4242524144000.000000,241077027000.000000,,151916964000.000000,4635518135000.000000,5737175560000.000000,,,850138636000.000000,,194562029000.000000,64214407000.000000,258776436000.000000,,,,,425523681000.000000,25543070000.000000,97937434000.000000,,,,39886205000.000000,,39886205000.000000,2471810000.000000,850138636000.000000,1479148317000.000000,126760409000.000000,1173130470000.000000,,,89426909000.000000,,89426909000.000000,,89830529000.000000,1479148317000.000000,2329286953000.000000,,993253434000.000000,1270606785000.000000,1203319758000.000000,1007899600000.000000,195420158000.000000,1203319758000.000000,35016000.000000,-59326386000.000000,3407888607000.000000,5737175560000.000000,9932534336.000000
12M 2021,,,484703777000.000000,182208165000.000000,16445777000.000000,165762388000.000000,182208165000.000000,618433000.000000,618433000.000000,,618433000.000000,233053625000.000000,19274548000.000000,919858548000.000000,,4118810511000.000000,27897065000.000000,,205387573000.000000,4352095149000.000000,5271953697000.000000,,,426655105000.000000,,157194262000.000000,90161163000.000000,247355425000.000000,,331170000.000000,39987005000.000000,40318175000.000000,,22952768000.000000,42733854000.000000,,,58854644000.000000,12896986000.000000,,71751630000.000000,1543253000.000000,426655105000.000000,1845132299000.000000,75740974000.000000,,,1592119081000.000000,78688546000.000000,,1670807627000.000000,,98583698000.000000,1845132299000.000000,2271787404000.000000,,993253434000.000000,1270606785000.000000,790702944000.000000,1023526136000.000000,-232823192000.000000,790702944000.000000,-14531000.000000,-54382339000.000000,3000166293000.000000,5271953697000.000000,9932534336.000000
