Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,96.99,0.00,96.91,3 B,27 B,30 B,(469 B),489 B
12M 2013,1.32,250.77,1.32,250.69,,14 B,14 B,"(1,869 B)","1,913 B"
12M 2014,1.38,276.21,1.38,275.87,,,,"(2,054 B)","2,156 B"
12M 2015,0.97,299.80,0.97,299.46,,,,"(1,251 B)","1,683 B"
12M 2016,8.80,317.22,8.80,316.89,16 B,625 B,641 B,304 B,546 B
12M 2017,11.02,344.70,11.08,342.85,4 B,936 B,939 B,453 B,455 B
12M 2018,5.00,349.72,5.12,341.82,88 B,"1,330 B","1,418 B",952 B,722 B
12M 2019,1.26,350.59,1.32,332.78,104 B,"1,465 B","1,569 B","1,383 B",603 B
12M 2020,3.10,343.10,3.34,318.83,465 B,"1,263 B","1,728 B","1,365 B",252 B
12M 2021,2.05,302.06,2.07,299.25,72 B,"1,671 B","1,743 B","1,258 B",493 B
12M 2022,1.25,309.61,1.25,307.57,103 B,"1,375 B","1,477 B",954 B,402 B
12M 2023,0.87,318.39,0.88,317.16,184 B,707 B,892 B,793 B,85 B
12M 2024,0.62,329.05,0.62,328.12,213 B,517 B,729 B,699 B,179 B
