Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga Atas Liabilitas Jangka Pendek,Pembayaran Bunga Pinjaman Bank,Pembayaran Bunga,Penerimaan Atas Klaim,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Pembayaran Denda Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Aset Dalam Pembangunan,Pembelian Lahan Untuk Pengembangan,Pembelian Aset Tak Berwujud,Penempatan Deposito Berjangka Yang Dibatasi Penggunaanya,Pembayaran Uang Muka Investasi,Aset Jangka Panjang Lainnya,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dana Dari Ipo,Penerimaan Dana Dari Mesop,Penerimaan Pinjaman Jangka Pendek,Pembayaran Kembali Pinjaman Jangka Pendek,Penerimaan Pinjaman Kredit Investasi,Pembayaran Pinjaman Kredit Investasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Bunga Kredit Investasi,Penerimaan Pinjaman Mtn,Pembayaran Pinjaman Mtn,Pembayaran Bunga Mtn,Pembayaran Dividen,Penyerahan Dana Program Kemitraan,Penyerahan Dana Bina Lingkungan,Penerimaan Modal Dari Entitas Non Pengendali,Pembayaran Utang Sewa Pembiayaan,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Beban Bunga Keuangan,Pembayaran Pokok Sewa Hak Guna,Pembayaran Bunga Sewa Hak Guna,Pembayaran Pokok Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,325118225000.000000,1098021390000.000000,-643862415000.000000,-62114259000.000000,28314265000.000000,-61269000.000000,,,,,-95179487000.000000,,325118225000.000000,-214967827000.000000,-214967827000.000000,,,,,,,,-214967827000.000000,-85186900000.000000,,,2765620000.000000,,,,,,,,,-50328000000.000000,-5032760000.000000,-5032760000.000000,,,,,,,-27559000000.000000,-85186900000.000000,24963498000.000000,,517983403000.000000,542946901000.000000
12M 2013,298064307000.000000,1133190642000.000000,-750188450000.000000,-53961891000.000000,71143950000.000000,-64370000.000000,,,,,-102055574000.000000,,298064307000.000000,-138585110000.000000,-138585110000.000000,,,,,,,,-138585110000.000000,1204971730000.000000,1286227517000.000000,,,,,,,,,,,-59702505000.000000,-1492563000.000000,-5970250000.000000,,,,,,,-14090469000.000000,1204971730000.000000,1364450927000.000000,,542946901000.000000,1907397828000.000000
12M 2014,283527338000.000000,1169927628000.000000,-929673731000.000000,-56617433000.000000,153974357000.000000,-156791000.000000,,,,15037721000.000000,-68964413000.000000,,283527338000.000000,-40919656000.000000,-31837071000.000000,,-11037613000.000000,,,,,1955028000.000000,-40919656000.000000,-91545959000.000000,,,,,,,,,,,,-78045959000.000000,,,,,,,,,-13500000000.000000,-91545959000.000000,151061723000.000000,14327000.000000,1907397828000.000000,2058473878000.000000
12M 2015,522628119000.000000,1626896450000.000000,-1085495496000.000000,-74347734000.000000,118577477000.000000,-150924000.000000,,,,,-62851654000.000000,,522628119000.000000,-735595349000.000000,-31024594000.000000,-242601987000.000000,-6520159000.000000,-685027000.000000,,-454763582000.000000,,,-735595349000.000000,-95584079000.000000,,,,,,,,,,,,-82084079000.000000,,,,,,,,,-13500000000.000000,-95584079000.000000,-308551309000.000000,5987589000.000000,2058473878000.000000,1755910158000.000000
12M 2016,87306699000.000000,1450672267000.000000,-1243005134000.000000,-67810355000.000000,29123418000.000000,-569953000.000000,,,,,-81103544000.000000,,87306699000.000000,-2026229889000.000000,-28269686000.000000,-1855043434000.000000,-6617676000.000000,-818000000.000000,,-135256093000.000000,-225000000.000000,,-2026229889000.000000,531161001000.000000,,,15618559000.000000,,625644874000.000000,,,-7371628000.000000,,,,-88539106000.000000,-1770900000.000000,-12396302000.000000,25000000.000000,-49496000.000000,,,,,,531161001000.000000,-1407762189000.000000,-6545694000.000000,1755910158000.000000,341602275000.000000
12M 2017,183236105000.000000,1540808065000.000000,-1291417232000.000000,-75679373000.000000,16190175000.000000,-753401000.000000,,,,42577979000.000000,-48490108000.000000,,183236105000.000000,-401728609000.000000,-35811149000.000000,-343678281000.000000,-5562112000.000000,-250000000.000000,,-4187067000.000000,-12240000000.000000,,-401728609000.000000,366854111000.000000,,222152897000.000000,-15618559000.000000,,300000000000.000000,,,-73962099000.000000,,,,-64768605000.000000,,,,-949523000.000000,,,,,,366854111000.000000,148361607000.000000,1071533000.000000,341602275000.000000,491035415000.000000
12M 2018,64469290000.000000,2148937918000.000000,-1913617745000.000000,-120510612000.000000,16480108000.000000,-9894089000.000000,,,,,-56926290000.000000,,64469290000.000000,-326243271000.000000,-197888713000.000000,-16783602000.000000,-77729727000.000000,-33816229000.000000,,-25000000.000000,,,-326243271000.000000,253868233000.000000,,23907494000.000000,,,,,,-88688350000.000000,400000000000.000000,,-27000000000.000000,-36661209000.000000,,,,-17689702000.000000,,,,,,253868233000.000000,-7905748000.000000,-2793171000.000000,486535415000.000000,475836496000.000000
12M 2019,87929949000.000000,2216155203000.000000,-1994103153000.000000,-164306906000.000000,7888226000.000000,-10879103000.000000,,,,33441571000.000000,-265889000.000000,,87929949000.000000,-342993040000.000000,-184484063000.000000,-72012269000.000000,-63834069000.000000,-22662639000.000000,,,,,-342993040000.000000,-17220792000.000000,,,,,200000000000.000000,-36020638000.000000,,-98543400000.000000,,,-36000000000.000000,-18971143000.000000,,,,-27685611000.000000,,,,,,-17220792000.000000,-272283883000.000000,-1209282000.000000,475836496000.000000,202343331000.000000
12M 2020,352300803000.000000,1833573263000.000000,-1321766852000.000000,-175189724000.000000,4640709000.000000,,,,,11409338000.000000,-365931000.000000,,352300803000.000000,-82170007000.000000,-45435971000.000000,-31687200000.000000,-323190000.000000,-4723646000.000000,,,,,-82170007000.000000,-93345004000.000000,,,,,1220000000000.000000,-1095724236000.000000,,-106858881000.000000,,,-36000000000.000000,-6158861000.000000,,,,-50238672000.000000,-16579805000.000000,-1784549000.000000,,,,-93345004000.000000,176785792000.000000,34463000.000000,185648846000.000000,362469101000.000000
12M 2021,171566371000.000000,1932631565000.000000,-1440434511000.000000,-169493224000.000000,13846062000.000000,-9000000000.000000,-150560701000.000000,-4794270000.000000,,,-628550000.000000,,171566371000.000000,-39535312000.000000,-28009181000.000000,-4655834000.000000,-6688563000.000000,-485600000.000000,,,,303866000.000000,-39535312000.000000,14407250000.000000,,,,,497627148000.000000,-41394229000.000000,,,,-400000000000.000000,,,,,,,,,-33675693000.000000,-8149976000.000000,,14407250000.000000,146438309000.000000,-281463000.000000,338546933000.000000,484703779000.000000
12M 2022,411196927000.000000,2170839131000.000000,-1453627596000.000000,-166581593000.000000,11830539000.000000,,-152107552000.000000,-551478000.000000,,1921768000.000000,-526292000.000000,,411196927000.000000,-52646357000.000000,-20047948000.000000,-28312064000.000000,,-4432977000.000000,,,,146632000.000000,-52646357000.000000,-320371077000.000000,,,,,,-296892033000.000000,,,,,,,,,,,,,-13208308000.000000,-10270736000.000000,,-320371077000.000000,38179493000.000000,34830000.000000,484703777000.000000,522918100000.000000
12M 2023,296497994000.000000,1818977388000.000000,-1231222652000.000000,-188227811000.000000,5416415000.000000,,-106846517000.000000,,,2295323000.000000,-3894152000.000000,,296497994000.000000,-102976371000.000000,-37536450000.000000,-59873094000.000000,,-5566827000.000000,,,,,-102976371000.000000,-617976018000.000000,,,901425000000.000000,-1496986458000.000000,,,,,,,,-18965181000.000000,,,,,,,-3449379000.000000,,,-617976018000.000000,-424454395000.000000,-76830000.000000,522918100000.000000,98386875000.000000
12M 2024,182542229000.000000,1837865127000.000000,-1386231229000.000000,-211525166000.000000,4115234000.000000,,-70334536000.000000,,19151516000.000000,,-10498717000.000000,,182542229000.000000,-51950781000.000000,-17157915000.000000,-20131637000.000000,,-79500000.000000,-14581729000.000000,,,,-51950781000.000000,-200022908000.000000,,,,-175000000000.000000,,,,,,,,-24314188000.000000,,,,,,,-708720000.000000,,,-200022908000.000000,-69431460000.000000,887923000.000000,98386875000.000000,29843338000.000000
