Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,1623864000000.000000,-450028000000.000000,1173836000000.000000,-1017342000000.000000,-885045000000.000000,-132297000000.000000,-1017342000000.000000,156494000000.000000,488000000.000000,-6892000000.000000,2150000000.000000,4336000000.000000,-2664000000.000000,3558000000.000000,488000000.000000,156982000000.000000,-41031000000.000000,-41031000000.000000,,-41031000000.000000,115951000000.000000,115951000000.000000,3820000000.000000,119771000000.000000,115951000000.000000,115950000000.000000,1000000.000000,115951000000.000000,119771000000.000000,119770000000.000000,1000000.000000,,119771000000.000000
12M 2017,1892036000000.000000,-525382000000.000000,1366654000000.000000,-1212228000000.000000,-1038998000000.000000,-173230000000.000000,-1212228000000.000000,154426000000.000000,-19638000000.000000,-25569000000.000000,149000000.000000,13493000000.000000,-2102000000.000000,-5609000000.000000,-19638000000.000000,134788000000.000000,-40331000000.000000,-40331000000.000000,,-40331000000.000000,94457000000.000000,94457000000.000000,-4489000000.000000,89968000000.000000,94457000000.000000,94457000000.000000,,94457000000.000000,89968000000.000000,89968000000.000000,,,89968000000.000000
12M 2018,2516894000000.000000,-716335000000.000000,1800559000000.000000,-1628482000000.000000,-1403438000000.000000,-225044000000.000000,-1628482000000.000000,172077000000.000000,-845000000.000000,-383000000.000000,-4156000000.000000,11312000000.000000,-5560000000.000000,-2058000000.000000,-845000000.000000,171232000000.000000,-50702000000.000000,-50702000000.000000,,-50702000000.000000,120530000000.000000,120530000000.000000,4130000000.000000,124660000000.000000,120530000000.000000,120529000000.000000,1000000.000000,120530000000.000000,124660000000.000000,124659000000.000000,1000000.000000,,124660000000.000000
12M 2019,3094880000000.000000,-877015000000.000000,2217865000000.000000,-1994387000000.000000,-1713104000000.000000,-281283000000.000000,-1994387000000.000000,223478000000.000000,7416000000.000000,-650000000.000000,5514000000.000000,10084000000.000000,-5317000000.000000,-2215000000.000000,7416000000.000000,230894000000.000000,-65168000000.000000,,,-65168000000.000000,165726000000.000000,165726000000.000000,-5346000000.000000,160380000000.000000,165726000000.000000,165725000000.000000,1000000.000000,165726000000.000000,160380000000.000000,160379000000.000000,1000000.000000,,160380000000.000000
12M 2020,2044306000000.000000,-668689000000.000000,1375617000000.000000,-1528198000000.000000,-1290444000000.000000,-237754000000.000000,-1528198000000.000000,-152581000000.000000,-52206000000.000000,-43947000000.000000,-4567000000.000000,9789000000.000000,-4310000000.000000,-9171000000.000000,-52206000000.000000,-204787000000.000000,39988000000.000000,,,39988000000.000000,-164799000000.000000,-164799000000.000000,2639000000.000000,-162160000000.000000,-164799000000.000000,-164797000000.000000,-2000000.000000,-164799000000.000000,-162160000000.000000,-162158000000.000000,-2000000.000000,,-162160000000.000000
12M 2021,2431383000000.000000,-791644000000.000000,1639739000000.000000,-1611993000000.000000,-1373360000000.000000,-238633000000.000000,-1611993000000.000000,27746000000.000000,-32661000000.000000,-35922000000.000000,-1615000000.000000,3847000000.000000,-5136000000.000000,6165000000.000000,-32661000000.000000,-4915000000.000000,-5012000000.000000,,,-5012000000.000000,-9927000000.000000,-9927000000.000000,3650000000.000000,-6277000000.000000,-9927000000.000000,-9927000000.000000,,-9927000000.000000,-6277000000.000000,-6277000000.000000,,,-6277000000.000000
12M 2022,3437108000000.000000,-1084937000000.000000,2352171000000.000000,-2133327000000.000000,-1842913000000.000000,-290414000000.000000,-2133327000000.000000,218844000000.000000,-33100000000.000000,-30138000000.000000,-9941000000.000000,2508000000.000000,-3870000000.000000,8341000000.000000,-33100000000.000000,185744000000.000000,-39448000000.000000,,,-39448000000.000000,146296000000.000000,146296000000.000000,1073000000.000000,147369000000.000000,146296000000.000000,146296000000.000000,,146296000000.000000,147369000000.000000,147369000000.000000,,,147369000000.000000
12M 2023,3999453000000.000000,-1239058000000.000000,2760395000000.000000,-2589022000000.000000,-2254978000000.000000,-334044000000.000000,-2589022000000.000000,171373000000.000000,-26989000000.000000,-32094000000.000000,5050000000.000000,8342000000.000000,-7125000000.000000,-1162000000.000000,-26989000000.000000,144384000000.000000,-39735000000.000000,,,-39735000000.000000,104649000000.000000,104649000000.000000,-3577000000.000000,101072000000.000000,104649000000.000000,104649000000.000000,,104649000000.000000,101072000000.000000,101072000000.000000,,,101072000000.000000
12M 2024,3228133000000.000000,-976466000000.000000,2251667000000.000000,-2346537000000.000000,-2054532000000.000000,-292005000000.000000,-2346537000000.000000,-94870000000.000000,-88045000000.000000,-38388000000.000000,-9873000000.000000,13271000000.000000,-27915000000.000000,-25140000000.000000,-88045000000.000000,-182915000000.000000,36767000000.000000,,,36767000000.000000,-146148000000.000000,-146148000000.000000,6165000000.000000,-139983000000.000000,-146148000000.000000,-146148000000.000000,,-146148000000.000000,-139983000000.000000,-139983000000.000000,,,-139983000000.000000
