Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilaan,Pembayaran Pensiun,Pembayaran Pajak Final,Pembayaran Beban-Beban Usaha,Penerimaan Aktivitas Operasi,Beban Lain-Lain,Pembayaran Beban Keuangan,Penerimaan Penghasilan Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penerimaan Kas Dari Akuisisi Mit,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Aset Tetap,Pembayaran/Penerimaan Kas Yang Dibatasi Penggunaanya,Pembelian Aset Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Pihak Ketiga,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali,Penerimaan Dari Utang Lain -Lain Pihak Ketiga,Penerimaan Dari Pinjaman Kepada Pihak Berelasi,Setoran Modal Saham,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,96527000000.000000,830393000000.000000,,-5230000000.000000,-496752000000.000000,-29600000000.000000,-141507000000.000000,-15141000000.000000,-436000000.000000,-282000000.000000,,,,-51118000000.000000,6200000000.000000,,96527000000.000000,-23796000000.000000,-23596000000.000000,,,,,-200000000.000000,,-23796000000.000000,-77661000000.000000,-13988000000.000000,,,,1000000000.000000,14000000000.000000,,,54774000000.000000,54774000000.000000,,-381000000.000000,-42995000000.000000,-43376000000.000000,,-90071000000.000000,,-77661000000.000000,,-4930000000.000000,9737000000.000000,4807000000.000000
12M 2022,127029000000.000000,1282811000000.000000,,-4067000000.000000,-847351000000.000000,-26238000000.000000,-214381000000.000000,-22262000000.000000,,-4988000000.000000,,,,-39695000000.000000,3200000000.000000,,127029000000.000000,-24262000000.000000,-24377000000.000000,,,115000000.000000,,,,-24262000000.000000,-105219000000.000000,,,,,,,,853248000000.000000,50786000000.000000,904034000000.000000,,-796731000000.000000,-94069000000.000000,-890800000000.000000,,-118453000000.000000,,-105219000000.000000,,-2452000000.000000,4807000000.000000,2355000000.000000
12M 2023,348104000000.000000,1605746000000.000000,,10972000000.000000,-959766000000.000000,-23584000000.000000,-227075000000.000000,-31217000000.000000,-1299000000.000000,-1810000000.000000,,,,-24190000000.000000,327000000.000000,,348104000000.000000,-205863000000.000000,-231049000000.000000,,,22961000000.000000,,2225000000.000000,,-205863000000.000000,-46353000000.000000,-1000000000.000000,-8000000000.000000,,4000000000.000000,,,,1195546000000.000000,116653000000.000000,1312199000000.000000,,-1266543000000.000000,-28035000000.000000,-1294578000000.000000,,-58974000000.000000,,-46353000000.000000,,95888000000.000000,2355000000.000000,98243000000.000000
12M 2024,240850000000.000000,1916173000000.000000,,,-1129110000000.000000,-93304000000.000000,-292708000000.000000,-117971000000.000000,-9826000000.000000,-190000000.000000,,,,-33826000000.000000,1612000000.000000,,240850000000.000000,-146462000000.000000,-148581000000.000000,-595000000.000000,,-6378000000.000000,,9092000000.000000,,-146462000000.000000,-94845000000.000000,,,,,,,,114816000000.000000,,114816000000.000000,,-15891000000.000000,-44810000000.000000,-60701000000.000000,-100000000000.000000,-48960000000.000000,,-94845000000.000000,,-457000000.000000,98243000000.000000,97786000000.000000
