Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tagihan Bruto Kepada Pemberi Kerja,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Goodwill,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pinjaman Jangka Pendek,Utang Pajak,Beban Akrual,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Utang Lain-Lain,Pinjaman Jangka Panjang,Pihak Berelasi,Utang Pembiayaan Konsumen,Others,Total Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,4807000000.000000,33931000000.000000,,33931000000.000000,33931000000.000000,29616000000.000000,839000000.000000,28777000000.000000,29616000000.000000,108604000000.000000,51065000000.000000,14176000000.000000,242199000000.000000,,377822000000.000000,,,34577000000.000000,3225000000.000000,415624000000.000000,657823000000.000000,,,193026000000.000000,,,,19645000000.000000,43580000000.000000,,129801000000.000000,193026000000.000000,144969000000.000000,,,90426000000.000000,,,,90426000000.000000,54543000000.000000,144969000000.000000,337995000000.000000,,17177000000.000000,2975000000.000000,50376000000.000000,,50376000000.000000,50376000000.000000,,1911000000.000000,72439000000.000000,410434000000.000000,171770.000000
12M 2022,,,2355000000.000000,152395000000.000000,,152395000000.000000,152395000000.000000,22778000000.000000,557000000.000000,22221000000.000000,22778000000.000000,140732000000.000000,37799000000.000000,14808000000.000000,370867000000.000000,,295238000000.000000,,,55769000000.000000,3225000000.000000,354232000000.000000,725099000000.000000,,,111988000000.000000,,,,20877000000.000000,33805000000.000000,,57306000000.000000,111988000000.000000,60624000000.000000,,,52262000000.000000,,,,52262000000.000000,8362000000.000000,60624000000.000000,172612000000.000000,,17177000000.000000,2975000000.000000,160221000000.000000,,160221000000.000000,160221000000.000000,,2288000000.000000,182661000000.000000,355273000000.000000,171770.000000
12M 2023,,,98243000000.000000,122276000000.000000,,122276000000.000000,122276000000.000000,971000000.000000,346000000.000000,625000000.000000,971000000.000000,323407000000.000000,33870000000.000000,28926000000.000000,607693000000.000000,,397894000000.000000,,,21885000000.000000,7243000000.000000,427022000000.000000,1034715000000.000000,,,147214000000.000000,,,,56026000000.000000,84187000000.000000,,7001000000.000000,147214000000.000000,133925000000.000000,,,113104000000.000000,,,,113104000000.000000,20821000000.000000,133925000000.000000,281139000000.000000,,17177000000.000000,2975000000.000000,378322000000.000000,,378322000000.000000,378322000000.000000,,1476000000.000000,399950000000.000000,681089000000.000000,171770.000000
12M 2024,,,97786000000.000000,248479000000.000000,,248479000000.000000,248479000000.000000,1085000000.000000,1075000000.000000,10000000.000000,1085000000.000000,481396000000.000000,48243000000.000000,71430000000.000000,948419000000.000000,,627596000000.000000,,,30916000000.000000,7378000000.000000,665890000000.000000,1614309000000.000000,,,259305000000.000000,,,,29932000000.000000,132109000000.000000,9214000000.000000,88050000000.000000,259305000000.000000,221585000000.000000,,,72388000000.000000,,15960000000.000000,,72388000000.000000,149197000000.000000,221585000000.000000,480890000000.000000,,347177000000.000000,2975000000.000000,254464000000.000000,3500000000.000000,250964000000.000000,254464000000.000000,,1833000000.000000,606449000000.000000,1087339000000.000000,171770.000000
