Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,917990000000.000000,-733948000000.000000,184042000000.000000,-45562000000.000000,,-45562000000.000000,,,-45562000000.000000,138480000000.000000,-59199000000.000000,-51118000000.000000,-8081000000.000000,-59199000000.000000,79281000000.000000,-12902000000.000000,-15518000000.000000,2616000000.000000,-12902000000.000000,66379000000.000000,-153000000.000000,66226000000.000000,66379000000.000000,66379000000.000000,,66379000000.000000,66226000000.000000,66226000000.000000,,66226000000.000000
12M 2022,1433458000000.000000,-1211267000000.000000,222191000000.000000,-44288000000.000000,,-44288000000.000000,,,-44288000000.000000,177903000000.000000,-67128000000.000000,-39695000000.000000,-27433000000.000000,-67128000000.000000,110775000000.000000,-930000000.000000,-22228000000.000000,21298000000.000000,-930000000.000000,109845000000.000000,377000000.000000,110222000000.000000,109845000000.000000,109845000000.000000,,109845000000.000000,110222000000.000000,110222000000.000000,,110222000000.000000
12M 2023,1759355000000.000000,-1334007000000.000000,425348000000.000000,-55053000000.000000,,-55053000000.000000,,,-55053000000.000000,370295000000.000000,-44877000000.000000,-24190000000.000000,-20687000000.000000,-44877000000.000000,325418000000.000000,-107317000000.000000,-73204000000.000000,-34113000000.000000,-107317000000.000000,218101000000.000000,-812000000.000000,217289000000.000000,218101000000.000000,218101000000.000000,,218101000000.000000,217289000000.000000,217289000000.000000,,217289000000.000000
12M 2024,2118702000000.000000,-1560768000000.000000,557934000000.000000,-124697000000.000000,,-124697000000.000000,,,-124697000000.000000,433237000000.000000,-39384000000.000000,-33826000000.000000,-5558000000.000000,-39384000000.000000,393853000000.000000,-87711000000.000000,-96843000000.000000,9132000000.000000,-87711000000.000000,306142000000.000000,357000000.000000,306499000000.000000,306142000000.000000,306142000000.000000,,306142000000.000000,306499000000.000000,306499000000.000000,,306499000000.000000
