Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,69.69,0.00,69.69,293 B,16 B,310 B,308 B,(75 B)
12M 2011,2.07,130.57,2.07,130.57,139 B,9 B,147 B,34 B,48 B
12M 2012,3.57,142.80,3.57,142.80,217 B,5 B,222 B,156 B,28 B
12M 2013,11.47,96.80,11.47,96.80,123 B,,123 B,118 B,(118 B)
12M 2014,2.84,104.62,2.84,104.62,307 B,,307 B,284 B,(128 B)
12M 2015,0.94,89.79,0.94,89.79,279 B,,279 B,276 B,(111 B)
12M 2016,3.02,109.17,3.02,109.17,267 B,,267 B,263 B,(26 B)
12M 2017,1.67,95.56,1.67,95.56,257 B,,257 B,245 B,(33 B)
12M 2018,2.66,42.51,2.66,42.51,296 B,,296 B,286 B,(119 B)
12M 2019,1.50,41.22,1.50,41.22,241 B,,241 B,224 B,(112 B)
12M 2020,1.63,71.02,1.63,71.02,122 B,,122 B,36 B,(57 B)
12M 2021,2.81,118.94,2.81,118.94,35 B,,35 B,(95 B),332 B
12M 2022,2.03,61.22,2.03,61.22,104 B,,104 B,81 B,248 B
12M 2023,1.99,61.67,1.99,61.67,57 B,,57 B,19 B,260 B
12M 2024,2.93,31.76,2.93,31.76,95 B,,95 B,1 B,227 B
