Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,1294261975.000000,105917570065.000000,2129345100.000000,103788224965.000000,105917570065.000000,35044507.000000,,35044507.000000,35044507.000000,172182518198.000000,26795587262.000000,306224982007.000000,,1043511595.000000,214250740967.000000,3368933953.000000,218663186515.000000,524888168522.000000,,,381284889354.000000,288324320038.000000,,5181360446.000000,51200484391.000000,56381844837.000000,,10000000000.000000,749177674.000000,10749177674.000000,1370622817.000000,18548927443.000000,,,18548927443.000000,,5127887380.000000,,5127887380.000000,782109165.000000,381284889354.000000,18153334616.000000,,,16228374681.000000,,16228374681.000000,1924959935.000000,18153334616.000000,399438223970.000000,,77672000000.000000,,47777944552.000000,,47777944552.000000,47777944552.000000,,125449944552.000000,524888168522.000000,1800000000.000000
12M 2011,,,113554679432.000000,141579535547.000000,1033890000.000000,140545645547.000000,141579535547.000000,15177006.000000,256229.000000,14920777.000000,15177006.000000,175636420869.000000,43891097945.000000,474676910799.000000,,1305132927.000000,197227525650.000000,403299743.000000,198935958320.000000,673612869119.000000,,,427049660571.000000,131093938762.000000,,1288915759.000000,88739695015.000000,90028610774.000000,,186804760000.000000,228109529.000000,187032869529.000000,6901053286.000000,3911634643.000000,,,3911634643.000000,,7505426814.000000,,7505426814.000000,576126763.000000,427049660571.000000,11530432529.000000,,,8861929611.000000,,8861929611.000000,2668502918.000000,11530432529.000000,438580093100.000000,,180000000000.000000,57667431667.000000,-2634655648.000000,500000000.000000,-3134655648.000000,-2634655648.000000,,235032776019.000000,673612869119.000000,1800000000.000000
12M 2012,,,66720406291.000000,179338745289.000000,11165188600.000000,168173556689.000000,179338745289.000000,12690656.000000,12501011.000000,189645.000000,12690656.000000,283335078182.000000,53486775017.000000,582893695435.000000,,2059584519.000000,235094894474.000000,403299743.000000,237557778736.000000,820451474171.000000,,,554604663049.000000,210627057711.000000,,1978573510.000000,108597529294.000000,110576102804.000000,,202909516678.000000,6892694640.000000,209802211318.000000,239418365.000000,17161362818.000000,,,17161362818.000000,,6198510033.000000,,6198510033.000000,,554604663049.000000,8808021325.000000,,,5403535368.000000,,5403535368.000000,3404485957.000000,8808021325.000000,563412684374.000000,,180000000000.000000,57658931667.000000,19379858130.000000,500000000.000000,18879858130.000000,19379858130.000000,,257038789797.000000,820451474171.000000,1800000000.000000
12M 2013,,,4820657563.000000,148684553778.000000,3226637200.000000,145457916578.000000,148684553778.000000,1768218.000000,,1768218.000000,1768218.000000,330888367800.000000,61544598477.000000,545939945836.000000,,27863347136.000000,268721840289.000000,403299743.000000,296988487168.000000,842928433004.000000,,,664433841210.000000,116011857735.000000,,1366500465.000000,249956190571.000000,251322691036.000000,,255135829553.000000,7696561890.000000,262832391443.000000,458287135.000000,21309078158.000000,,,21309078158.000000,,6829535703.000000,,6829535703.000000,5670000000.000000,664433841210.000000,4248475607.000000,,,,,,4248475607.000000,4248475607.000000,668682316817.000000,,180000000000.000000,57658931667.000000,-63412815480.000000,500000000.000000,-63912815480.000000,-63412815480.000000,,174246116187.000000,842928433004.000000,1800000000.000000
12M 2014,,,22905396860.000000,211977129519.000000,10164346220.000000,201812783299.000000,211977129519.000000,188329.000000,,188329.000000,188329.000000,346961865445.000000,71122422744.000000,652967002897.000000,,23257487482.000000,298005180331.000000,403299743.000000,321665967556.000000,974632970453.000000,,,780658457243.000000,307265539046.000000,,70996835.000000,181559538553.000000,181630535388.000000,,256627000000.000000,2845680172.000000,259472680172.000000,344389716.000000,,24005321087.000000,3970991834.000000,27976312921.000000,,,,,3969000000.000000,780658457243.000000,5650544596.000000,,,,,,5650544596.000000,5650544596.000000,786309001839.000000,,180000000000.000000,57658931667.000000,-49334963053.000000,500000000.000000,-49834963053.000000,-49334963053.000000,,188323968614.000000,974632970453.000000,1800000000.000000
12M 2015,,,3481123418.000000,284093712991.000000,25397722200.000000,258695990791.000000,284093712991.000000,4587616.000000,4470000.000000,117616.000000,4587616.000000,322718416935.000000,56962687277.000000,667260528237.000000,,31520407671.000000,249498445491.000000,403299743.000000,281422152905.000000,948682681142.000000,,,777986766746.000000,279444173562.000000,,1323220909.000000,164101580842.000000,165424801751.000000,,284177000000.000000,1925286679.000000,286102286679.000000,2468126743.000000,,35100917098.000000,5477460913.000000,40578378011.000000,,,,,3969000000.000000,777986766746.000000,9068302044.000000,,,,,,9068302044.000000,9068302044.000000,787055068790.000000,,180000000000.000000,57658931667.000000,-74268808277.000000,500000000.000000,-74768808277.000000,-74268808277.000000,-1762511038.000000,161627612352.000000,948682681142.000000,1800000000.000000
12M 2016,,,3867121504.000000,242375708685.000000,13276701961.000000,229099006724.000000,242375708685.000000,258788423.000000,18073000.000000,240715423.000000,258788423.000000,452203967651.000000,51124737877.000000,749830324140.000000,,12160426516.000000,220563758390.000000,72447378.000000,232796632284.000000,982626956424.000000,,,775814969312.000000,267213628650.000000,,1431107528.000000,169288898748.000000,170720006276.000000,,276781600000.000000,2070704301.000000,278852304301.000000,1300646778.000000,,41086623453.000000,6903400651.000000,47990024104.000000,,,,,9738359203.000000,775814969312.000000,10309286638.000000,,,,,,10309286638.000000,10309286638.000000,786124255950.000000,,180000000000.000000,57658931667.000000,-39875453187.000000,500000000.000000,-40375453187.000000,-39875453187.000000,-1280778006.000000,196502700474.000000,982626956424.000000,1800000000.000000
12M 2017,,,12100305546.000000,172761381118.000000,11188085320.000000,161573295798.000000,172761381118.000000,18185153.000000,18073000.000000,112153.000000,18185153.000000,481054955518.000000,61305273620.000000,727240100955.000000,,18304795721.000000,200831592410.000000,72447378.000000,219208835509.000000,946448936464.000000,,,760156840021.000000,257071308579.000000,,114226361.000000,161933390921.000000,162047617282.000000,,279088800000.000000,3559285217.000000,282648085217.000000,225634609.000000,,48188901014.000000,5783098737.000000,53971999751.000000,,,,,4192194583.000000,760156840021.000000,14275886170.000000,,,,,,14275886170.000000,14275886170.000000,774432726191.000000,,180000000000.000000,57658931667.000000,-65642721394.000000,500000000.000000,-66142721394.000000,-65642721394.000000,,172016210273.000000,946448936464.000000,1800000000.000000
12M 2018,,,10311045741.000000,192496110381.000000,35842419220.000000,156653691161.000000,192496110381.000000,20115700.000000,18073000.000000,2042700.000000,20115700.000000,402222464367.000000,87119471761.000000,692169207950.000000,,11642947415.000000,196210656527.000000,1158984378.000000,209012588320.000000,901181796270.000000,,,811365493384.000000,295870883556.000000,,461162626.000000,147429237092.000000,147890399718.000000,,298308600000.000000,2039896564.000000,300348496564.000000,1073010842.000000,,58283154803.000000,7816012918.000000,66099167721.000000,,,,,83534983.000000,811365493384.000000,13294954273.000000,,,,,,13294954273.000000,13294954273.000000,824660447657.000000,,180000000000.000000,57658931667.000000,-161137583054.000000,500000000.000000,-161637583054.000000,-161137583054.000000,,76521348613.000000,901181796270.000000,1800000000.000000
12M 2019,,,17241644754.000000,169005745030.000000,7808020340.000000,161197724690.000000,169005745030.000000,1178748382.000000,,1178748382.000000,1178748382.000000,378782534249.000000,70236935016.000000,636445607431.000000,,8878276247.000000,191224692945.000000,322197378.000000,200425166570.000000,836870774001.000000,,,748332823419.000000,240798552905.000000,,942174054.000000,136898013650.000000,137840187704.000000,,286386828627.000000,2999312988.000000,289386141615.000000,2591688792.000000,,64923137385.000000,6160423747.000000,71083561132.000000,,,,,6632691271.000000,748332823419.000000,14350756866.000000,,,,,,14350756866.000000,14350756866.000000,762683580285.000000,,180000000000.000000,57658931667.000000,-163471737951.000000,500000000.000000,-163971737951.000000,-163471737951.000000,,74187193716.000000,836870774001.000000,1800000000.000000
12M 2020,,,85990562715.000000,123096744744.000000,2936035200.000000,120160709544.000000,123096744744.000000,447110.000000,,447110.000000,447110.000000,299112438900.000000,54387739944.000000,562587933413.000000,,15435516121.000000,182079832722.000000,322197378.000000,197837546221.000000,760425479634.000000,,,619717175037.000000,122164266275.000000,,253434996.000000,122478764930.000000,122732199926.000000,,290719428070.000000,1633526766.000000,292352954836.000000,2489158570.000000,,73464612329.000000,4580693633.000000,78045305962.000000,,,64177766.000000,64177766.000000,1869111702.000000,619717175037.000000,12869216111.000000,,,,270446013.000000,270446013.000000,12598770098.000000,12869216111.000000,632586391148.000000,,180000000000.000000,57658931667.000000,-109819843181.000000,500000000.000000,-110319843181.000000,-109819843181.000000,,127839088486.000000,760425479634.000000,1800000000.000000
12M 2021,,,129329631431.000000,64685948949.000000,4814099500.000000,59871849449.000000,64685948949.000000,13369911.000000,,,13369911.000000,325438867548.000000,24254612830.000000,543722430669.000000,,7587367169.000000,174541022309.000000,322197378.000000,182450586856.000000,726173017525.000000,,,211939279423.000000,34631211136.000000,,70996835.000000,57353442932.000000,57424439767.000000,,,2252566310.000000,2252566310.000000,11995127339.000000,,80752135342.000000,22732132441.000000,103484267783.000000,,,70455679.000000,70455679.000000,2081211409.000000,211939279423.000000,300149386453.000000,287356517244.000000,,,199990334.000000,199990334.000000,12592878875.000000,300149386453.000000,512088665876.000000,,180000000000.000000,57658931667.000000,-23574580018.000000,500000000.000000,-24074580018.000000,-23574580018.000000,,214084351649.000000,726173017525.000000,1800000000.000000
