Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,706827762382.000000,-705355540068.000000,1472222314.000000,-7568409156.000000,-3175569651.000000,-4392839505.000000,-7568409156.000000,-6096186842.000000,13035470022.000000,318438877.000000,14222014573.000000,-5768831677.000000,-30212978.000000,4294061227.000000,13035470022.000000,6939283180.000000,-1794175269.000000,5145107911.000000,,5145107911.000000,5145107911.000000,5145107911.000000,,5145107911.000000,5145107911.000000,5145107911.000000,,5145107911.000000
12M 2011,900354986492.000000,-860090335352.000000,40264651140.000000,-8212300987.000000,-3091221601.000000,-5121079386.000000,-8212300987.000000,32052350153.000000,-10038676482.000000,454108148.000000,-8784622608.000000,-5880900546.000000,259477273.000000,3913261251.000000,-10038676482.000000,22013673671.000000,-5395162671.000000,16618511000.000000,,16618511000.000000,16618511000.000000,16618511000.000000,,16618511000.000000,16618511000.000000,16618511000.000000,,16618511000.000000
12M 2012,1070846213089.000000,-1000291568222.000000,70554644867.000000,-9219361134.000000,-3488603917.000000,-5730757217.000000,-9219361134.000000,61335283733.000000,-37467972695.000000,4134485709.000000,-29777280275.000000,-14169154329.000000,258676821.000000,2085299379.000000,-37467972695.000000,23867311038.000000,-4987452908.000000,18879858130.000000,,18879858130.000000,18879858130.000000,18879858130.000000,,18879858130.000000,18879858130.000000,18879858130.000000,,18879858130.000000
12M 2013,1052131125561.000000,-1025482161230.000000,26648964331.000000,-9817384178.000000,-3452718314.000000,-6364665864.000000,-9817384178.000000,16831580153.000000,-119758016380.000000,,-111268412555.000000,-15571446373.000000,,7081842548.000000,-119758016380.000000,-102926436227.000000,25803762617.000000,-77122673610.000000,,-77122673610.000000,-77122673610.000000,-77122673610.000000,,-77122673610.000000,-77122673610.000000,-77122673610.000000,,-77122673610.000000
12M 2014,1229844640405.000000,-1171529771590.000000,58314868815.000000,-11251321395.000000,-4509744814.000000,-6741576581.000000,-11251321395.000000,47063547420.000000,-28379835339.000000,,-7580087173.000000,-28715040973.000000,,7915292807.000000,-28379835339.000000,18683712081.000000,-4605859654.000000,14077852427.000000,,14077852427.000000,14077852427.000000,14077852427.000000,,14077852427.000000,14077852427.000000,14077852427.000000,,14077852427.000000
12M 2015,1251193634272.000000,-1180740709376.000000,70452924896.000000,-14131331612.000000,-4976115736.000000,-9155215876.000000,-14131331612.000000,56321593284.000000,-68152262560.000000,,-51479946190.000000,-28247920248.000000,,11575603878.000000,-68152262560.000000,-11830669276.000000,2480768394.000000,-9349900882.000000,11157802.000000,-9338743080.000000,-9349900882.000000,-9349900882.000000,,-9349900882.000000,-9338743080.000000,-9338743080.000000,,-9338743080.000000
12M 2016,978840639564.000000,-904178426940.000000,74662212624.000000,-16419251478.000000,-6726733117.000000,-9692518361.000000,-16419251478.000000,58242961146.000000,-4650202579.000000,,12468530821.000000,-26043566443.000000,,8924833043.000000,-4650202579.000000,53592758567.000000,-19199403477.000000,34393355090.000000,481733032.000000,34875088122.000000,34393355090.000000,34393355090.000000,,34393355090.000000,34875088122.000000,34875088122.000000,,34875088122.000000
12M 2017,1218317826843.000000,-1209851123279.000000,8466703564.000000,-17013104075.000000,-4325553259.000000,-12687550816.000000,-17013104075.000000,-8546400511.000000,-20082154295.000000,,-5068442419.000000,-26782998764.000000,,11769286888.000000,-20082154295.000000,-28628554806.000000,5643793055.000000,-22984761751.000000,-1501728450.000000,-24486490201.000000,-22984761751.000000,-22984761751.000000,,-22984761751.000000,-24486490201.000000,-24486490201.000000,,-24486490201.000000
12M 2018,1279809883694.000000,-1289502735209.000000,-9692851515.000000,-16199753660.000000,-3820692381.000000,-12379061279.000000,-16199753660.000000,-25892605175.000000,-64541634730.000000,,-40295593604.000000,-30499688935.000000,,6253647809.000000,-64541634730.000000,-90434239905.000000,-6261541668.000000,-96695781573.000000,1200919913.000000,-95494861660.000000,-96695781573.000000,-96695781573.000000,,-96695781573.000000,-95494861660.000000,-95494861660.000000,,-95494861660.000000
12M 2019,1072625592333.000000,-1047341274547.000000,25284317786.000000,-15436913887.000000,-3382652530.000000,-12054261357.000000,-15436913887.000000,9847403899.000000,-4820702768.000000,,24258936831.000000,-26797517030.000000,,-2282122569.000000,-4820702768.000000,5026701131.000000,-3913717383.000000,1112983748.000000,-3447138645.000000,-2334154897.000000,1112983748.000000,1112983748.000000,,1112983748.000000,-2334154897.000000,-2334154897.000000,,-2334154897.000000
12M 2020,1204954780957.000000,-1103312751141.000000,101642029816.000000,-20634902104.000000,-3556633170.000000,-17078268934.000000,-20634902104.000000,81007127712.000000,-32179602153.000000,,-11544746133.000000,-22838297166.000000,,2203441146.000000,-32179602153.000000,48827525559.000000,6290994668.000000,55118520227.000000,1262412192.000000,56380932419.000000,55118520227.000000,55118520227.000000,,55118520227.000000,56380932419.000000,56380932419.000000,,56380932419.000000
12M 2021,1374486754604.000000,-1189034144878.000000,185452609726.000000,-14260342240.000000,-3660218537.000000,-10600123703.000000,-14260342240.000000,171192267486.000000,-40587017602.000000,,-4876010633.000000,-15783194069.000000,,-19927812900.000000,-40587017602.000000,130605249884.000000,-42078171113.000000,88527078771.000000,-2281815608.000000,86245263163.000000,88527078771.000000,88527078771.000000,,88527078771.000000,86245263163.000000,86245263163.000000,,86245263163.000000
12M 2022,1061799427322.000000,-1095252536353.000000,-33453109031.000000,-41138732888.000000,-4045642523.000000,-37093090365.000000,-41138732888.000000,-74591841919.000000,-57213440741.000000,1697591596.000000,-48354560816.000000,-13707203663.000000,,3150732142.000000,-57213440741.000000,-131805282660.000000,28464094944.000000,-103341187716.000000,-2916259944.000000,-106257447660.000000,-103341187716.000000,-103341187716.000000,,-103341187716.000000,-106257447660.000000,-106257447660.000000,,-106257447660.000000
12M 2023,950454205479.000000,-938510679209.000000,11943526270.000000,-6954130013.000000,-4634872336.000000,-2319257677.000000,-6954130013.000000,4989396257.000000,-6059199938.000000,395414727.000000,10762323834.000000,-19292868738.000000,,2075930239.000000,-6059199938.000000,-1069803681.000000,-226977859.000000,-1296781540.000000,2118410883.000000,821629343.000000,-1296781540.000000,-1296781540.000000,,-1296781540.000000,821629343.000000,821629343.000000,,821629343.000000
